Method,Model Level,Interval Scope,Split,P,R,F1
m7_dtr,day,na,train,0.889,0.98,0.932
m7_dtr,interval,all_days,train,0.807,0.77,0.788
m7_dtr,interval,tp_days_only,train,0.84,0.77,0.804
m8_xgb,day,na,train,1.0,1.0,1.0
m8_xgb,interval,all_days,train,0.967,0.838,0.898
m8_xgb,interval,tp_days_only,train,0.967,0.838,0.898
m7_dtr,day,na,test,0.912,0.963,0.937
m7_dtr,interval,all_days,test,0.844,0.796,0.819
m7_dtr,interval,tp_days_only,test,0.869,0.796,0.831
m8_xgb,day,na,test,0.954,0.958,0.956
m8_xgb,interval,all_days,test,0.922,0.796,0.854
m8_xgb,interval,tp_days_only,test,0.928,0.796,0.857
