Split,Model Level,Interval Scope,Method,P,R,F1
train,day,na,m7_dtr,0.889,0.98,0.932
train,day,na,m8_xgb,1.0,1.0,1.0
train,interval,all_days,m7_dtr,0.807,0.77,0.788
train,interval,all_days,m8_xgb,0.967,0.838,0.898
train,interval,tp_days_only,m7_dtr,0.84,0.77,0.804
train,interval,tp_days_only,m8_xgb,0.967,0.838,0.898
test,day,na,m7_dtr,0.912,0.963,0.937
test,day,na,m8_xgb,0.954,0.958,0.956
test,interval,all_days,m7_dtr,0.844,0.796,0.819
test,interval,all_days,m8_xgb,0.922,0.796,0.854
test,interval,tp_days_only,m7_dtr,0.869,0.796,0.831
test,interval,tp_days_only,m8_xgb,0.928,0.796,0.857
