regime,variant,substation_id,date,confidence,day_group,true_day,pred_day,score,threshold,confidence_score,true_start_time,true_end_time,pred_start_time,pred_end_time,v03_selected_duration_h
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_A,2023-10-19,sure,FN_day,True,False,3.0345485003782904,3.690327091222695,0.6557785908444047,12:45,14:45,14:00,14:30,0.75
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_A,2023-11-22,sure,FN_day,True,False,3.060994978511274,3.690327091222695,0.6293321127114213,13:15,13:45,12:15,12:30,0.5
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_B,2023-10-22,sure,FN_day,True,False,3.371013087392216,3.690327091222695,0.3193140038304789,10:00,14:15,09:45,14:00,4.5
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_B,2023-11-27,sure,FN_day,True,False,3.3833761530504924,3.690327091222695,0.30695093817220265,10:15,14:00,10:30,15:30,5.25
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_B,2024-01-02,sure,FN_day,True,False,3.062921201601016,3.690327091222695,0.627405889621679,12:15,14:45,12:45,13:00,0.5
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_B,2024-01-20,sure,FN_day,True,False,3.2316056396715744,3.690327091222695,0.45872145155112065,10:45,15:15,10:15,14:15,4.25
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_B,2024-02-12,sure,FN_day,True,False,3.6787831379930673,3.690327091222695,0.011543953229627757,11:30,13:15,10:00,11:15,1.5
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_B,2024-03-05,sure,FN_day,True,False,3.5742021948062233,3.690327091222695,0.11612489641647183,12:30,14:15,09:45,15:45,6.25
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_B,2024-05-23,sure,FN_day,True,False,3.6170715242535074,3.690327091222695,0.07325556696918767,11:30,14:30,11:30,14:30,3.25
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_B,2024-05-29,sure,FN_day,True,False,3.543809873672836,3.690327091222695,0.14651721754985925,10:30,14:00,10:00,14:30,4.75
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_B,2024-06-26,sure,FN_day,True,False,3.3398462566379883,3.690327091222695,0.3504808345847068,11:00,13:45,11:00,13:45,3.0
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_B,2024-06-27,sure,FN_day,True,False,3.372400634091103,3.690327091222695,0.31792645713159207,11:00,14:00,10:45,14:45,4.25
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_B,2024-07-25,sure,FN_day,True,False,3.4070484331094604,3.690327091222695,0.2832786581132347,11:00,13:45,11:15,13:30,2.5
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_B,2024-07-28,sure,FN_day,True,False,3.6169069554885125,3.690327091222695,0.0734201357341826,10:45,14:00,10:45,14:15,3.75
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_B,2024-08-03,sure,FN_day,True,False,3.5529996034178306,3.690327091222695,0.13732748780486448,10:30,15:00,10:30,15:00,4.75
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_D,2023-10-12,sure,FN_day,True,False,2.496442458298117,3.690327091222695,1.1938846329245782,11:15,13:00,10:00,10:15,0.5
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_D,2023-10-29,sure,FN_day,True,False,2.8907996223303978,3.690327091222695,0.7995274688922973,12:00,14:15,09:00,10:15,1.5
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_D,2023-11-18,sure,FN_day,True,False,3.1773491360352337,3.690327091222695,0.5129779551874614,11:45,14:45,09:45,11:00,1.5
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_D,2024-03-28,sure,FN_day,True,False,3.5622525405618894,3.690327091222695,0.12807455066080564,11:45,15:15,12:15,15:15,3.25
