regime,variant,weight_F1_bridge_improvement,weight_F2_roughness_improvement,weight_F3_slope_continuity_improvement,weight_F4_duration_plausibility,weight_F5_n_height_ratio,weight_F6_solar_strength_ratio,weight_F7_solar_peak_alignment,weight_F8_site_centered_core_score,weight_F9_site_rank_core_score,beta_all_pooled_precision,beta_all_pooled_recall,beta_all_pooled_f1,beta_all_site_avg_precision,beta_all_site_avg_recall,beta_all_site_avg_f1,beta_all_positive_site_avg_precision,beta_all_positive_site_avg_recall,beta_all_positive_site_avg_f1,beta_sure_pooled_precision,beta_sure_pooled_recall,beta_sure_pooled_f1,beta_sure_site_avg_precision,beta_sure_site_avg_recall,beta_sure_site_avg_f1,beta_sure_positive_site_avg_precision,beta_sure_positive_site_avg_recall,beta_sure_positive_site_avg_f1
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,1.0,1.5,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.7714285714285715,0.8517350157728707,0.8095952023988007,0.6275214470944701,0.7174180438886322,0.6645230704021001,0.6275214470944701,0.7174180438886322,0.6645230704021001,0.873046875,0.9273858921161826,0.8993963782696177,0.6995565553165104,0.7901811094078925,0.739147720603603,0.7994932060760119,0.9030641250375916,0.8447402521184032
R2_beta_loso_plus_alpha,G_b1p0_r2p0_sc0p5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.7816593886462883,0.8470031545741324,0.8130204390613172,0.6536195018827968,0.7071993410228705,0.6668998478411873,0.6536195018827968,0.7071993410228705,0.6668998478411873,0.8774703557312253,0.921161825726141,0.8987854251012145,0.7531350644147758,0.7564762692040945,0.7398784237124028,0.860725787902601,0.8645443076618224,0.8455753413856033
R1_beta_loso,G_b1p0_r2p0_sc0p0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.7645390070921986,0.8501577287066246,0.8050784167289022,0.6473848600490718,0.6857318412465471,0.6401589530034033,0.6473848600490718,0.6857318412465471,0.6401589530034033,0.8679611650485437,0.9273858921161826,0.8966900702106319,0.6294435765651374,0.700173072728654,0.6614408217876707,0.7193640875030142,0.8001977974041761,0.7559323677573379
R2_beta_loso_plus_alpha,G_b1p0_r1p0_sc0p5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.7841409691629956,0.8422712933753943,0.8121673003802281,0.6501343930276473,0.7127987186810716,0.6719763916745471,0.6501343930276473,0.7127987186810716,0.6719763916745471,0.8784860557768924,0.9149377593360996,0.8963414634146342,0.724909924359437,0.7847560062957817,0.7505296360133364,0.8284684849822136,0.8968640071951791,0.8577481554438131
R1_beta_loso,G_b1p0_r0p5_sc0p0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.7660485021398002,0.8470031545741324,0.8044943820224719,0.6308452709737585,0.6816602559249618,0.6377839798091469,0.6308452709737585,0.6816602559249618,0.6377839798091469,0.869140625,0.9232365145228216,0.8953722334004024,0.6322376297516452,0.6924472323925195,0.659650248125957,0.7225572911447374,0.791368265591451,0.7538859978582365
R1_beta_loso,G_b2p0_r1p5_sc0p0,2.0,1.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.7917304747320061,0.8154574132492114,0.8034188034188033,0.6659372107549837,0.6610671202582967,0.6393410606215487,0.6659372107549837,0.6610671202582967,0.6393410606215487,0.8944099378881988,0.8962655601659751,0.8953367875647669,0.6455142731945389,0.6817020681851043,0.6606506010415394,0.7377305979366159,0.7790880779258335,0.7550292583331879
R1_beta_loso,G_b1p0_r1p0_sc0p5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.7863501483679525,0.8359621451104101,0.8103975535168196,0.6580752142836861,0.6794653853477384,0.642678146060512,0.6580752142836861,0.6794653853477384,0.642678146060512,0.8812877263581489,0.9087136929460581,0.8947906026557712,0.6336400830895957,0.6910060062957817,0.6583797384198904,0.724160094959538,0.7897211500523219,0.752433986765589
R1_beta_loso,G_b1p0_r2p0_sc0p5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.7919161676646707,0.8343848580441641,0.8125960061443932,0.6610428511645753,0.6780043088866619,0.6433342308631246,0.6610428511645753,0.6780043088866619,0.6433342308631246,0.8812877263581489,0.9087136929460581,0.8947906026557712,0.633027748409627,0.6902794656795351,0.6574157166782331,0.7234602838967167,0.7888908179194687,0.7513322476322664
R2_beta_loso_plus_alpha,G_b1p0_r0p5_sc0p0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.7459239130434783,0.8659305993690851,0.8014598540145984,0.6116599190905034,0.7307687079745903,0.6629645271128551,0.6116599190905034,0.7307687079745903,0.6629645271128551,0.851782363977486,0.941908713692946,0.8945812807881774,0.6803298640316859,0.793864624152373,0.730082341206371,0.7775198446076411,0.9072738561741407,0.8343798185215668
R2_beta_loso_plus_alpha,G_b1p0_r1p0_sc0p0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.7462482946793997,0.862776025236593,0.8002926115581566,0.6265098376858865,0.7233909141997377,0.6633757905634856,0.6265098376858865,0.7233909141997377,0.6633757905634856,0.8531073446327684,0.9398340248962656,0.8943731490621916,0.7096486644884672,0.797362164900956,0.7489451002502008,0.8110270451296768,0.9112710456010926,0.8559372574288009
