regime,confidence_scope,aggregation,substation_id,support,positive_support,tp,fp,fn,tn,precision,recall,f1
beta_only,beta_sure,pooled,,2310,471,394,79,77,1760,0.8329809725158562,0.8365180467091295,0.8347457627118645
beta_only,beta_sure,substation,beta_A,337,26,26,30,0,281,0.4642857142857143,1.0,0.6341463414634146
beta_only,beta_sure,substation,beta_B,231,125,90,2,35,104,0.9782608695652174,0.72,0.8294930875576035
beta_only,beta_sure,substation,beta_C,339,0,0,0,0,339,0.0,0.0,0.0
beta_only,beta_sure,substation,beta_D,188,45,42,20,3,123,0.6774193548387096,0.9333333333333333,0.7850467289719625
beta_only,beta_sure,substation,beta_E,308,21,19,3,2,284,0.8636363636363636,0.9047619047619048,0.8837209302325582
beta_only,beta_sure,substation,beta_F,287,165,156,14,9,108,0.9176470588235294,0.9454545454545454,0.9313432835820895
beta_only,beta_sure,substation,beta_G,283,85,60,9,25,189,0.8695652173913043,0.7058823529411765,0.7792207792207793
beta_only,beta_sure,substation,beta_H,337,4,1,1,3,332,0.5,0.25,0.3333333333333333
beta_only,beta_sure,macro_substation,,2310,471,394,79,77,1760,0.6588518223176048,0.68242901706137,0.6470380605452176
beta_only,beta_all,pooled,,2928,630,476,199,154,2099,0.7051851851851851,0.7555555555555555,0.7295019157088123
beta_only,beta_all,substation,beta_A,366,29,29,41,0,296,0.4142857142857143,1.0,0.5858585858585859
beta_only,beta_all,substation,beta_B,366,152,103,19,49,195,0.8442622950819673,0.6776315789473685,0.7518248175182481
beta_only,beta_all,substation,beta_C,366,13,0,0,13,353,0.0,0.0,0.0
beta_only,beta_all,substation,beta_D,366,76,63,65,13,225,0.4921875,0.8289473684210527,0.6176470588235294
beta_only,beta_all,substation,beta_E,366,44,33,14,11,308,0.7021276595744681,0.75,0.7252747252747254
beta_only,beta_all,substation,beta_F,366,184,170,43,14,139,0.7981220657276995,0.9239130434782609,0.8564231738035264
beta_only,beta_all,substation,beta_G,366,117,74,14,43,235,0.8409090909090909,0.6324786324786325,0.7219512195121951
beta_only,beta_all,substation,beta_H,366,15,4,3,11,348,0.5714285714285714,0.26666666666666666,0.36363636363636365
beta_only,beta_all,macro_substation,,2928,630,476,199,154,2099,0.5829153621259389,0.6349546612489976,0.5778269930533967
beta_plus_alpha,beta_sure,pooled,,2310,471,434,127,37,1712,0.7736185383244206,0.921443736730361,0.8410852713178293
