strategy,confidence_scope,aggregation,substation_id,support,positive_support,tp,fp,fn,tn,precision,recall,f1
equal,beta_sure,pooled,,2310,471,394,79,77,1760,0.8329809725158562,0.8365180467091295,0.8347457627118645
equal,beta_sure,substation,beta_A,337,26,26,30,0,281,0.4642857142857143,1.0,0.6341463414634146
equal,beta_sure,substation,beta_B,231,125,90,2,35,104,0.9782608695652174,0.72,0.8294930875576035
equal,beta_sure,substation,beta_C,339,0,0,0,0,339,0.0,0.0,0.0
equal,beta_sure,substation,beta_D,188,45,42,20,3,123,0.6774193548387096,0.9333333333333333,0.7850467289719625
equal,beta_sure,substation,beta_E,308,21,19,3,2,284,0.8636363636363636,0.9047619047619048,0.8837209302325582
equal,beta_sure,substation,beta_F,287,165,156,14,9,108,0.9176470588235294,0.9454545454545454,0.9313432835820895
equal,beta_sure,substation,beta_G,283,85,60,9,25,189,0.8695652173913043,0.7058823529411765,0.7792207792207793
equal,beta_sure,substation,beta_H,337,4,1,1,3,332,0.5,0.25,0.3333333333333333
equal,beta_sure,macro_substation,,2310,471,394,79,77,1760,0.6588518223176048,0.68242901706137,0.6470380605452176
equal,beta_all,pooled,,2928,630,476,199,154,2099,0.7051851851851851,0.7555555555555555,0.7295019157088123
equal,beta_all,substation,beta_A,366,29,29,41,0,296,0.4142857142857143,1.0,0.5858585858585859
equal,beta_all,substation,beta_B,366,152,103,19,49,195,0.8442622950819673,0.6776315789473685,0.7518248175182481
equal,beta_all,substation,beta_C,366,13,0,0,13,353,0.0,0.0,0.0
equal,beta_all,substation,beta_D,366,76,63,65,13,225,0.4921875,0.8289473684210527,0.6176470588235294
equal,beta_all,substation,beta_E,366,44,33,14,11,308,0.7021276595744681,0.75,0.7252747252747254
equal,beta_all,substation,beta_F,366,184,170,43,14,139,0.7981220657276995,0.9239130434782609,0.8564231738035264
equal,beta_all,substation,beta_G,366,117,74,14,43,235,0.8409090909090909,0.6324786324786325,0.7219512195121951
equal,beta_all,substation,beta_H,366,15,4,3,11,348,0.5714285714285714,0.26666666666666666,0.36363636363636365
equal,beta_all,macro_substation,,2928,630,476,199,154,2099,0.5829153621259389,0.6349546612489976,0.5778269930533967
grid,beta_sure,pooled,,2310,471,395,48,76,1791,0.891647855530474,0.8386411889596603,0.8643326039387309
grid,beta_sure,substation,beta_A,337,26,25,10,1,301,0.7142857142857143,0.9615384615384616,0.819672131147541
grid,beta_sure,substation,beta_B,231,125,85,2,40,104,0.9770114942528736,0.68,0.8018867924528302
grid,beta_sure,substation,beta_C,339,0,0,0,0,339,0.0,0.0,0.0
grid,beta_sure,substation,beta_D,188,45,44,11,1,132,0.8,0.9777777777777777,0.8800000000000001
grid,beta_sure,substation,beta_E,308,21,21,4,0,283,0.84,1.0,0.9130434782608696
grid,beta_sure,substation,beta_F,287,165,155,15,10,107,0.9117647058823529,0.9393939393939394,0.9253731343283583
grid,beta_sure,substation,beta_G,283,85,64,5,21,193,0.927536231884058,0.7529411764705882,0.8311688311688311
grid,beta_sure,substation,beta_H,337,4,1,1,3,332,0.5,0.25,0.3333333333333333
grid,beta_sure,macro_substation,,2310,471,395,48,76,1791,0.7088247682881248,0.6952064193975959,0.6880597125864705
grid,beta_all,pooled,,2928,630,479,148,151,2150,0.7639553429027113,0.7603174603174603,0.762132060461416
grid,beta_all,substation,beta_A,366,29,27,14,2,323,0.6585365853658537,0.9310344827586207,0.7714285714285715
grid,beta_all,substation,beta_B,366,152,95,15,57,199,0.8636363636363636,0.625,0.7251908396946565
grid,beta_all,substation,beta_C,366,13,0,0,13,353,0.0,0.0,0.0
grid,beta_all,substation,beta_D,366,76,66,48,10,242,0.5789473684210527,0.868421052631579,0.6947368421052632
grid,beta_all,substation,beta_E,366,44,41,17,3,305,0.7068965517241379,0.9318181818181818,0.803921568627451
grid,beta_all,substation,beta_F,366,184,169,41,15,141,0.8047619047619048,0.9184782608695652,0.8578680203045684
grid,beta_all,substation,beta_G,366,117,78,9,39,240,0.896551724137931,0.6666666666666666,0.7647058823529411
grid,beta_all,substation,beta_H,366,15,3,4,12,347,0.42857142857142855,0.2,0.27272727272727276
grid,beta_all,macro_substation,,2928,630,479,148,151,2150,0.617237740827334,0.6426773305930766,0.6113223746550904
random,beta_sure,pooled,,2310,471,383,48,88,1791,0.888631090487239,0.8131634819532909,0.8492239467849224
random,beta_sure,substation,beta_A,337,26,25,10,1,301,0.7142857142857143,0.9615384615384616,0.819672131147541
random,beta_sure,substation,beta_B,231,125,75,2,50,104,0.974025974025974,0.6,0.7425742574257426
random,beta_sure,substation,beta_C,339,0,0,0,0,339,0.0,0.0,0.0
random,beta_sure,substation,beta_D,188,45,44,11,1,132,0.8,0.9777777777777777,0.8800000000000001
random,beta_sure,substation,beta_E,308,21,21,4,0,283,0.84,1.0,0.9130434782608696
