strategy,heldout_substation,weight_id,search_origin,weight_F1,weight_F3,weight_F4,inner_macro_precision,inner_macro_recall,inner_macro_f1,outer_training_substations,outer_training_confidence,outer_threshold
equal,beta_A,weight_0000,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6251844455436869,0.6843369832781596,0.632604980690912,"beta_B,beta_C,beta_D,beta_E,beta_F,beta_G,beta_H",sure_only,0.5342624187469482
grid,beta_A,weight_0036,grid,0.15000000000000002,0.05,0.8,0.6995552045061972,0.6746889058653764,0.6745457862473104,"beta_B,beta_C,beta_D,beta_E,beta_F,beta_G,beta_H",sure_only,0.885337233543396
random,beta_A,weight_0350,random,0.3047329304435074,0.11901689152983222,0.5762501780266603,0.7098498969311616,0.667033189033189,0.6759312836713097,"beta_B,beta_C,beta_D,beta_E,beta_F,beta_G,beta_H",sure_only,0.7531301975250244
optimised,beta_A,weight_0350,random,0.3047329304435074,0.11901689152983222,0.5762501780266603,0.7098498969311616,0.667033189033189,0.6759312836713097,"beta_B,beta_C,beta_D,beta_E,beta_F,beta_G,beta_H",sure_only,0.7531301975250244
equal,beta_B,weight_0000,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6436425312860387,0.6285768852995745,0.6177084056878872,"beta_A,beta_C,beta_D,beta_E,beta_F,beta_G,beta_H",sure_only,0.6006872653961182
grid,beta_B,weight_0069,grid,0.25,0.15000000000000002,0.6000000000000001,0.6910477363642326,0.684226837588182,0.6783080291329425,"beta_A,beta_C,beta_D,beta_E,beta_F,beta_G,beta_H",sure_only,0.7703033089637756
random,beta_B,weight_0442,random,0.4544077203861563,0.17167154441877608,0.3739207351950676,0.7095791193885004,0.6787216051921935,0.6852520471875309,"beta_A,beta_C,beta_D,beta_E,beta_F,beta_G,beta_H",sure_only,0.6745930314064026
optimised,beta_B,weight_0442,random,0.4544077203861563,0.17167154441877608,0.3739207351950676,0.7095791193885004,0.6787216051921935,0.6852520471875309,"beta_A,beta_C,beta_D,beta_E,beta_F,beta_G,beta_H",sure_only,0.6745930314064026
equal,beta_C,weight_0000,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.7529735112201198,0.7799188766415658,0.7394720691945343,"beta_A,beta_B,beta_D,beta_E,beta_F,beta_G,beta_H",sure_only,0.5998931527137756
grid,beta_C,weight_0069,grid,0.25,0.15000000000000002,0.6000000000000001,0.8306208069717859,0.7813696947310393,0.7928632851976326,"beta_A,beta_B,beta_D,beta_E,beta_F,beta_G,beta_H",sure_only,0.7703033089637756
