substation_id,date,in_reviewer_A,in_reviewer_B,overlap,A_review_action,A_rpf_start_time,A_rpf_end_time,A_confidence,B_review_action,B_rpf_start_time,B_rpf_end_time,B_confidence,label_window_conflict,confidence_conflict,final_source,final_review_action,final_rpf_start_time,final_rpf_end_time,final_confidence
act_D,2023-10-01,True,True,True,no_rpf,,,sure,no_rpf,,,unsure,False,True,reviewer_B,no_rpf,,,unsure
act_D,2023-10-02,True,True,True,accept_old,,,sure,accept_old,,,unsure,False,True,reviewer_B,accept_old,,,unsure
act_D,2023-10-03,True,True,True,no_rpf,,,sure,no_rpf,,,unsure,False,True,reviewer_B,no_rpf,,,unsure
act_D,2023-10-04,True,True,True,manual_window,12:15,15:00,sure,manual_window,12:15,15:00,unsure,False,True,reviewer_B,manual_window,12:15,15:00,unsure
act_D,2023-10-05,True,True,True,manual_window,11:15,15:00,sure,manual_window,11:15,15:00,sure,False,False,reviewer_B,manual_window,11:15,15:00,sure
act_D,2023-10-06,True,True,True,manual_window,11:30,14:45,sure,manual_window,11:30,14:45,sure,False,False,reviewer_B,manual_window,11:30,14:45,sure
act_D,2023-10-07,True,True,True,manual_window,10:30,14:15,sure,manual_window,13:45,14:15,unsure,True,True,reviewer_B,manual_window,13:45,14:15,unsure
act_D,2023-10-08,True,True,True,accept_old,,,sure,manual_window,13:15,14:15,unsure,True,True,reviewer_B,manual_window,13:15,14:15,unsure
act_D,2023-10-09,True,True,True,accept_old,,,sure,accept_old,,,sure,False,False,reviewer_B,accept_old,,,sure
act_D,2023-10-10,True,True,True,accept_old,,,sure,accept_old,,,sure,False,False,reviewer_B,accept_old,,,sure
act_D,2023-10-11,True,True,True,manual_window,12:45,14:45,sure,manual_window,12:45,14:45,sure,False,False,reviewer_B,manual_window,12:45,14:45,sure
act_D,2023-10-12,True,True,True,manual_window,11:15,13:00,sure,manual_window,11:15,13:00,sure,False,False,reviewer_B,manual_window,11:15,13:00,sure
act_D,2023-10-13,True,True,True,manual_window,10:45,14:45,sure,manual_window,10:45,14:45,sure,False,False,reviewer_B,manual_window,10:45,14:45,sure
act_D,2023-10-14,True,True,True,manual_window,12:00,13:45,sure,manual_window,12:00,13:45,sure,False,False,reviewer_B,manual_window,12:00,13:45,sure
act_D,2023-10-15,True,True,True,accept_old,,,sure,accept_old,,,unsure,False,True,reviewer_B,accept_old,,,unsure
act_D,2023-10-16,True,True,True,manual_window,11:15,14:30,sure,manual_window,11:15,14:30,unsure,False,True,reviewer_B,manual_window,11:15,14:30,unsure
act_D,2023-10-17,True,True,True,accept_old,,,sure,accept_old,,,unsure,False,True,reviewer_B,accept_old,,,unsure
act_D,2023-10-18,True,True,True,accept_old,,,sure,accept_old,,,sure,False,False,reviewer_B,accept_old,,,sure
act_D,2023-10-19,True,True,True,manual_window,14:30,15:00,sure,manual_window,14:30,15:00,unsure,False,True,reviewer_B,manual_window,14:30,15:00,unsure
act_D,2023-10-20,True,True,True,manual_window,11:30,14:30,sure,manual_window,11:30,14:30,sure,False,False,reviewer_B,manual_window,11:30,14:30,sure
act_D,2023-10-21,True,True,True,accept_old,,,sure,accept_old,,,unsure,False,True,reviewer_B,accept_old,,,unsure
act_D,2023-10-22,True,True,True,accept_old,,,sure,accept_old,,,unsure,False,True,reviewer_B,accept_old,,,unsure
act_D,2023-10-23,True,True,True,manual_window,11:00,14:30,sure,manual_window,11:00,14:30,sure,False,False,reviewer_B,manual_window,11:00,14:30,sure
act_D,2023-10-24,True,True,True,manual_window,11:30,13:45,sure,manual_window,11:30,13:45,unsure,False,True,reviewer_B,manual_window,11:30,13:45,unsure
act_D,2023-10-25,True,True,True,accept_old,,,sure,accept_old,,,sure,False,False,reviewer_B,accept_old,,,sure
act_D,2023-10-26,True,True,True,accept_old,,,sure,accept_old,,,sure,False,False,reviewer_B,accept_old,,,sure
act_D,2023-10-27,True,True,True,accept_old,,,sure,accept_old,,,unsure,False,True,reviewer_B,accept_old,,,unsure
act_D,2023-10-28,True,True,True,accept_old,,,sure,accept_old,,,unsure,False,True,reviewer_B,accept_old,,,unsure
act_D,2023-10-29,True,True,True,manual_window,12:00,14:15,sure,manual_window,12:00,14:15,sure,False,False,reviewer_B,manual_window,12:00,14:15,sure
act_D,2023-10-30,True,True,True,manual_window,11:00,13:30,sure,manual_window,11:00,13:30,sure,False,False,reviewer_B,manual_window,11:00,13:30,sure
act_D,2023-10-31,True,True,True,accept_old,,,sure,no_rpf,,,unsure,True,True,reviewer_B,no_rpf,,,unsure
act_D,2023-11-01,True,True,True,manual_window,10:15,11:00,sure,manual_window,12:30,15:00,unsure,True,True,reviewer_B,manual_window,12:30,15:00,unsure
act_D,2023-11-02,True,True,True,accept_old,,,sure,accept_old,,,unsure,False,True,reviewer_B,accept_old,,,unsure
act_D,2023-11-03,True,True,True,accept_old,,,sure,accept_old,,,unsure,False,True,reviewer_B,accept_old,,,unsure
act_D,2023-11-04,True,True,True,accept_old,,,sure,no_rpf,,,unsure,True,True,reviewer_B,no_rpf,,,unsure
act_D,2023-11-05,True,True,True,accept_old,,,sure,accept_old,,,sure,False,False,reviewer_B,accept_old,,,sure
act_D,2023-11-06,True,True,True,accept_old,,,sure,accept_old,,,sure,False,False,reviewer_B,accept_old,,,sure
act_D,2023-11-07,True,True,True,accept_old,,,sure,accept_old,,,sure,False,False,reviewer_B,accept_old,,,sure
act_D,2023-11-08,True,True,True,accept_old,,,sure,accept_old,,,unsure,False,True,reviewer_B,accept_old,,,unsure
act_D,2023-11-09,True,True,True,accept_old,,,sure,accept_old,,,sure,False,False,reviewer_B,accept_old,,,sure
act_D,2023-11-10,True,True,True,manual_window,10:45,14:00,sure,manual_window,10:45,14:00,sure,False,False,reviewer_B,manual_window,10:45,14:00,sure
act_D,2023-11-11,True,True,True,accept_old,,,sure,accept_old,,,unsure,False,True,reviewer_B,accept_old,,,unsure
act_D,2023-11-12,True,True,True,accept_old,,,sure,accept_old,,,sure,False,False,reviewer_B,accept_old,,,sure
act_D,2023-11-13,True,True,True,accept_old,,,sure,accept_old,,,sure,False,False,reviewer_B,accept_old,,,sure
act_D,2023-11-14,True,True,True,accept_old,,,sure,accept_old,,,unsure,False,True,reviewer_B,accept_old,,,unsure
act_D,2023-11-15,True,True,True,accept_old,,,sure,accept_old,,,sure,False,False,reviewer_B,accept_old,,,sure
act_D,2023-11-16,True,True,True,accept_old,,,sure,accept_old,,,sure,False,False,reviewer_B,accept_old,,,sure
act_D,2023-11-17,True,True,True,accept_old,,,sure,accept_old,,,unsure,False,True,reviewer_B,accept_old,,,unsure
act_D,2023-11-18,True,True,True,accept_old,,,sure,accept_old,,,sure,False,False,reviewer_B,accept_old,,,sure
act_D,2023-11-19,True,True,True,accept_old,,,sure,accept_old,,,unsure,False,True,reviewer_B,accept_old,,,unsure
act_D,2023-11-20,True,True,True,accept_old,,,sure,accept_old,,,sure,False,False,reviewer_B,accept_old,,,sure
act_D,2023-11-21,True,True,True,manual_window,11:00,14:00,sure,no_rpf,,,unsure,True,True,reviewer_B,no_rpf,,,unsure
act_D,2023-11-22,True,True,True,accept_old,,,sure,accept_old,,,sure,False,False,reviewer_B,accept_old,,,sure
act_D,2023-11-23,True,True,True,accept_old,,,sure,accept_old,,,sure,False,False,reviewer_B,accept_old,,,sure
act_D,2023-11-24,True,True,True,accept_old,,,sure,accept_old,,,sure,False,False,reviewer_B,accept_old,,,sure
act_D,2023-11-25,True,True,True,accept_old,,,sure,accept_old,,,sure,False,False,reviewer_B,accept_old,,,sure
act_D,2023-11-26,True,True,True,accept_old,,,sure,accept_old,,,sure,False,False,reviewer_B,accept_old,,,sure
