regime,variant,dataset,subset,summary_scope,substation_id,support,positive_support,tp,fp,fn,tn,precision,recall,f1
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta,beta_all,pooled,,2928,634,540,160,94,2134,0.7714285714285715,0.8517350157728707,0.8095952023988007
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta,beta_all,site,beta_A,366,30,28,18,2,318,0.6086956521739131,0.9333333333333333,0.7368421052631579
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta,beta_all,site,beta_B,366,153,129,24,24,189,0.8431372549019608,0.8431372549019608,0.8431372549019607
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta,beta_all,site,beta_C,366,13,0,1,13,352,0.0,0.0,0.0
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta,beta_all,site,beta_D,366,77,59,27,18,262,0.686046511627907,0.7662337662337663,0.7239263803680982
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta,beta_all,site,beta_E,366,44,40,17,4,305,0.7017543859649122,0.9090909090909091,0.792079207920792
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta,beta_all,site,beta_F,366,185,174,39,11,142,0.8169014084507042,0.9405405405405406,0.8743718592964825
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta,beta_all,site,beta_G,366,117,103,29,14,220,0.7803030303030303,0.8803418803418803,0.8273092369477911
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta,beta_all,site,beta_H,366,15,7,5,8,346,0.5833333333333334,0.4666666666666667,0.5185185185185186
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta,beta_all,macro_site_average,,2928,634,540,160,94,2134,0.6275214470944701,0.7174180438886322,0.6645230704021001
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta,beta_sure_only,pooled,,2330,482,447,65,35,1783,0.873046875,0.9273858921161826,0.8993963782696177
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta,beta_sure_only,site,beta_A,338,27,25,11,2,300,0.6944444444444444,0.9259259259259259,0.7936507936507936
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta,beta_sure_only,site,beta_B,232,127,114,1,13,104,0.991304347826087,0.8976377952755905,0.9421487603305785
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta,beta_sure_only,site,beta_C,339,0,0,0,0,339,0.0,0.0,0.0
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta,beta_sure_only,site,beta_D,193,50,43,10,7,133,0.8113207547169812,0.86,0.8349514563106797
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta,beta_sure_only,site,beta_E,310,21,21,6,0,283,0.7777777777777778,1.0,0.8750000000000001
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta,beta_sure_only,site,beta_F,295,168,163,18,5,109,0.9005524861878453,0.9702380952380952,0.9340974212034384
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta,beta_sure_only,site,beta_G,286,85,78,17,7,184,0.8210526315789474,0.9176470588235294,0.8666666666666667
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta,beta_sure_only,site,beta_H,337,4,3,2,1,331,0.6,0.75,0.6666666666666665
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta,beta_sure_only,macro_site_average,,2330,482,447,65,35,1783,0.6995565553165104,0.7901811094078925,0.739147720603603
