substation_id,day_group,days,mean_score,mean_threshold,mean_confidence_score
beta_A,FN_day,2,3.047771739444782,3.690327091222695,0.642555351777913
beta_A,FP_day,11,3.9512834610890053,3.6903270912226946,0.2609563698663105
beta_B,FN_day,13,3.4424603611681404,3.6903270912226955,0.24786673005455448
beta_B,FP_day,1,3.9193432623185136,3.690327091222695,0.2290161710958185
beta_D,FN_day,7,2.94974718773068,3.690327091222695,0.7405799034920154
beta_D,FP_day,10,3.9893691438241943,3.690327091222695,0.2990420526014991
beta_E,FP_day,6,4.122548319937198,3.6775555499703607,0.44499276996683657
beta_F,FN_day,5,3.156607853333827,3.690327091222695,0.5337192378888682
beta_F,FP_day,18,4.254504178672279,3.6903270912226955,0.5641770874495834
beta_G,FN_day,7,3.453194336594231,3.68627357302582,0.23307923643158862
beta_G,FP_day,17,4.167671433709836,3.68627357302582,0.48139786068401635
beta_H,FN_day,1,3.552416360416796,3.690327091222695,0.1379107308058991
beta_H,FP_day,2,3.7204183252631555,3.690327091222695,0.030091234040460213
