gallery,substation_id,date,day_group,confidence,score,threshold,confidence_score,iou,true_window,pred_window,start_error_minutes,end_error_minutes,html_file
c14_best_fp_top_confidence,beta_F,2024-01-09,FP_day,sure,4.872368739895668,3.690327091222695,1.182041648672973,0.0,-,14:15-15:30,,,c14_best_fp_top_confidence_12days.html
c14_best_fp_top_confidence,beta_F,2023-12-24,FP_day,sure,4.848080755838417,3.690327091222695,1.157753664615722,0.0,-,13:15-14:45,,,c14_best_fp_top_confidence_12days.html
c14_best_fp_top_confidence,beta_G,2024-03-22,FP_day,sure,4.711183993095264,3.68627357302582,1.0249104200694439,0.0,-,13:15-16:30,,,c14_best_fp_top_confidence_12days.html
c14_best_fp_top_confidence,beta_G,2024-08-24,FP_day,sure,4.704266697891578,3.68627357302582,1.0179931248657579,0.0,-,12:45-15:30,,,c14_best_fp_top_confidence_12days.html
c14_best_fp_top_confidence,beta_E,2023-11-02,FP_day,sure,4.674835566112659,3.6775555499703607,0.9972800161422981,0.0,-,13:15-15:15,,,c14_best_fp_top_confidence_12days.html
c14_best_fp_top_confidence,beta_F,2024-01-18,FP_day,sure,4.610768647790031,3.690327091222695,0.9204415565673356,0.0,-,10:00-14:30,,,c14_best_fp_top_confidence_12days.html
c14_best_fp_top_confidence,beta_F,2023-12-25,FP_day,sure,4.547241999724453,3.690327091222695,0.856914908501758,0.0,-,10:00-13:15,,,c14_best_fp_top_confidence_12days.html
c14_best_fp_top_confidence,beta_F,2024-07-18,FP_day,sure,4.507011893072066,3.690327091222695,0.8166848018493713,0.0,-,10:45-12:30,,,c14_best_fp_top_confidence_12days.html
c14_best_fp_top_confidence,beta_E,2024-09-24,FP_day,sure,4.4670186060359125,3.6775555499703607,0.7894630560655518,0.0,-,11:15-12:00,,,c14_best_fp_top_confidence_12days.html
c14_best_fp_top_confidence,beta_F,2024-03-05,FP_day,sure,4.457829747951304,3.690327091222695,0.7675026567286087,0.0,-,13:15-16:45,,,c14_best_fp_top_confidence_12days.html
c14_best_fp_top_confidence,beta_G,2024-08-22,FP_day,sure,4.451127089124437,3.68627357302582,0.7648535160986172,0.0,-,11:00-15:15,,,c14_best_fp_top_confidence_12days.html
c14_best_fp_top_confidence,beta_F,2024-08-02,FP_day,sure,4.43961786764173,3.690327091222695,0.7492907764190351,0.0,-,11:45-13:45,,,c14_best_fp_top_confidence_12days.html
c14_best_fn_top_confidence,beta_D,2024-04-21,FN_day,sure,2.46272906223157,3.690327091222695,1.227598028991125,0.0,13:45-14:15,14:00-14:15,,,c14_best_fn_top_confidence_12days.html
c14_best_fn_top_confidence,beta_D,2023-10-12,FN_day,sure,2.496442458298117,3.690327091222695,1.1938846329245782,0.0,11:15-13:00,10:00-10:15,,,c14_best_fn_top_confidence_12days.html
c14_best_fn_top_confidence,beta_F,2024-06-20,FN_day,sure,2.801182417399108,3.690327091222695,0.8891446738235871,0.0,11:30-13:30,12:45-13:30,,,c14_best_fn_top_confidence_12days.html
c14_best_fn_top_confidence,beta_D,2023-10-29,FN_day,sure,2.8907996223303978,3.690327091222695,0.7995274688922973,0.0,12:00-14:15,09:00-10:15,,,c14_best_fn_top_confidence_12days.html
c14_best_fn_top_confidence,beta_D,2024-08-27,FN_day,sure,3.009489963603108,3.690327091222695,0.6808371276195873,0.0,10:45-13:45,09:30-10:15,,,c14_best_fn_top_confidence_12days.html
c14_best_fn_top_confidence,beta_A,2023-10-19,FN_day,sure,3.0345485003782904,3.690327091222695,0.6557785908444047,0.0,12:45-14:45,14:00-14:30,,,c14_best_fn_top_confidence_12days.html
c14_best_fn_top_confidence,beta_D,2024-09-14,FN_day,sure,3.0491675310544424,3.690327091222695,0.6411595601682527,0.0,12:00-13:00,10:30-10:45,,,c14_best_fn_top_confidence_12days.html
c14_best_fn_top_confidence,beta_A,2023-11-22,FN_day,sure,3.060994978511274,3.690327091222695,0.6293321127114213,0.0,13:15-13:45,12:15-12:30,,,c14_best_fn_top_confidence_12days.html
c14_best_fn_top_confidence,beta_B,2024-01-02,FN_day,sure,3.062921201601016,3.690327091222695,0.627405889621679,0.0,12:15-14:45,12:45-13:00,,,c14_best_fn_top_confidence_12days.html
c14_best_fn_top_confidence,beta_F,2024-07-14,FN_day,sure,3.118470791788859,3.690327091222695,0.5718562994338359,0.0,11:45-13:15,11:45-13:00,,,c14_best_fn_top_confidence_12days.html
c14_best_fn_top_confidence,beta_F,2024-07-17,FN_day,sure,3.165493131548275,3.690327091222695,0.52483395967442,0.0,10:45-12:00,11:00-11:45,,,c14_best_fn_top_confidence_12days.html
c14_best_fn_top_confidence,beta_F,2024-03-24,FN_day,sure,3.166946159173758,3.690327091222695,0.5233809320489371,0.0,10:45-16:00,10:15-13:45,,,c14_best_fn_top_confidence_12days.html
