regime,variant,heldout_site,dataset,substation_id,date,confidence,true_day,score,pred_day,threshold,confidence_score,v03_selected_left_slot,v03_selected_right_slot,v03_selected_duration_h,F1_bridge_improvement,F2_roughness_improvement,F3_slope_continuity_improvement,F4_duration_plausibility,F5_n_height_ratio,F6_solar_strength_ratio,F7_solar_peak_alignment,F8_site_centered_core_score,F9_site_rank_core_score,true_start_slot,true_end_slot,true_start_time,true_end_time,pred_start_slot,pred_end_slot,pred_start_time,pred_end_time,day_group,weighted_F1_bridge_improvement,weighted_F2_roughness_improvement,weighted_F3_slope_continuity_improvement,weighted_F4_duration_plausibility,weighted_F5_n_height_ratio,weighted_F6_solar_strength_ratio,weighted_F7_solar_peak_alignment,weighted_F8_site_centered_core_score,weighted_F9_site_rank_core_score,recomputed_score,iou,iou_with_fp_fn_zero,start_error_minutes,end_error_minutes
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_A,beta,beta_A,2023-10-19,sure,True,3.0345485003782904,False,3.690327091222695,0.6557785908444047,56,58,0.75,0.6663716335366063,0.0,0.0,0.5,0.0,0.9113799159418412,0.7857142857142857,0.3421653303711139,0.5846994535519126,51.0,59.0,12:45,14:45,56.0,58.0,14:00,14:30,FN_day,0.6663716335366063,0.0,0.0,0.5,0.0,0.9113799159418412,0.7857142857142857,0.17108266518555695,0.0,3.0345485003782904,0.0,0.0,,
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_A,beta,beta_A,2023-11-08,sure,False,4.302909206560201,True,3.690327091222695,0.6125821153375055,48,51,1.0,0.7167902576399218,0.0521603826770959,0.6515789134844575,0.6666666666666666,0.0,1.0,0.8928571428571429,0.5935513037927368,0.8907103825136613,,,,,48.0,51.0,12:00,12:45,FP_day,0.7167902576399218,0.07824057401564385,0.6515789134844575,0.6666666666666666,0.0,1.0,0.8928571428571429,0.2967756518963684,0.0,4.302909206560201,0.0,0.0,,
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_A,beta,beta_A,2023-11-16,sure,False,3.908661389143148,True,3.690327091222695,0.21833429792045278,48,51,1.0,0.7138852412176622,0.002922023111778,0.3868977429282692,0.6666666666666666,0.0,1.0,0.8928571428571429,0.4879431216114815,0.7868852459016393,,,,,48.0,51.0,12:00,12:45,FP_day,0.7138852412176622,0.004383034667667001,0.3868977429282692,0.6666666666666666,0.0,1.0,0.8928571428571429,0.24397156080574076,0.0,3.9086613891431483,0.0,0.0,,
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_A,beta,beta_A,2023-11-22,sure,True,3.060994978511274,False,3.690327091222695,0.6293321127114213,49,50,0.5,0.9094461686145056,0.0187187424451194,-0.088413380384343,0.3333333333333333,0.0,1.0,0.6785714285714286,0.3999586294173391,0.6557377049180328,53.0,55.0,13:15,13:45,49.0,50.0,12:15,12:30,FN_day,0.9094461686145056,0.0280781136676791,-0.088413380384343,0.3333333333333333,0.0,1.0,0.6785714285714286,0.19997931470866956,0.0,3.060994978511274,0.0,0.0,,
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_A,beta,beta_A,2023-12-22,sure,False,3.937422409484448,True,3.690327091222695,0.2470953182617528,47,49,0.75,0.6973595887595543,0.0219291153619622,0.5131676075664114,0.5,0.0,1.0,0.9285714285714286,0.5308602230882211,0.825136612021858,,,,,47.0,49.0,11:45,12:15,FP_day,0.6973595887595543,0.0328936730429433,0.5131676075664114,0.5,0.0,1.0,0.9285714285714286,0.26543011154411056,0.0,3.9374224094844483,0.0,0.0,,
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_A,beta,beta_A,2024-01-05,sure,False,3.844716687952957,True,3.690327091222695,0.15438959673026176,49,50,0.5,0.8252502615803932,0.0080959461233717,0.4378214560186078,0.3333333333333333,0.0,1.0,0.9642857142857144,0.5437640070997027,0.8415300546448088,,,,,49.0,50.0,12:15,12:30,FP_day,0.8252502615803932,0.012143919185057549,0.4378214560186078,0.3333333333333333,0.0,1.0,0.9642857142857144,0.27188200354985137,0.0,3.8447166879529573,0.0,0.0,,
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_A,beta,beta_A,2024-04-06,sure,False,4.003232857592385,True,3.690327091222695,0.31290576636969014,48,54,1.75,0.8232818397068684,0.0119879366688309,0.0905090572120064,1.0,0.0,1.0,0.8571428571428572,0.4286343970548137,0.7267759562841529,,,,,48.0,54.0,12:00,13:30,FP_day,0.8232818397068684,0.01798190500324635,0.0905090572120064,1.0,0.0,1.0,0.8571428571428572,0.21431719852740685,0.0,4.003232857592385,0.0,0.0,,
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_A,beta,beta_A,2024-04-16,sure,False,3.889338230597141,True,3.690327091222695,0.1990111393744458,44,51,2.0,0.6848490110560972,-0.0012687643673821,0.0626184691744695,1.0,0.1379581465824227,1.0,0.8214285714285714,0.3687743578133067,0.6010928961748634,,,,,44.0,51.0,11:00,12:45,FP_day,0.6848490110560972,-0.0019031465510731499,0.0626184691744695,1.0,0.1379581465824227,1.0,0.8214285714285714,0.18438717890665335,0.0,3.889338230597141,0.0,0.0,,
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_A,beta,beta_A,2024-04-22,sure,False,3.883064123242285,True,3.690327091222695,0.1927370320195898,43,53,2.75,0.0912152957532529,-0.0240592787775924,0.7036827064184191,1.0,0.0071897638371041,1.0,0.9285714285714286,0.3769876936569383,0.6174863387978142,,,,,43.0,53.0,10:45,13:15,FP_day,0.0912152957532529,-0.0360889181663886,0.7036827064184191,1.0,0.0071897638371041,1.0,0.9285714285714286,0.18849384682846915,0.0,3.883064123242285,0.0,0.0,,
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_A,beta,beta_A,2024-04-28,sure,False,3.9926858903374742,True,3.690327091222695,0.30235879911477914,43,51,2.25,0.4043827049380937,-0.0596634959179398,0.5415026339474691,1.0,0.0,1.0,0.9285714285714286,0.4154487335147861,0.6830601092896176,,,,,43.0,51.0,10:45,12:45,FP_day,0.4043827049380937,-0.0894952438769097,0.5415026339474691,1.0,0.0,1.0,0.9285714285714286,0.20772436675739306,0.0,3.9926858903374747,0.0,0.0,,
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_A,beta,beta_A,2024-08-23,sure,False,3.917036987088476,True,3.690327091222695,0.22670989586578072,46,56,2.75,0.3553665282939523,-0.0319263941386934,0.5828615815908198,1.0,0.0299131704769891,1.0,0.7857142857142857,0.422142024440938,0.6939890710382515,,,,,46.0,56.0,11:30,14:00,FP_day,0.3553665282939523,-0.0478895912080401,0.5828615815908198,1.0,0.0299131704769891,1.0,0.7857142857142857,0.211071012220469,0.0,3.917036987088476,0.0,0.0,,
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_A,beta,beta_A,2024-08-28,sure,False,4.052325147165238,True,3.690327091222695,0.36199805594254286,49,54,1.5,0.2968661434206286,0.0040425744069556,0.6250023779344557,1.0,0.0171963791194488,1.0,0.8928571428571429,0.4286784844462585,0.7322404371584699,,,,,49.0,54.0,12:15,13:30,FP_day,0.2968661434206286,0.006063861610433399,0.6250023779344557,1.0,0.0171963791194488,1.0,0.8928571428571429,0.21433924222312925,0.0,4.052325147165238,0.0,0.0,,
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_A,beta,beta_A,2024-09-24,sure,False,3.732725142815307,True,3.690327091222695,0.042398051592611896,42,43,0.5,0.693175696145322,0.0253868798802938,0.6328754039278456,0.3333333333333333,0.0,1.0,0.75,0.5705207791767323,0.8524590163934427,,,,,42.0,43.0,10:30,10:45,FP_day,0.693175696145322,0.0380803198204407,0.6328754039278456,0.3333333333333333,0.0,1.0,0.75,0.28526038958836614,0.0,3.7327251428153074,0.0,0.0,,
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_B,beta,beta_B,2023-10-22,sure,True,3.371013087392216,False,3.690327091222695,0.3193140038304789,39,56,4.5,0.6176060673654192,-0.0309244741277514,0.0686525379755874,1.0,0.0344353163343569,1.0,0.6785714285714286,0.036268896674103,0.0765027322404372,40.0,57.0,10:00,14:15,39.0,56.0,09:45,14:00,FN_day,0.6176060673654192,-0.0463867111916271,0.0686525379755874,1.0,0.0344353163343569,1.0,0.6785714285714286,0.0181344483370515,0.0,3.371013087392216,0.0,0.0,,
