model_family,model_variant,regime,dataset,subset,summary_scope,substation_id,prediction_source,notes,day_support,day_positive_support,day_tp,day_fp,day_fn,day_tn,day_precision,day_recall,day_f1,interval_support,interval_positive_support,interval_tp,interval_fp,interval_fn,interval_tn,interval_precision,interval_recall,interval_f1,manual_correction_MWh,predicted_correction_MWh,overlap_correction_MWh,union_correction_MWh,energy_precision,energy_recall,energy_f1,energy_iou,weight_F1_bridge_improvement,weight_F2_roughness_improvement,weight_F3_slope_continuity_improvement,weight_F4_duration_plausibility,weight_F5_n_height_ratio,weight_F6_solar_strength_ratio,weight_F7_solar_peak_alignment,weight_F8_site_centered_core_score,weight_F9_site_rank_core_score
small_grid_physical_score,G_b1p0_r1p0_sc0p5,R2_beta_loso_plus_alpha,beta,beta_all,macro_site_average,,C14_small_weight_grid,Unweighted average of per-site metrics.,2928,634,534,147,100,2147,0.6501343930276473,0.7127987186810716,0.6719763916745471,280800,12213,10107,2771,2106,265816,0.6306816844632868,0.6981166684632363,0.6552138215358565,1435.2532221875003,1434.8459855,1281.534895875,1588.5643118125,0.7363782216657191,0.7465093544443463,0.7396998645208457,0.6556674538965388,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0
small_grid_physical_score,G_b1p0_r2p0_sc0p5,R2_beta_loso_plus_alpha,beta,beta_all,macro_site_average,,C14_small_weight_grid,Unweighted average of per-site metrics.,2928,634,537,150,97,2144,0.6536195018827968,0.7071993410228705,0.6668998478411873,280800,12213,10121,2782,2092,265805,0.6364365605933268,0.6898491637020947,0.6510810316530471,1435.2532221875003,1437.3188745,1283.0499963124998,1589.522100375,0.744993546496201,0.7378826374292082,0.7365289525621113,0.6526502338572491,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0
small_grid_physical_score,G_b1p0_r1p5_sc0p5,R2_beta_loso_plus_alpha,beta,beta_all,macro_site_average,,C14_small_weight_grid,Unweighted average of per-site metrics.,2928,634,540,160,94,2134,0.6275214470944701,0.7174180438886322,0.6645230704021001,280800,12213,10187,2899,2026,265688,0.6193025746050048,0.7010478729241205,0.6511411887606723,1435.2532221875003,1449.3816169375,1290.529204375,1594.1056347499998,0.7272838111542542,0.7487164443454122,0.7367345662330798,0.6528822171285975,1.0,1.5,1.0,1.0,1.0,1.0,1.0,0.5,0.0
small_grid_physical_score,G_b1p0_r1p0_sc0p0,R2_beta_loso_plus_alpha,beta,beta_all,macro_site_average,,C14_small_weight_grid,Unweighted average of per-site metrics.,2928,634,547,186,87,2108,0.6265098376858865,0.7233909141997377,0.6633757905634856,280800,12213,10276,3317,1937,265270,0.6152060301347037,0.7057510414573849,0.6476861063224202,1435.2532221875003,1484.8218344999998,1300.060997,1620.0140596875,0.7236269605466658,0.7505538602268931,0.7351470398480844,0.6486340196886022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
small_grid_physical_score,G_b1p0_r0p5_sc0p0,R2_beta_loso_plus_alpha,beta,beta_all,macro_site_average,,C14_small_weight_grid,Unweighted average of per-site metrics.,2928,634,549,187,85,2107,0.6116599190905034,0.7307687079745903,0.6629645271128551,280800,12213,10306,3330,1907,265257,0.6051420799456175,0.7113572051505841,0.6474362465545078,1435.2532221875003,1498.0606264375,1303.4369702499998,1629.876878375,0.7095935632064174,0.7525459733249378,0.7301438626839728,0.643245947503963,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0
small_grid_physical_score,G_b1p0_r2p0_sc0p5,R1_beta_loso,beta,beta_all,macro_site_average,,C14_small_weight_grid,Unweighted average of per-site metrics.,2928,634,529,139,105,2155,0.6610428511645753,0.6780043088866619,0.6433342308631246,280800,12213,10021,2643,2192,265944,0.6379939204085179,0.6616500317190079,0.6277149541644946,1435.2532221875003,1423.8328662499998,1274.4745728750001,1584.6115155625,0.7406004946586267,0.7113011458843833,0.7128252540266498,0.6331172466573809,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0
small_grid_physical_score,G_b1p0_r1p0_sc0p5,R1_beta_loso,beta,beta_all,macro_site_average,,C14_small_weight_grid,Unweighted average of per-site metrics.,2928,634,530,144,104,2150,0.6580752142836861,0.6794653853477384,0.642678146060512,280800,12213,10049,2735,2164,265852,0.6347227051391914,0.6630925138738644,0.6260601234156846,1435.2532221875003,1429.3637361874999,1278.224881125,1586.3920772499998,0.7393951472457992,0.712853304070513,0.7128766582755206,0.6332117843001124,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0
small_grid_physical_score,G_b1p0_r2p0_sc0p0,R1_beta_loso,beta,beta_all,macro_site_average,,C14_small_weight_grid,Unweighted average of per-site metrics.,2928,634,539,166,95,2128,0.6473848600490718,0.6857318412465471,0.6401589530034033,280800,12213,10148,3023,2065,265564,0.6289605399424006,0.6678515368448289,0.6240328628465716,1435.2532221875003,1451.0629182500002,1286.95247175,1599.3636686874997,0.7360947975013183,0.7146262630636315,0.7123777552395119,0.6322250568195065,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
small_grid_physical_score,G_b2p0_r1p5_sc0p0,R1_beta_loso,beta,beta_all,macro_site_average,,C14_small_weight_grid,Unweighted average of per-site metrics.,2928,634,517,136,117,2158,0.6659372107549837,0.6610671202582967,0.6393410606215487,280800,12213,9810,2508,2403,266079,0.6473342097637939,0.6489279218484745,0.6260155470892409,1435.2532221875003,1368.3120984375,1248.44929275,1555.1160278749999,0.7488823173469947,0.7008350974986974,0.7118736661095505,0.6316498012493342,2.0,1.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0
small_grid_physical_score,G_b1p0_r0p5_sc0p0,R1_beta_loso,beta,beta_all,macro_site_average,,C14_small_weight_grid,Unweighted average of per-site metrics.,2928,634,537,164,97,2130,0.6308452709737585,0.6816602559249618,0.6377839798091469,280800,12213,10147,3051,2066,265536,0.6091443119488829,0.6647973799736789,0.6193441546833822,1435.2532221875003,1459.5506028125,1290.4123499999998,1604.391475,0.7139391852405739,0.7126729134089607,0.7068842664204076,0.626756360626289,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0
