model_family,model_variant,regime,dataset,subset,summary_scope,substation_id,prediction_source,notes,day_support,day_positive_support,day_tp,day_fp,day_fn,day_tn,day_precision,day_recall,day_f1,interval_support,interval_positive_support,interval_tp,interval_fp,interval_fn,interval_tn,interval_precision,interval_recall,interval_f1,manual_correction_MWh,predicted_correction_MWh,overlap_correction_MWh,union_correction_MWh,energy_precision,energy_recall,energy_f1,energy_iou,weight_F1_bridge_improvement,weight_F2_roughness_improvement,weight_F3_slope_continuity_improvement,weight_F4_duration_plausibility,weight_F5_n_height_ratio,weight_F6_solar_strength_ratio,weight_F7_solar_peak_alignment,weight_F8_site_centered_core_score,weight_F9_site_rank_core_score
small_grid_physical_score,G_b1p0_r0p5_sc0p0,R1_beta_loso,beta,beta_all,site,beta_A,C14_small_weight_grid,Top-10 day-F1 grid candidate expanded to selected v0.3 candidate window.,366,30,28,16,2,320,0.6363636363636364,0.9333333333333333,0.7567567567567568,35136,494,457,156,37,34486,0.7455138662316476,0.9251012145748988,0.8256549232158988,783.9919125000001,810.7527624999999,763.991873,830.7528020000001,0.9423241070979393,0.9744894823771539,0.9581369168077016,0.9196380333123451,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0
small_grid_physical_score,G_b1p0_r0p5_sc0p0,R1_beta_loso,beta,beta_all,site,beta_B,C14_small_weight_grid,Top-10 day-F1 grid candidate expanded to selected v0.3 candidate window.,366,153,131,26,22,187,0.8343949044585988,0.8562091503267973,0.8451612903225806,35136,3233,2745,465,488,31438,0.8551401869158879,0.8490566037735849,0.8520875368617105,5345.8698565,5333.754056,4837.4576935,5842.166219,0.9069517721872251,0.9048962700837495,0.9059228551743254,0.8280246593750673,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0
small_grid_physical_score,G_b1p0_r0p5_sc0p0,R1_beta_loso,beta,beta_all,site,beta_C,C14_small_weight_grid,Top-10 day-F1 grid candidate expanded to selected v0.3 candidate window.,366,13,0,1,13,352,0.0,0.0,0.0,35136,168,0,9,168,34959,0.0,0.0,0.0,88.23298199999999,6.7776955,0.0,95.01067749999999,0.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0
small_grid_physical_score,G_b1p0_r0p5_sc0p0,R1_beta_loso,beta,beta_all,site,beta_D,C14_small_weight_grid,Top-10 day-F1 grid candidate expanded to selected v0.3 candidate window.,366,77,60,35,17,254,0.631578947368421,0.7792207792207793,0.6976744186046512,35136,848,652,949,196,33339,0.40724547158026236,0.7688679245283019,0.5324622294814211,613.355565,633.354343,535.019342,711.690566,0.844739359433113,0.8722825266939578,0.8582900297283915,0.7517583730342718,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0
small_grid_physical_score,G_b1p0_r0p5_sc0p0,R1_beta_loso,beta,beta_all,site,beta_E,C14_small_weight_grid,Top-10 day-F1 grid candidate expanded to selected v0.3 candidate window.,366,44,38,12,6,310,0.76,0.8636363636363636,0.8085106382978724,35040,553,463,211,90,34276,0.6869436201780416,0.8372513562386981,0.7546862265688672,147.81065700000002,166.19786050000002,129.1451185,184.863399,0.777056444117101,0.8737199409106204,0.8225580600691826,0.6985975547274234,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0
small_grid_physical_score,G_b1p0_r0p5_sc0p0,R1_beta_loso,beta,beta_all,site,beta_F,C14_small_weight_grid,Top-10 day-F1 grid candidate expanded to selected v0.3 candidate window.,366,185,174,44,11,137,0.7981651376146789,0.9405405405405406,0.8635235732009926,35040,3993,3473,630,520,30417,0.8464538142822325,0.8697721011770598,0.8579545454545454,1676.802064,1726.743589,1579.585345,1823.960308,0.9147770144117211,0.9420225433358007,0.9281998868489982,0.8660195828121058,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0
small_grid_physical_score,G_b1p0_r0p5_sc0p0,R1_beta_loso,beta,beta_all,site,beta_G,C14_small_weight_grid,Top-10 day-F1 grid candidate expanded to selected v0.3 candidate window.,366,117,103,28,14,221,0.7862595419847328,0.8803418803418803,0.8306451612903225,35136,2717,2312,592,405,31827,0.7961432506887053,0.8509385351490615,0.8226294253691513,2727.614458,2952.26818,2455.0974435,3224.7851945,0.8315970277131124,0.9000896135813047,0.864488793157349,0.7613212339498663,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0
small_grid_physical_score,G_b1p0_r0p5_sc0p0,R1_beta_loso,beta,beta_all,site,beta_H,C14_small_weight_grid,Top-10 day-F1 grid candidate expanded to selected v0.3 candidate window.,366,15,3,2,12,349,0.6,0.2,0.3,35040,207,45,39,162,34794,0.5357142857142857,0.21739130434782608,0.30927835051546393,98.3482825,46.556336,23.0019845,121.90263399999999,0.49406775696437966,0.23388293028909782,0.3174775895773122,0.18869144779923294,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0
small_grid_physical_score,G_b1p0_r1p0_sc0p5,R1_beta_loso,beta,beta_all,site,beta_A,C14_small_weight_grid,Top-10 day-F1 grid candidate expanded to selected v0.3 candidate window.,366,30,28,17,2,319,0.6222222222222222,0.9333333333333333,0.7466666666666667,35136,494,457,158,37,34484,0.7430894308943089,0.9251012145748988,0.8241659152389539,783.9919125000001,811.8539635,763.991873,831.8540030000001,0.9410459360281243,0.9744894823771539,0.9574757619012076,0.9184206245864516,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0
small_grid_physical_score,G_b1p0_r1p0_sc0p5,R1_beta_loso,beta,beta_all,site,beta_B,C14_small_weight_grid,Top-10 day-F1 grid candidate expanded to selected v0.3 candidate window.,366,153,125,22,28,191,0.8503401360544217,0.8169934640522876,0.8333333333333333,35136,3233,2660,423,573,31480,0.8627959779435614,0.8227652335292298,0.8423052564914504,5345.8698565,5200.413017999999,4747.064485999999,5799.2183884999995,0.912824514047088,0.8879872898941005,0.9002346215229995,0.8185697050853528,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0
small_grid_physical_score,G_b1p0_r1p0_sc0p5,R1_beta_loso,beta,beta_all,site,beta_C,C14_small_weight_grid,Top-10 day-F1 grid candidate expanded to selected v0.3 candidate window.,366,13,0,1,13,352,0.0,0.0,0.0,35136,168,0,9,168,34959,0.0,0.0,0.0,88.23298199999999,6.7776955,0.0,95.01067749999999,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0
small_grid_physical_score,G_b1p0_r1p0_sc0p5,R1_beta_loso,beta,beta_all,site,beta_D,C14_small_weight_grid,Top-10 day-F1 grid candidate expanded to selected v0.3 candidate window.,366,77,59,25,18,264,0.7023809523809523,0.7662337662337663,0.7329192546583851,35136,848,649,782,199,33506,0.453529000698812,0.7653301886792453,0.5695480473892058,613.355565,614.041742,534.4007485,692.9965585,0.8703003589941609,0.8712739868920892,0.8707869007895744,0.7711448808010205,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0
small_grid_physical_score,G_b1p0_r1p0_sc0p5,R1_beta_loso,beta,beta_all,site,beta_E,C14_small_weight_grid,Top-10 day-F1 grid candidate expanded to selected v0.3 candidate window.,366,44,40,16,4,306,0.7142857142857143,0.9090909090909091,0.8,35040,553,475,236,78,34251,0.6680731364275668,0.8589511754068716,0.7515822784810127,147.81065700000002,174.13651199999998,132.91067850000002,189.0364905,0.7632556605934546,0.8991955059099697,0.8256676330643555,0.7030953555498852,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0
small_grid_physical_score,G_b1p0_r1p0_sc0p5,R1_beta_loso,beta,beta_all,site,beta_F,C14_small_weight_grid,Top-10 day-F1 grid candidate expanded to selected v0.3 candidate window.,366,185,172,36,13,145,0.8269230769230769,0.9297297297297298,0.8753180661577608,35040,3993,3451,547,542,30500,0.8631815907953977,0.8642624593037816,0.86372168689776,1676.802064,1689.685174,1569.331835,1797.1554029999998,0.9287717375686697,0.9359076236203869,0.9323260265393586,0.8732310140682921,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0
