fold_id,held_out,training_stations,n_training_rows,n_training_rpf_days,bundle,elapsed_s,skipped
alpha_alpha_A,alpha_A,alpha_B;alpha_C;alpha_D;alpha_E;alpha_F;alpha_G;alpha_H;alpha_I;alpha_J;beta_A;beta_B;beta_C;beta_D;beta_E;beta_F;beta_G;beta_H,1122336,3851,outputs/01_final_evaluation/02_bundles/alpha_alpha_A/m8_xgb/20260916T052123Z/bundle.pkl,98.6,False
alpha_alpha_B,alpha_B,alpha_A;alpha_C;alpha_D;alpha_E;alpha_F;alpha_G;alpha_H;alpha_I;alpha_J;beta_A;beta_B;beta_C;beta_D;beta_E;beta_F;beta_G;beta_H,1120800,3824,outputs/01_final_evaluation/02_bundles/alpha_alpha_B/m8_xgb/20260916T052309Z/bundle.pkl,106.6,False
alpha_alpha_C,alpha_C,alpha_A;alpha_B;alpha_D;alpha_E;alpha_F;alpha_G;alpha_H;alpha_I;alpha_J;beta_A;beta_B;beta_C;beta_D;beta_E;beta_F;beta_G;beta_H,1120800,3224,outputs/01_final_evaluation/02_bundles/alpha_alpha_C/m8_xgb/20260916T052550Z/bundle.pkl,160.6,False
alpha_alpha_D,alpha_D,alpha_A;alpha_B;alpha_C;alpha_E;alpha_F;alpha_G;alpha_H;alpha_I;alpha_J;beta_A;beta_B;beta_C;beta_D;beta_E;beta_F;beta_G;beta_H,1122720,3851,outputs/01_final_evaluation/02_bundles/alpha_alpha_D/m8_xgb/20260916T052847Z/bundle.pkl,176.7,False
alpha_alpha_E,alpha_E,alpha_A;alpha_B;alpha_C;alpha_D;alpha_F;alpha_G;alpha_H;alpha_I;alpha_J;beta_A;beta_B;beta_C;beta_D;beta_E;beta_F;beta_G;beta_H,1122720,3151,outputs/01_final_evaluation/02_bundles/alpha_alpha_E/m8_xgb/20260916T053124Z/bundle.pkl,157.0,False
alpha_alpha_F,alpha_F,alpha_A;alpha_B;alpha_C;alpha_D;alpha_E;alpha_G;alpha_H;alpha_I;alpha_J;beta_A;beta_B;beta_C;beta_D;beta_E;beta_F;beta_G;beta_H,1122912,3009,outputs/01_final_evaluation/02_bundles/alpha_alpha_F/m8_xgb/20260916T053348Z/bundle.pkl,144.3,False
alpha_alpha_G,alpha_G,alpha_A;alpha_B;alpha_C;alpha_D;alpha_E;alpha_F;alpha_H;alpha_I;alpha_J;beta_A;beta_B;beta_C;beta_D;beta_E;beta_F;beta_G;beta_H,1122528,3201,outputs/01_final_evaluation/02_bundles/alpha_alpha_G/m8_xgb/20260916T053521Z/bundle.pkl,92.9,False
alpha_alpha_H,alpha_H,alpha_A;alpha_B;alpha_C;alpha_D;alpha_E;alpha_F;alpha_G;alpha_I;alpha_J;beta_A;beta_B;beta_C;beta_D;beta_E;beta_F;beta_G;beta_H,1122336,3851,outputs/01_final_evaluation/02_bundles/alpha_alpha_H/m8_xgb/20260916T053709Z/bundle.pkl,107.7,False
alpha_alpha_I,alpha_I,alpha_A;alpha_B;alpha_C;alpha_D;alpha_E;alpha_F;alpha_G;alpha_H;alpha_J;beta_A;beta_B;beta_C;beta_D;beta_E;beta_F;beta_G;beta_H,1122048,3703,outputs/01_final_evaluation/02_bundles/alpha_alpha_I/m8_xgb/20260916T053848Z/bundle.pkl,99.7,False
alpha_alpha_J,alpha_J,alpha_A;alpha_B;alpha_C;alpha_D;alpha_E;alpha_F;alpha_G;alpha_H;alpha_I;beta_A;beta_B;beta_C;beta_D;beta_E;beta_F;beta_G;beta_H,1120800,3464,outputs/01_final_evaluation/02_bundles/alpha_alpha_J/m8_xgb/20260916T054023Z/bundle.pkl,94.9,False
