fold_id,cohort,held_out,n_train,n_train_rpf,cal_intercept,cal_slope,raw_threshold_correct,raw_threshold_keep
alpha_alpha_A,alpha,alpha_A,9356,3381,-0.0913729133029268,3.2025885227384814,0.34057352519830386,-0.2662194039997644
alpha_alpha_B,alpha,alpha_B,9342,3354,-0.08016264333854684,3.1400105594132213,0.34362151810297475,-0.27673974844117166
alpha_alpha_C,alpha,alpha_C,9342,2754,-0.0010913617438397909,3.463291551697335,0.27757807545051666,-0.27677314145504656
alpha_alpha_D,alpha,alpha_D,9361,3381,-0.08392994691793498,3.147032795415094,0.3443446031630747,-0.27451729070206615
alpha_alpha_E,alpha,alpha_E,9362,2681,-0.1671589526045359,3.2554469069926744,0.3656333237801257,-0.23235054819796797
alpha_alpha_F,alpha,alpha_F,9364,2539,-0.20760686558898084,3.197249942919691,0.3908864477012184,-0.2214948300203378
alpha_alpha_G,alpha,alpha_G,9360,2731,0.04283789198881941,3.4663855510706054,0.26121378574115256,-0.2927745879565194
alpha_alpha_H,alpha,alpha_H,9356,3381,-0.09151287064815129,3.1849247666867524,0.3428134519003171,-0.26782233967082847
alpha_alpha_I,alpha,alpha_I,9353,3233,-0.056947396497036964,3.179366295103319,0.32897840588366734,-0.2822129082624838
alpha_alpha_J,alpha,alpha_J,9341,2994,-0.1073368665371887,3.211319321300811,0.3461811635213566,-0.25913218172868385
beta_beta_A,beta,beta_A,1954,444,-4.274195383769826,2.0584394420931145,11.03773855561961,4.284635578715956
beta_beta_B,beta,beta_B,2058,345,-5.193238151954853,2.28566356245713,13.052399340217788,5.695201475633645
beta_beta_C,beta,beta_C,1951,470,-4.550218570775238,2.1468051723532535,11.356828043751698,4.611689170907651
beta_beta_D,beta,beta_D,2105,425,-4.450263771780001,2.123041972886491,11.124999338249552,4.457970942988493
beta_beta_E,beta,beta_E,1983,449,-4.350841688949829,2.092573488942517,10.990196589029862,4.334926818589621
beta_beta_F,beta,beta_F,2004,306,-4.370002466645964,2.075653436316142,11.348937875419804,4.458393509994726
beta_beta_G,beta,beta_G,2006,385,-4.9167393454053965,2.3526707270182476,10.58831679417933,4.639026509569845
beta_beta_H,beta,beta_H,1955,466,-4.738646566664802,2.213133341550952,11.478387342151583,4.802555079995795
