method,cohort,station,fold_id,date,confidence,rpf,outcome,prob_day,pred_start,pred_end,true_start,true_end,proposed_mwh,required_mwh,correct_mwh,raw_min_mw,applied_min_mw,min_change_mw
m7,alpha,alpha_A,alpha_alpha_A,2021-11-02,controlled,0,AUTO_KEEP,,-1,-1,-1,-1,0.0,0.0,0.0,12.351468,12.351468,0.0
m7,alpha,alpha_A,alpha_alpha_A,2021-11-03,controlled,0,AUTO_KEEP,,-1,-1,-1,-1,0.0,0.0,0.0,12.445139,12.445139,0.0
m7,alpha,alpha_A,alpha_alpha_A,2021-11-04,controlled,0,AUTO_KEEP,,-1,-1,-1,-1,0.0,0.0,0.0,12.610032,12.610032,0.0
m7,alpha,alpha_A,alpha_alpha_A,2021-11-05,controlled,0,AUTO_KEEP,,-1,-1,-1,-1,0.0,0.0,0.0,12.596871,12.596871,0.0
m7,alpha,alpha_A,alpha_alpha_A,2021-11-06,controlled,0,AUTO_KEEP,,-1,-1,-1,-1,0.0,0.0,0.0,12.555068,12.555068,0.0
m7,alpha,alpha_A,alpha_alpha_A,2021-11-07,controlled,0,AUTO_KEEP,,-1,-1,-1,-1,0.0,0.0,0.0,12.564358,12.564358,0.0
m7,alpha,alpha_A,alpha_alpha_A,2021-11-08,controlled,0,AUTO_KEEP,,-1,-1,-1,-1,0.0,0.0,0.0,12.672738,12.672738,0.0
m7,alpha,alpha_A,alpha_alpha_A,2021-11-09,controlled,0,AUTO_KEEP,,-1,-1,-1,-1,0.0,0.0,0.0,12.675834,12.675834,0.0
m7,alpha,alpha_A,alpha_alpha_A,2021-11-10,controlled,0,AUTO_KEEP,,-1,-1,-1,-1,0.0,0.0,0.0,12.827566,12.827566,0.0
m7,alpha,alpha_A,alpha_alpha_A,2021-11-11,controlled,0,AUTO_KEEP,,-1,-1,-1,-1,0.0,0.0,0.0,12.596872,12.596872,0.0
m7,alpha,alpha_A,alpha_alpha_A,2021-11-12,controlled,0,AUTO_KEEP,,-1,-1,-1,-1,0.0,0.0,0.0,12.537262,12.537262,0.0
m7,alpha,alpha_A,alpha_alpha_A,2021-11-13,controlled,0,AUTO_KEEP,,-1,-1,-1,-1,0.0,0.0,0.0,12.48075,12.48075,0.0
m7,alpha,alpha_A,alpha_alpha_A,2021-11-14,controlled,0,AUTO_KEEP,,-1,-1,-1,-1,0.0,0.0,0.0,12.349145,12.349145,0.0
m7,alpha,alpha_A,alpha_alpha_A,2021-11-15,controlled,0,AUTO_KEEP,,-1,-1,-1,-1,0.0,0.0,0.0,12.414174,12.414174,0.0
m7,alpha,alpha_A,alpha_alpha_A,2021-11-16,controlled,0,AUTO_KEEP,,-1,-1,-1,-1,0.0,0.0,0.0,12.505522,12.505522,0.0
m7,alpha,alpha_A,alpha_alpha_A,2021-11-17,controlled,0,AUTO_KEEP,,-1,-1,-1,-1,0.0,0.0,0.0,12.513264,12.513264,0.0
m7,alpha,alpha_A,alpha_alpha_A,2021-11-18,controlled,0,AUTO_CORRECT,,47,47,-1,-1,4.779565,0.0,0.0,9.474749,-9.55913,-19.033879
m7,alpha,alpha_A,alpha_alpha_A,2021-11-19,controlled,0,AUTO_KEEP,,-1,-1,-1,-1,0.0,0.0,0.0,12.685124,12.685124,0.0
