method,cohort,station,n_days,n_rpf,required_mwh,applied_mwh,energy_iou,energy_precision,day_precision,day_recall,day_f1,tp,fp,fn,rate_auto_correct,rate_auto_keep,rate_uncertain,sure_rpf_days,sure_day_recall,sure_day_uncertain_rate,n_stations,interval_precision,interval_recall,interval_f1,slot_tp,slot_fp,slot_fn,window_iou_mean,start_error_mae,end_error_mae,false_mwh,min_change_days,min_change_mean_mw,min_change_total_mw,reference_min_change_days,reference_min_change_mean_mw
m7,alpha,alpha_A,1039,0,0.0,17152.635485500003,0.0,0.0,0.0,,0.0,0,70,0,0.06737247353224254,0.9326275264677575,0.0,0,,,1,0.0,,0.0,0,1801,0,,,,17152.635485500003,70,-36.614789342857144,-2563.035254,0,
m7,alpha,alpha_B,1055,27,29.610468499999996,11002.050713,0.002534510847274096,0.00253490737568099,0.034482758620689655,1.0,0.06666666666666667,27,756,0,0.7421800947867299,0.25781990521327014,0.0,27,1.0,0.0,1,0.03483742534837425,0.7394366197183099,0.06653992395437262,105,2909,37,0.4665183581850249,1.4444444444444444,1.5555555555555556,10974.161533499999,783,-12.600829223499364,-9866.449282000001,27,-0.48831592592592593
m7,alpha,alpha_C,1055,627,3752.316103,6179.018896,0.4948906465087054,0.5320934702317183,0.6362704918032787,0.9904306220095693,0.7747972551466,621,355,6,0.9251184834123223,0.07488151658767772,0.0,627,0.9904306220095693,0.0,1,0.6446307300509337,0.7669486175987881,0.7004900547708274,6075,3349,1846,0.5768185398174442,2.465378421900161,2.2302737520128826,2891.203289,976,-2.042900349385246,-1993.8707410000002,627,-1.1823009138755982
m7,alpha,alpha_D,1035,0,0.0,4902.680037,0.0,0.0,0.0,,0.0,0,344,0,0.3323671497584541,0.6676328502415458,0.0,0,,,1,0.0,,0.0,0,1928,0,,,,4902.680037,344,-9.172799511627908,-3155.443032,0,
m7,alpha,alpha_E,1035,700,6326.578003500001,8689.090938000001,0.5944306667960063,0.6442670341402289,0.7141393442622951,0.9957142857142857,0.8317422434367542,697,279,3,0.9429951690821256,0.057004830917874394,0.0,700,0.9957142857142857,0.0,1,0.7154139180525876,0.7845934379457917,0.7484084171647957,7700,3063,2114,0.6215624437543846,2.1979913916786225,2.2022955523672882,3090.9960900000005,976,-2.435200030737705,-2376.7552299999998,700,-1.6669636185714287
m7,alpha,alpha_F,1033,842,13356.8295205,14293.0092845,0.7303138952670232,0.8164951255335483,0.8553846153846154,0.9904988123515439,0.9179966978536048,834,141,8,0.9438528557599225,0.05614714424007745,0.0,842,0.9904988123515439,0.0,1,0.8035794856369379,0.7697738078086731,0.7863134657836646,10686,2612,3196,0.6165851309955073,3.105515587529976,2.2817745803357314,2622.8368745,975,-2.9291690358974356,-2855.93981,842,-2.6017574667458434
m7,alpha,alpha_G,1037,650,5828.545406499999,7816.8201145,0.6042884949675645,0.6575320291643637,0.684322033898305,0.9938461538461538,0.810539523212045,646,298,4,0.9103182256509161,0.08968177434908389,0.0,650,0.9938461538461538,0.0,1,0.7288102067055682,0.7789640591966174,0.7530529865617496,7369,2742,2091,0.6072285811748769,2.527863777089783,2.3390092879256965,2677.010523,944,-2.323971465042373,-2193.829063,650,-1.5788786
m7,alpha,alpha_H,1039,0,0.0,3309.9979670000002,0.0,0.0,0.0,,0.0,0,27,0,0.02598652550529355,0.9740134744947064,0.0,0,,,1,0.0,,0.0,0,379,0,,,,3309.9979670000002,27,-33.67023066666667,-909.096228,0,
m7,alpha,alpha_I,1042,148,1199.690992,9622.435675,0.10553263874387377,0.10736007959855756,0.19865771812080538,1.0,0.3314669652855543,148,597,0,0.7149712092130518,0.28502879078694815,0.0,148,1.0,0.0,1,0.3056619838229034,0.7687366167023555,0.43740481267133724,1436,3262,432,0.5615714604007994,2.5135135135135136,2.574324324324324,8589.370214999999,745,-8.325312758389261,-6202.358005,148,-1.6395225202702703
m7,alpha,alpha_J,1055,387,1542.0867715000002,5621.8733185,0.2368406356116792,0.2440139051133975,0.41931942919868276,0.9870801033591732,0.588597842835131,382,529,5,0.8635071090047394,0.13649289099526066,0.0,387,0.9870801033591732,0.0,1,0.458924308383654,0.7614165890027959,0.5726802768772452,3268,3853,1024,0.5486426961387223,2.0104712041884816,2.431937172774869,4250.058056,911,-2.6934650834248077,-2453.746691,387,-0.8996256770025839
m7,beta,beta_A,337,26,754.99691,4496.745437,0.15005523312134056,0.1523833637238647,0.09090909090909091,0.9230769230769231,0.16551724137931034,24,240,2,0.7833827893175074,0.2166172106824926,0.0,26,0.9230769230769231,0.0,1,0.23733333333333334,0.7807017543859649,0.3640081799591002,356,1144,100,0.7500013069899016,1.2083333333333333,1.9583333333333333,3811.5162414999995,264,-9.58847162121212,-2531.356508,26,-4.531903038461539
m7,beta,beta_B,231,125,4769.1721835,2829.2031075000004,0.3761908689066,0.7341523469961762,0.5625,0.504,0.5316455696202531,63,49,62,0.48484848484848486,0.5151515151515151,0.0,125,0.504,0.0,1,0.7692307692307693,0.38573508005822416,0.5138148327678139,1060,318,1688,0.3464634532663457,4.523809523809524,2.1904761904761907,752.1370059999999,112,-6.585747464285715,-737.6037160000001,125,-6.036133711999999
m7,beta,beta_C,339,0,0.0,1852.945612,0.0,0.0,0.0,,0.0,0,287,0,0.8466076696165191,0.15339233038348082,0.0,0,,,1,0.0,,0.0,0,1341,0,,,,1852.945612,287,-4.368587240418118,-1253.7845379999999,0,
m7,beta,beta_D,188,45,475.14381699999996,998.8730999999999,0.25660578592617284,0.3013419122008592,0.23529411764705882,0.5333333333333333,0.326530612244898,24,78,21,0.5425531914893617,0.4574468085106383,0.0,45,0.5333333333333333,0.0,1,0.3063063063063063,0.53125,0.3885714285714285,306,693,270,0.3651470890708563,4.625,1.25,697.8707700000001,102,-3.556433343137255,-362.756201,45,-2.4036925555555553
m7,beta,beta_E,306,21,87.1145895,1788.0437565,0.02516848052892569,0.02574669905736169,0.07407407407407407,0.7619047619047619,0.1350210970464135,16,200,5,0.7058823529411765,0.29411764705882354,0.0,21,0.7619047619047619,0.0,1,0.13219424460431656,0.5212765957446809,0.2109038737446198,147,965,135,0.511160532589104,1.25,3.3125,1742.0075319999999,216,-5.449512254629629,-1177.094647,21,-1.1108819047619047
m7,beta,beta_F,286,164,1578.0256439999998,1835.1271225,0.7697198131946743,0.8089426355257849,0.6014760147601476,0.9939024390243902,0.7494252873563219,163,108,1,0.9475524475524476,0.05244755244755245,0.0,164,0.9939024390243902,0.0,1,0.8118051879301218,0.8500554323725056,0.8304901164365015,3067,711,541,0.8273848915644569,1.1533742331288344,2.2883435582822087,350.6145515,271,-1.422329634686347,-385.45133100000004,164,-1.4188688658536586
m7,beta,beta_G,283,85,2201.5129779999997,3721.0025749999995,0.5441199707437421,0.5608669709130745,0.3231939163498099,1.0,0.48850574712643674,85,178,0,0.9293286219081273,0.0706713780918728,0.0,85,1.0,0.0,1,0.5669856459330144,0.8985781990521327,0.6952695269526953,1896,1448,214,0.8833391675493725,0.9882352941176471,1.5294117647058822,1634.015132,263,-3.984530688212928,-1047.931571,85,-3.742378576470588
m7,beta,beta_H,335,4,30.179627500000002,3434.338565,0.0058777162016904255,0.005894719788641455,0.014760147601476014,1.0,0.02909090909090909,4,267,0,0.808955223880597,0.191044776119403,0.0,4,1.0,0.0,1,0.0298932384341637,0.6666666666666666,0.05722070844686649,42,1363,21,0.6563813025210083,1.25,4.25,3414.0941015000003,271,-7.545224398523985,-2044.7558119999999,4,-1.88848475
m8,alpha,alpha_A,1039,0,0.0,0.0,0.0,,,,0.0,0,0,0,0.0,1.0,0.0,0,,,1,,,0.0,0,0,0,,,,0.0,0,,0.0,0,
m8,alpha,alpha_B,1055,27,29.610468499999996,7.4059775,0.18817947713671204,0.7915940873436357,0.75,0.1111111111111111,0.19354838709677416,3,1,24,0.0037914691943127963,0.9962085308056872,0.0,27,0.1111111111111111,0.0,1,0.8,0.14084507042253522,0.23952095808383236,20,5,122,0.07090851535295979,2.0,1.0,1.5434495,4,-1.12611075,-4.504443,27,-0.48831592592592593
