point,cohort,station,n_days,corrected_days,auto_fp,auto_fn,tp,day_precision,day_recall,energy_precision,energy_iou,fp_per_station_year,review_days,review_days_per_station_year,auto_share
locked c = 0.70,beta,beta_A,334,24,0,1,24,1.0,0.9230769230769231,0.9884132583433306,0.95574060191616,0.0,9,9.842065868263473,0.9730538922155688
locked c = 0.70,beta,beta_B,230,108,0,10,108,1.0,0.864,0.9478660044367611,0.8890926088713529,0.0,10,15.880434782608697,0.9565217391304348
locked c = 0.70,beta,beta_C,337,0,0,0,0,,,,,0.0,0,0.0,1.0
locked c = 0.70,beta,beta_D,183,35,1,3,34,0.9714285714285714,0.7555555555555555,0.9662549108355374,0.9015861980944986,1.9959016393442623,25,49.89754098360656,0.8633879781420765
locked c = 0.70,beta,beta_E,305,22,1,0,21,0.9545454545454546,1.0,0.9113346090655575,0.899125056861397,1.1975409836065574,8,9.580327868852459,0.9737704918032787
locked c = 0.70,beta,beta_F,284,166,9,2,157,0.9457831325301205,0.9573170731707317,0.9496679852364251,0.930078607694169,11.57482394366197,14,18.005281690140844,0.9507042253521126
locked c = 0.70,beta,beta_G,282,86,10,5,76,0.8837209302325582,0.8941176470588236,0.9015351431655869,0.8700366556153777,12.952127659574469,15,19.4281914893617,0.9468085106382979
locked c = 0.70,beta,beta_H,333,1,0,3,1,1.0,0.25,0.8178171899595065,0.17344536429581756,0.0,1,1.0968468468468469,0.996996996996997
target 0.95 (rule L),beta,beta_A,334,23,0,1,23,1.0,0.8846153846153846,0.988116499647744,0.9315937485993292,0.0,18,19.684131736526947,0.9461077844311377
target 0.95 (rule L),beta,beta_B,230,95,0,6,95,1.0,0.76,0.9480301574397794,0.8313359652735812,0.0,27,42.87717391304348,0.8826086956521739
target 0.95 (rule L),beta,beta_C,337,0,0,0,0,,,,,0.0,0,0.0,1.0
target 0.95 (rule L),beta,beta_D,183,28,0,2,28,1.0,0.6222222222222222,0.9738325573391343,0.8233184318127191,0.0,39,77.84016393442623,0.7868852459016393
target 0.95 (rule L),beta,beta_E,305,18,0,0,18,1.0,0.8571428571428571,0.950428030388802,0.8761437669125145,0.0,17,20.358196721311476,0.9442622950819672
target 0.95 (rule L),beta,beta_F,284,144,5,1,139,0.9652777777777778,0.8475609756097561,0.9611497029193592,0.9141653971597099,6.430457746478873,48,61.73239436619718,0.8309859154929577
target 0.95 (rule L),beta,beta_G,282,78,6,4,72,0.9230769230769231,0.8470588235294118,0.9378977509768162,0.8652007904641217,7.7712765957446805,27,34.97074468085106,0.9042553191489362
target 0.95 (rule L),beta,beta_H,333,1,0,2,1,1.0,0.25,0.8178171899595065,0.17344536429581756,0.0,2,2.1936936936936937,0.993993993993994
target 0.99 (rule L),beta,beta_A,334,0,0,0,0,,0.0,,0.0,0.0,94,102.79491017964071,0.718562874251497
target 0.99 (rule L),beta,beta_B,230,0,0,3,0,,0.0,,0.0,0.0,128,203.26956521739132,0.4434782608695652
target 0.99 (rule L),beta,beta_C,337,0,0,0,0,,,,,0.0,1,1.0838278931750742,0.9970326409495549
target 0.99 (rule L),beta,beta_D,183,0,0,0,0,,0.0,,0.0,0.0,107,213.56147540983608,0.41530054644808745
target 0.99 (rule L),beta,beta_E,305,0,0,0,0,,0.0,,0.0,0.0,50,59.877049180327866,0.8360655737704918
target 0.99 (rule L),beta,beta_F,284,9,0,0,9,1.0,0.054878048780487805,0.9980264262681091,0.10518757082010181,0.0,199,255.93221830985914,0.2992957746478873
target 0.99 (rule L),beta,beta_G,282,12,0,2,12,1.0,0.1411764705882353,0.9989490426467033,0.1728946892928522,0.0,104,134.70212765957447,0.6312056737588653
target 0.99 (rule L),beta,beta_H,333,0,0,1,0,,0.0,,0.0,0.0,7,7.677927927927928,0.978978978978979
locked c = 0.70,alpha,alpha_A,1037,0,0,0,0,,,,,0.0,0,0.0,1.0
locked c = 0.70,alpha,alpha_B,1051,19,1,5,18,0.9473684210526315,0.6666666666666666,0.5180762281377985,0.502355957166528,0.34752616555661275,9,3.1277354900095147,0.9914367269267365
locked c = 0.70,alpha,alpha_C,1051,578,20,37,558,0.9653979238754326,0.8899521531100478,0.8696079505831462,0.8453711114562689,6.9505233111322555,48,16.681255946717414,0.9543292102759277
locked c = 0.70,alpha,alpha_D,1032,0,0,0,0,,,,,0.0,0,0.0,1.0
locked c = 0.70,alpha,alpha_E,1031,651,7,36,644,0.989247311827957,0.92,0.9124335456708028,0.8946390419315001,2.479873908826382,32,11.336566440349175,0.9689621726479146
locked c = 0.70,alpha,alpha_F,1029,790,6,24,784,0.9924050632911392,0.9311163895486936,0.9021213014508018,0.8869308096649166,2.129737609329446,46,16.32798833819242,0.9552964042759962
locked c = 0.70,alpha,alpha_G,1033,619,21,24,598,0.9660743134087237,0.92,0.8891068410932483,0.863405803003758,7.425217812197483,40,14.143272023233301,0.9612778315585673
locked c = 0.70,alpha,alpha_H,1037,0,0,0,0,,,,,0.0,0,0.0,1.0
locked c = 0.70,alpha,alpha_I,1040,133,4,6,129,0.9699248120300752,0.8716216216216216,0.7841279840919996,0.7708967353965451,1.4048076923076924,20,7.024038461538462,0.9807692307692307
locked c = 0.70,alpha,alpha_J,1052,340,12,22,328,0.9647058823529412,0.8475452196382429,0.8288292423981046,0.8001518754502738,4.166349809885932,45,15.623811787072244,0.9572243346007605
target 0.95 (rule L),alpha,alpha_A,1037,0,0,0,0,,,,,0.0,0,0.0,1.0
target 0.95 (rule L),alpha,alpha_B,1051,21,3,9,18,0.8571428571428571,0.6666666666666666,0.42212467057934455,0.4116292047129845,1.0425784966698384,0,0.0,1.0
target 0.95 (rule L),alpha,alpha_C,1051,588,23,62,565,0.9608843537414966,0.9011164274322169,0.869335991439536,0.8456239268552047,7.993101807802093,0,0.0,1.0
target 0.95 (rule L),alpha,alpha_D,1032,0,0,0,0,,,,,0.0,0,0.0,1.0
target 0.95 (rule L),alpha,alpha_E,1031,654,9,55,645,0.9862385321100917,0.9214285714285714,0.9108667998236591,0.8931707041829021,3.1884093113482055,0,0.0,1.0
target 0.95 (rule L),alpha,alpha_F,1029,802,10,50,792,0.9875311720698254,0.9406175771971497,0.898996158599943,0.8842003632971448,3.549562682215744,0,0.0,1.0
target 0.95 (rule L),alpha,alpha_G,1033,626,22,44,604,0.9648562300319489,0.9292307692307692,0.8877023027016793,0.8621406227062397,7.778799612778315,2,0.707163601161665,0.9980638915779284
target 0.95 (rule L),alpha,alpha_H,1037,0,0,0,0,,,,,0.0,0,0.0,1.0
target 0.95 (rule L),alpha,alpha_I,1040,135,4,17,131,0.9703703703703703,0.8851351351351351,0.7837774550993298,0.7709352065450683,1.4048076923076924,0,0.0,1.0
target 0.95 (rule L),alpha,alpha_J,1052,348,13,52,335,0.9626436781609196,0.8656330749354005,0.822599046535924,0.7963008739271218,4.513545627376426,0,0.0,1.0
target 0.99 (rule L),alpha,alpha_A,1037,0,0,0,0,,,,,0.0,0,0.0,1.0
target 0.99 (rule L),alpha,alpha_B,1051,19,1,6,18,0.9473684210526315,0.6666666666666666,0.5180762281377985,0.502355957166528,0.34752616555661275,8,2.780209324452902,0.9923882017126546
target 0.99 (rule L),alpha,alpha_C,1051,583,21,43,562,0.9639794168096055,0.8963317384370016,0.8695932102877438,0.8458182992555623,7.298049476688868,32,11.120837297811608,0.9695528068506185
target 0.99 (rule L),alpha,alpha_D,1032,0,0,0,0,,,,,0.0,0,0.0,1.0
target 0.99 (rule L),alpha,alpha_E,1031,651,7,41,644,0.989247311827957,0.92,0.9124335456708028,0.8946390419315001,2.479873908826382,25,8.856692531522793,0.9757516973811833
