month,total_intervals,rpf_intervals,dataset,level,rpf_interval_pct,season,hour,is_weekend
1.0,89280,2537,Alpha,month,2.841621863799283,,,
2.0,81600,2387,Alpha,month,2.9252450980392157,,,
3.0,89280,3225,Alpha,month,3.612231182795699,,,
4.0,85248,4580,Alpha,month,5.37256006006006,,,
5.0,89280,3045,Alpha,month,3.410618279569892,,,
6.0,86208,1371,Alpha,month,1.5903396436525612,,,
7.0,86688,2018,Alpha,month,2.327888519748985,,,
8.0,86688,4683,Alpha,month,5.4021317829457365,,,
9.0,81812,7289,Alpha,month,8.909450936292965,,,
10.0,59510,5290,Alpha,month,8.889262308855654,,,
11.0,86390,6772,Alpha,month,7.838870239611066,,,
12.0,89280,4783,Alpha,month,5.357302867383513,,,
,263808,10850,Alpha,season,4.112839640950995,autumn,,
,227712,19351,Alpha,season,8.49801503653738,spring,,
,260160,9707,Alpha,season,3.7311654366543663,summer,,
,259584,8072,Alpha,season,3.1095907297830374,winter,,
,42136,0,Alpha,hour,0.0,,0.0,
,42136,0,Alpha,hour,0.0,,1.0,
,42136,0,Alpha,hour,0.0,,2.0,
,42136,0,Alpha,hour,0.0,,3.0,
,42136,0,Alpha,hour,0.0,,4.0,
,42136,0,Alpha,hour,0.0,,5.0,
,42136,0,Alpha,hour,0.0,,6.0,
,42136,5,Alpha,hour,0.011866337573571292,,7.0,
,42136,449,Alpha,hour,1.0655971141067022,,8.0,
,42136,2838,Alpha,hour,6.735333206759066,,9.0,
,42136,6243,Alpha,hour,14.816309094361117,,10.0,
,42136,8664,Alpha,hour,20.561989747484336,,11.0,
,42136,9573,Alpha,hour,22.719289918359596,,12.0,
,42136,8959,Alpha,hour,21.262103664325043,,13.0,
,42136,6938,Alpha,hour,16.465730017087527,,14.0,
,42136,3327,Alpha,hour,7.895861021454338,,15.0,
,42136,939,Alpha,hour,2.2284981963166888,,16.0,
,42136,40,Alpha,hour,0.09493070058857034,,17.0,
,42136,5,Alpha,hour,0.011866337573571292,,18.0,
,42136,0,Alpha,hour,0.0,,19.0,
,42136,0,Alpha,hour,0.0,,20.0,
,42136,0,Alpha,hour,0.0,,21.0,
,42136,0,Alpha,hour,0.0,,22.0,
,42136,0,Alpha,hour,0.0,,23.0,
,724069,34484,Alpha,weekday_weekend,4.762529537930777,,,False
,287195,13496,Alpha,weekday_weekend,4.699246156792423,,,True
1.0,3720,0,Alpha,month_hour,0.0,,0.0,
1.0,3720,0,Alpha,month_hour,0.0,,1.0,
1.0,3720,0,Alpha,month_hour,0.0,,2.0,
1.0,3720,0,Alpha,month_hour,0.0,,3.0,
1.0,3720,0,Alpha,month_hour,0.0,,4.0,
1.0,3720,0,Alpha,month_hour,0.0,,5.0,
1.0,3720,0,Alpha,month_hour,0.0,,6.0,
1.0,3720,0,Alpha,month_hour,0.0,,7.0,
1.0,3720,1,Alpha,month_hour,0.026881720430107527,,8.0,
1.0,3720,79,Alpha,month_hour,2.1236559139784945,,9.0,
1.0,3720,293,Alpha,month_hour,7.876344086021506,,10.0,
1.0,3720,426,Alpha,month_hour,11.451612903225806,,11.0,
1.0,3720,436,Alpha,month_hour,11.720430107526882,,12.0,
1.0,3720,464,Alpha,month_hour,12.473118279569892,,13.0,
1.0,3720,430,Alpha,month_hour,11.559139784946236,,14.0,
1.0,3720,286,Alpha,month_hour,7.688172043010753,,15.0,
1.0,3720,115,Alpha,month_hour,3.0913978494623655,,16.0,
1.0,3720,7,Alpha,month_hour,0.1881720430107527,,17.0,
1.0,3720,0,Alpha,month_hour,0.0,,18.0,
1.0,3720,0,Alpha,month_hour,0.0,,19.0,
1.0,3720,0,Alpha,month_hour,0.0,,20.0,
1.0,3720,0,Alpha,month_hour,0.0,,21.0,
1.0,3720,0,Alpha,month_hour,0.0,,22.0,
1.0,3720,0,Alpha,month_hour,0.0,,23.0,
2.0,3400,0,Alpha,month_hour,0.0,,0.0,
2.0,3400,0,Alpha,month_hour,0.0,,1.0,
2.0,3400,0,Alpha,month_hour,0.0,,2.0,
2.0,3400,0,Alpha,month_hour,0.0,,3.0,
2.0,3400,0,Alpha,month_hour,0.0,,4.0,
2.0,3400,0,Alpha,month_hour,0.0,,5.0,
2.0,3400,0,Alpha,month_hour,0.0,,6.0,
2.0,3400,0,Alpha,month_hour,0.0,,7.0,
2.0,3400,0,Alpha,month_hour,0.0,,8.0,
2.0,3400,35,Alpha,month_hour,1.0294117647058822,,9.0,
2.0,3400,280,Alpha,month_hour,8.235294117647058,,10.0,
2.0,3400,462,Alpha,month_hour,13.588235294117649,,11.0,
2.0,3400,475,Alpha,month_hour,13.970588235294118,,12.0,
2.0,3400,444,Alpha,month_hour,13.058823529411764,,13.0,
2.0,3400,363,Alpha,month_hour,10.676470588235293,,14.0,
2.0,3400,246,Alpha,month_hour,7.235294117647059,,15.0,
2.0,3400,81,Alpha,month_hour,2.3823529411764706,,16.0,
2.0,3400,1,Alpha,month_hour,0.02941176470588235,,17.0,
2.0,3400,0,Alpha,month_hour,0.0,,18.0,
2.0,3400,0,Alpha,month_hour,0.0,,19.0,
2.0,3400,0,Alpha,month_hour,0.0,,20.0,
2.0,3400,0,Alpha,month_hour,0.0,,21.0,
2.0,3400,0,Alpha,month_hour,0.0,,22.0,
2.0,3400,0,Alpha,month_hour,0.0,,23.0,
3.0,3720,0,Alpha,month_hour,0.0,,0.0,
3.0,3720,0,Alpha,month_hour,0.0,,1.0,
3.0,3720,0,Alpha,month_hour,0.0,,2.0,
3.0,3720,0,Alpha,month_hour,0.0,,3.0,
3.0,3720,0,Alpha,month_hour,0.0,,4.0,
3.0,3720,0,Alpha,month_hour,0.0,,5.0,
3.0,3720,0,Alpha,month_hour,0.0,,6.0,
3.0,3720,0,Alpha,month_hour,0.0,,7.0,
3.0,3720,0,Alpha,month_hour,0.0,,8.0,
3.0,3720,24,Alpha,month_hour,0.6451612903225806,,9.0,
3.0,3720,290,Alpha,month_hour,7.795698924731183,,10.0,
3.0,3720,549,Alpha,month_hour,14.758064516129032,,11.0,
3.0,3720,643,Alpha,month_hour,17.28494623655914,,12.0,
3.0,3720,664,Alpha,month_hour,17.8494623655914,,13.0,
3.0,3720,579,Alpha,month_hour,15.564516129032258,,14.0,
3.0,3720,392,Alpha,month_hour,10.53763440860215,,15.0,
3.0,3720,84,Alpha,month_hour,2.258064516129032,,16.0,
3.0,3720,0,Alpha,month_hour,0.0,,17.0,
3.0,3720,0,Alpha,month_hour,0.0,,18.0,
3.0,3720,0,Alpha,month_hour,0.0,,19.0,
3.0,3720,0,Alpha,month_hour,0.0,,20.0,
3.0,3720,0,Alpha,month_hour,0.0,,21.0,
3.0,3720,0,Alpha,month_hour,0.0,,22.0,
3.0,3720,0,Alpha,month_hour,0.0,,23.0,
4.0,3552,0,Alpha,month_hour,0.0,,0.0,
4.0,3552,0,Alpha,month_hour,0.0,,1.0,
4.0,3552,0,Alpha,month_hour,0.0,,2.0,
4.0,3552,0,Alpha,month_hour,0.0,,3.0,
4.0,3552,0,Alpha,month_hour,0.0,,4.0,
4.0,3552,0,Alpha,month_hour,0.0,,5.0,
4.0,3552,0,Alpha,month_hour,0.0,,6.0,
4.0,3552,0,Alpha,month_hour,0.0,,7.0,
4.0,3552,8,Alpha,month_hour,0.22522522522522523,,8.0,
4.0,3552,313,Alpha,month_hour,8.811936936936938,,9.0,
4.0,3552,847,Alpha,month_hour,23.84572072072072,,10.0,
4.0,3552,960,Alpha,month_hour,27.027027027027028,,11.0,
4.0,3552,961,Alpha,month_hour,27.055180180180184,,12.0,
4.0,3552,818,Alpha,month_hour,23.02927927927928,,13.0,
4.0,3552,577,Alpha,month_hour,16.24436936936937,,14.0,
4.0,3552,96,Alpha,month_hour,2.7027027027027026,,15.0,
4.0,3552,0,Alpha,month_hour,0.0,,16.0,
4.0,3552,0,Alpha,month_hour,0.0,,17.0,
4.0,3552,0,Alpha,month_hour,0.0,,18.0,
4.0,3552,0,Alpha,month_hour,0.0,,19.0,
4.0,3552,0,Alpha,month_hour,0.0,,20.0,
4.0,3552,0,Alpha,month_hour,0.0,,21.0,
4.0,3552,0,Alpha,month_hour,0.0,,22.0,
4.0,3552,0,Alpha,month_hour,0.0,,23.0,
5.0,3720,0,Alpha,month_hour,0.0,,0.0,
5.0,3720,0,Alpha,month_hour,0.0,,1.0,
5.0,3720,0,Alpha,month_hour,0.0,,2.0,
5.0,3720,0,Alpha,month_hour,0.0,,3.0,
5.0,3720,0,Alpha,month_hour,0.0,,4.0,
5.0,3720,0,Alpha,month_hour,0.0,,5.0,
5.0,3720,0,Alpha,month_hour,0.0,,6.0,
5.0,3720,0,Alpha,month_hour,0.0,,7.0,
5.0,3720,0,Alpha,month_hour,0.0,,8.0,
5.0,3720,37,Alpha,month_hour,0.9946236559139785,,9.0,
5.0,3720,349,Alpha,month_hour,9.381720430107526,,10.0,
5.0,3720,722,Alpha,month_hour,19.408602150537636,,11.0,
5.0,3720,868,Alpha,month_hour,23.333333333333332,,12.0,
5.0,3720,703,Alpha,month_hour,18.897849462365592,,13.0,
5.0,3720,345,Alpha,month_hour,9.274193548387096,,14.0,
5.0,3720,16,Alpha,month_hour,0.43010752688172044,,15.0,
5.0,3720,0,Alpha,month_hour,0.0,,16.0,
5.0,3720,0,Alpha,month_hour,0.0,,17.0,
5.0,3720,5,Alpha,month_hour,0.13440860215053765,,18.0,
5.0,3720,0,Alpha,month_hour,0.0,,19.0,
5.0,3720,0,Alpha,month_hour,0.0,,20.0,
5.0,3720,0,Alpha,month_hour,0.0,,21.0,
5.0,3720,0,Alpha,month_hour,0.0,,22.0,
5.0,3720,0,Alpha,month_hour,0.0,,23.0,
6.0,3592,0,Alpha,month_hour,0.0,,0.0,
6.0,3592,0,Alpha,month_hour,0.0,,1.0,
6.0,3592,0,Alpha,month_hour,0.0,,2.0,
6.0,3592,0,Alpha,month_hour,0.0,,3.0,
6.0,3592,0,Alpha,month_hour,0.0,,4.0,
6.0,3592,0,Alpha,month_hour,0.0,,5.0,
6.0,3592,0,Alpha,month_hour,0.0,,6.0,
6.0,3592,0,Alpha,month_hour,0.0,,7.0,
6.0,3592,0,Alpha,month_hour,0.0,,8.0,
6.0,3592,0,Alpha,month_hour,0.0,,9.0,
6.0,3592,63,Alpha,month_hour,1.7538975501113587,,10.0,
6.0,3592,304,Alpha,month_hour,8.463251670378618,,11.0,
6.0,3592,494,Alpha,month_hour,13.752783964365257,,12.0,
6.0,3592,400,Alpha,month_hour,11.1358574610245,,13.0,
6.0,3592,110,Alpha,month_hour,3.0623608017817374,,14.0,
6.0,3592,0,Alpha,month_hour,0.0,,15.0,
6.0,3592,0,Alpha,month_hour,0.0,,16.0,
6.0,3592,0,Alpha,month_hour,0.0,,17.0,
6.0,3592,0,Alpha,month_hour,0.0,,18.0,
6.0,3592,0,Alpha,month_hour,0.0,,19.0,
6.0,3592,0,Alpha,month_hour,0.0,,20.0,
6.0,3592,0,Alpha,month_hour,0.0,,21.0,
6.0,3592,0,Alpha,month_hour,0.0,,22.0,
6.0,3592,0,Alpha,month_hour,0.0,,23.0,
7.0,3612,0,Alpha,month_hour,0.0,,0.0,
7.0,3612,0,Alpha,month_hour,0.0,,1.0,
7.0,3612,0,Alpha,month_hour,0.0,,2.0,
7.0,3612,0,Alpha,month_hour,0.0,,3.0,
7.0,3612,0,Alpha,month_hour,0.0,,4.0,
7.0,3612,0,Alpha,month_hour,0.0,,5.0,
7.0,3612,0,Alpha,month_hour,0.0,,6.0,
7.0,3612,0,Alpha,month_hour,0.0,,7.0,
7.0,3612,0,Alpha,month_hour,0.0,,8.0,
7.0,3612,2,Alpha,month_hour,0.05537098560354374,,9.0,
7.0,3612,119,Alpha,month_hour,3.2945736434108532,,10.0,
7.0,3612,424,Alpha,month_hour,11.738648947951273,,11.0,
7.0,3612,613,Alpha,month_hour,16.971207087486157,,12.0,
7.0,3612,571,Alpha,month_hour,15.808416389811738,,13.0,
7.0,3612,273,Alpha,month_hour,7.55813953488372,,14.0,
7.0,3612,16,Alpha,month_hour,0.4429678848283499,,15.0,
7.0,3612,0,Alpha,month_hour,0.0,,16.0,
7.0,3612,0,Alpha,month_hour,0.0,,17.0,
7.0,3612,0,Alpha,month_hour,0.0,,18.0,
7.0,3612,0,Alpha,month_hour,0.0,,19.0,
7.0,3612,0,Alpha,month_hour,0.0,,20.0,
7.0,3612,0,Alpha,month_hour,0.0,,21.0,
7.0,3612,0,Alpha,month_hour,0.0,,22.0,
7.0,3612,0,Alpha,month_hour,0.0,,23.0,
8.0,3612,0,Alpha,month_hour,0.0,,0.0,
8.0,3612,0,Alpha,month_hour,0.0,,1.0,
8.0,3612,0,Alpha,month_hour,0.0,,2.0,
8.0,3612,0,Alpha,month_hour,0.0,,3.0,
8.0,3612,0,Alpha,month_hour,0.0,,4.0,
8.0,3612,0,Alpha,month_hour,0.0,,5.0,
8.0,3612,0,Alpha,month_hour,0.0,,6.0,
8.0,3612,0,Alpha,month_hour,0.0,,7.0,
8.0,3612,6,Alpha,month_hour,0.16611295681063123,,8.0,
8.0,3612,152,Alpha,month_hour,4.208194905869324,,9.0,
8.0,3612,609,Alpha,month_hour,16.86046511627907,,10.0,
8.0,3612,934,Alpha,month_hour,25.85825027685493,,11.0,
8.0,3612,1048,Alpha,month_hour,29.014396456256918,,12.0,
8.0,3612,993,Alpha,month_hour,27.491694352159467,,13.0,
8.0,3612,751,Alpha,month_hour,20.791805094130673,,14.0,
8.0,3612,190,Alpha,month_hour,5.260243632336656,,15.0,
8.0,3612,0,Alpha,month_hour,0.0,,16.0,
8.0,3612,0,Alpha,month_hour,0.0,,17.0,
8.0,3612,0,Alpha,month_hour,0.0,,18.0,
8.0,3612,0,Alpha,month_hour,0.0,,19.0,
8.0,3612,0,Alpha,month_hour,0.0,,20.0,
8.0,3612,0,Alpha,month_hour,0.0,,21.0,
8.0,3612,0,Alpha,month_hour,0.0,,22.0,
8.0,3612,0,Alpha,month_hour,0.0,,23.0,
9.0,3428,0,Alpha,month_hour,0.0,,0.0,
9.0,3408,0,Alpha,month_hour,0.0,,1.0,
9.0,3408,0,Alpha,month_hour,0.0,,2.0,
9.0,3408,0,Alpha,month_hour,0.0,,3.0,
9.0,3408,0,Alpha,month_hour,0.0,,4.0,
9.0,3408,0,Alpha,month_hour,0.0,,5.0,
9.0,3408,0,Alpha,month_hour,0.0,,6.0,
9.0,3408,0,Alpha,month_hour,0.0,,7.0,
9.0,3408,91,Alpha,month_hour,2.67018779342723,,8.0,
9.0,3408,723,Alpha,month_hour,21.214788732394364,,9.0,
9.0,3408,1141,Alpha,month_hour,33.48004694835681,,10.0,
9.0,3408,1274,Alpha,month_hour,37.38262910798122,,11.0,
9.0,3408,1288,Alpha,month_hour,37.79342723004695,,12.0,
9.0,3408,1234,Alpha,month_hour,36.208920187793424,,13.0,
9.0,3408,1097,Alpha,month_hour,32.18896713615024,,14.0,
9.0,3408,435,Alpha,month_hour,12.764084507042254,,15.0,
9.0,3408,6,Alpha,month_hour,0.17605633802816903,,16.0,
9.0,3408,0,Alpha,month_hour,0.0,,17.0,
