dataset,substation_id,date,start_timestamp,end_timestamp,duration_minutes,n_intervals,min_reference_net_load_MW,max_raw_net_load_MW
Alpha,syn_B,2023-10-05,2023-10-05 12:00:00,2023-10-05 13:15:00,90,6,-0.226867,0.226867
Alpha,syn_B,2023-10-09,2023-10-09 11:45:00,2023-10-09 12:00:00,30,2,-0.0243,0.0243
Alpha,syn_B,2023-10-11,2023-10-11 12:00:00,2023-10-11 13:00:00,75,5,-0.40406,0.40406
Alpha,syn_B,2023-10-13,2023-10-13 10:45:00,2023-10-13 13:30:00,180,12,-0.727695,0.727695
Alpha,syn_B,2023-10-16,2023-10-16 11:00:00,2023-10-16 11:00:00,15,1,-0.034621,0.034621
Alpha,syn_B,2023-10-18,2023-10-18 12:15:00,2023-10-18 12:30:00,30,2,-0.217405,0.217405
Alpha,syn_B,2023-10-18,2023-10-18 13:00:00,2023-10-18 13:45:00,60,4,-0.452229,0.452229
Alpha,syn_B,2023-10-20,2023-10-20 12:00:00,2023-10-20 13:00:00,75,5,-0.232028,0.232028
Alpha,syn_B,2023-10-23,2023-10-23 10:30:00,2023-10-23 13:15:00,180,12,-0.96725,0.96725
Alpha,syn_B,2023-10-24,2023-10-24 12:00:00,2023-10-24 12:45:00,60,4,-0.355461,0.355461
Alpha,syn_B,2023-11-02,2023-11-02 13:45:00,2023-11-02 13:45:00,15,1,-0.148808,0.148808
Alpha,syn_B,2023-11-07,2023-11-07 12:15:00,2023-11-07 14:15:00,135,9,-0.628992,0.628992
Alpha,syn_B,2023-11-08,2023-11-08 12:00:00,2023-11-08 12:00:00,15,1,-0.009032,0.009032
Alpha,syn_B,2023-11-08,2023-11-08 13:00:00,2023-11-08 13:00:00,15,1,-0.179988,0.179988
Alpha,syn_B,2023-11-09,2023-11-09 13:30:00,2023-11-09 13:30:00,15,1,-0.129884,0.129884
Alpha,syn_B,2023-11-17,2023-11-17 13:15:00,2023-11-17 14:45:00,105,7,-0.688773,0.688773
Alpha,syn_B,2023-11-22,2023-11-22 13:00:00,2023-11-22 13:15:00,30,2,-0.093542,0.093542
Alpha,syn_B,2024-03-21,2024-03-21 13:00:00,2024-03-21 13:15:00,30,2,-0.13526,0.13526
Alpha,syn_B,2024-08-28,2024-08-28 13:00:00,2024-08-28 13:00:00,15,1,-0.107305,0.107305
Alpha,syn_B,2024-09-02,2024-09-02 11:30:00,2024-09-02 12:45:00,90,6,-0.275466,0.275466
Alpha,syn_B,2024-09-04,2024-09-04 12:30:00,2024-09-04 12:45:00,30,2,-0.095693,0.095693
Alpha,syn_B,2024-09-05,2024-09-05 11:30:00,2024-09-05 11:30:00,15,1,-0.138486,0.138486
Alpha,syn_B,2024-09-05,2024-09-05 12:15:00,2024-09-05 12:30:00,30,2,-0.169236,0.169236
Alpha,syn_B,2024-09-17,2024-09-17 11:30:00,2024-09-17 13:30:00,135,9,-0.850053,0.850053
Alpha,syn_B,2024-09-18,2024-09-18 11:00:00,2024-09-18 13:30:00,165,11,-0.814141,0.814141
Alpha,syn_B,2024-09-19,2024-09-19 11:00:00,2024-09-19 13:30:00,165,11,-1.120788,1.120788
Alpha,syn_B,2024-09-20,2024-09-20 11:00:00,2024-09-20 11:00:00,15,1,-0.067523,0.067523
Alpha,syn_B,2024-09-20,2024-09-20 11:30:00,2024-09-20 13:30:00,135,9,-1.059072,1.059072
Alpha,syn_B,2024-09-22,2024-09-22 12:00:00,2024-09-22 12:00:00,15,1,-0.208589,0.208589
Alpha,syn_B,2024-09-23,2024-09-23 11:00:00,2024-09-23 13:15:00,150,10,-1.285939,1.285939
Alpha,syn_B,2024-09-24,2024-09-24 13:00:00,2024-09-24 13:00:00,15,1,-0.112466,0.112466
Alpha,syn_C,2021-11-01,2021-11-01 11:00:00,2021-11-01 11:00:00,15,1,-0.178354,0.178354
Alpha,syn_C,2021-11-01,2021-11-01 12:00:00,2021-11-01 12:00:00,15,1,-0.260209,0.260209
Alpha,syn_C,2021-11-02,2021-11-02 11:15:00,2021-11-02 14:45:00,225,15,-0.398979,0.398979
Alpha,syn_C,2021-11-02,2021-11-02 15:15:00,2021-11-02 15:30:00,30,2,-0.14374,0.14374
Alpha,syn_C,2021-11-03,2021-11-03 10:15:00,2021-11-03 14:30:00,270,18,-0.499384,0.499384
Alpha,syn_C,2021-11-03,2021-11-03 15:00:00,2021-11-03 15:45:00,60,4,-0.307007,0.307007
Alpha,syn_C,2021-11-06,2021-11-06 10:30:00,2021-11-06 11:30:00,75,5,-0.123841,0.123841
Alpha,syn_C,2021-11-06,2021-11-06 13:30:00,2021-11-06 15:45:00,150,10,-0.459846,0.459846
Alpha,syn_C,2021-11-09,2021-11-09 11:30:00,2021-11-09 11:45:00,30,2,-0.03757,0.03757
Alpha,syn_C,2021-11-09,2021-11-09 13:15:00,2021-11-09 15:00:00,120,8,-0.284281,0.284281
Alpha,syn_C,2021-11-12,2021-11-12 10:15:00,2021-11-12 11:00:00,60,4,-0.19453,0.19453
Alpha,syn_C,2021-11-12,2021-11-12 12:00:00,2021-11-12 14:00:00,135,9,-0.403935,0.403935
Alpha,syn_C,2021-11-12,2021-11-12 14:30:00,2021-11-12 15:00:00,45,3,-0.239047,0.239047
Alpha,syn_C,2021-11-13,2021-11-13 11:00:00,2021-11-13 11:00:00,15,1,-0.208531,0.208531
Alpha,syn_C,2021-11-13,2021-11-13 12:00:00,2021-11-13 12:00:00,15,1,-0.203395,0.203395
Alpha,syn_C,2021-11-13,2021-11-13 12:30:00,2021-11-13 13:00:00,45,3,-0.235315,0.235315
Alpha,syn_C,2021-11-13,2021-11-13 14:15:00,2021-11-13 14:15:00,15,1,-0.085255,0.085255
Alpha,syn_C,2021-11-13,2021-11-13 15:00:00,2021-11-13 15:00:00,15,1,-0.218447,0.218447
Alpha,syn_C,2021-11-14,2021-11-14 10:15:00,2021-11-14 13:45:00,225,15,-0.516652,0.516652
Alpha,syn_C,2021-11-14,2021-11-14 14:45:00,2021-11-14 14:45:00,15,1,-0.035296,0.035296
Alpha,syn_C,2021-11-15,2021-11-15 09:45:00,2021-11-15 16:15:00,405,27,-0.571082,0.571082
