dataset,month,day,valid_calendar_day,total_site_days,rpf_site_days,rpf_site_day_pct
Alpha,1,1,True,30.0,11.0,36.666666666666664
Alpha,1,2,True,30.0,10.0,33.33333333333333
Alpha,1,3,True,30.0,8.0,26.666666666666668
Alpha,1,4,True,30.0,6.0,20.0
Alpha,1,5,True,30.0,9.0,30.0
Alpha,1,6,True,30.0,12.0,40.0
Alpha,1,7,True,30.0,7.0,23.333333333333332
Alpha,1,8,True,30.0,7.0,23.333333333333332
Alpha,1,9,True,30.0,9.0,30.0
Alpha,1,10,True,30.0,8.0,26.666666666666668
Alpha,1,11,True,30.0,4.0,13.333333333333334
Alpha,1,12,True,30.0,7.0,23.333333333333332
Alpha,1,13,True,30.0,9.0,30.0
Alpha,1,14,True,30.0,8.0,26.666666666666668
Alpha,1,15,True,30.0,7.0,23.333333333333332
Alpha,1,16,True,30.0,6.0,20.0
Alpha,1,17,True,30.0,7.0,23.333333333333332
Alpha,1,18,True,30.0,4.0,13.333333333333334
Alpha,1,19,True,30.0,4.0,13.333333333333334
Alpha,1,20,True,30.0,12.0,40.0
Alpha,1,21,True,30.0,12.0,40.0
Alpha,1,22,True,30.0,9.0,30.0
Alpha,1,23,True,30.0,10.0,33.33333333333333
Alpha,1,24,True,30.0,10.0,33.33333333333333
Alpha,1,25,True,30.0,4.0,13.333333333333334
Alpha,1,26,True,30.0,3.0,10.0
Alpha,1,27,True,30.0,4.0,13.333333333333334
Alpha,1,28,True,30.0,3.0,10.0
Alpha,1,29,True,30.0,2.0,6.666666666666667
Alpha,1,30,True,30.0,0.0,0.0
Alpha,1,31,True,30.0,4.0,13.333333333333334
Alpha,2,1,True,30.0,7.0,23.333333333333332
Alpha,2,2,True,30.0,4.0,13.333333333333334
Alpha,2,3,True,30.0,8.0,26.666666666666668
Alpha,2,4,True,30.0,14.0,46.666666666666664
Alpha,2,5,True,30.0,11.0,36.666666666666664
Alpha,2,6,True,30.0,7.0,23.333333333333332
Alpha,2,7,True,30.0,7.0,23.333333333333332
Alpha,2,8,True,30.0,10.0,33.33333333333333
Alpha,2,9,True,30.0,9.0,30.0
Alpha,2,10,True,30.0,9.0,30.0
Alpha,2,11,True,30.0,3.0,10.0
Alpha,2,12,True,30.0,9.0,30.0
Alpha,2,13,True,30.0,10.0,33.33333333333333
Alpha,2,14,True,30.0,6.0,20.0
Alpha,2,15,True,30.0,7.0,23.333333333333332
Alpha,2,16,True,30.0,10.0,33.33333333333333
Alpha,2,17,True,30.0,9.0,30.0
Alpha,2,18,True,30.0,5.0,16.666666666666664
Alpha,2,19,True,30.0,3.0,10.0
Alpha,2,20,True,30.0,9.0,30.0
Alpha,2,21,True,30.0,8.0,26.666666666666668
Alpha,2,22,True,30.0,4.0,13.333333333333334
Alpha,2,23,True,30.0,6.0,20.0
Alpha,2,24,True,30.0,4.0,13.333333333333334
Alpha,2,25,True,30.0,12.0,40.0
Alpha,2,26,True,30.0,9.0,30.0
Alpha,2,27,True,30.0,4.0,13.333333333333334
Alpha,2,28,True,30.0,7.0,23.333333333333332
Alpha,2,29,True,10.0,0.0,0.0
Alpha,2,30,False,,,
Alpha,2,31,False,,,
Alpha,3,1,True,30.0,3.0,10.0
Alpha,3,2,True,30.0,6.0,20.0
Alpha,3,3,True,30.0,9.0,30.0
Alpha,3,4,True,30.0,7.0,23.333333333333332
Alpha,3,5,True,30.0,9.0,30.0
Alpha,3,6,True,30.0,4.0,13.333333333333334
