subset_mask,feature_count,feature_set,feature_set_short,beta_sure_support,beta_sure_positive_support,beta_sure_tp,beta_sure_fp,beta_sure_fn,beta_sure_tn,beta_sure_precision,beta_sure_recall,beta_sure_f1,beta_sure_macro_precision,beta_sure_macro_recall,beta_sure_macro_f1,beta_all_support,beta_all_positive_support,beta_all_tp,beta_all_fp,beta_all_fn,beta_all_tn,beta_all_precision,beta_all_recall,beta_all_f1
107,5,F1_bridge_improvement + F2_roughness_improvement + F4_duration_plausibility + F6_solar_strength_ratio + F7_solar_peak_alignment,F1+F2+F4+F6+F7,2310,471,432,80,39,1759,0.84375,0.9171974522292994,0.878942014242116,0.6165780068811325,0.7366270967594497,0.6604017921990121,2928,630,536,223,94,2075,0.7061923583662714,0.8507936507936508,0.7717782577393809
123,6,F1_bridge_improvement + F2_roughness_improvement + F4_duration_plausibility + F5_n_height_ratio + F6_solar_strength_ratio + F7_solar_peak_alignment,F1+F2+F4+F5+F6+F7,2310,471,443,96,28,1743,0.8218923933209648,0.940552016985138,0.8772277227722772,0.6166860766045549,0.7785758489876137,0.6809245702820301,2928,630,555,258,75,2040,0.6826568265682657,0.8809523809523809,0.7692307692307692
59,5,F1_bridge_improvement + F2_roughness_improvement + F4_duration_plausibility + F5_n_height_ratio + F6_solar_strength_ratio,F1+F2+F4+F5+F6,2310,471,425,75,46,1764,0.85,0.9023354564755839,0.8753861997940268,0.649725084480832,0.7302737670825906,0.6730236351376492,2928,630,526,199,104,2099,0.7255172413793104,0.834920634920635,0.7763837638376384
91,5,F1_bridge_improvement + F2_roughness_improvement + F4_duration_plausibility + F5_n_height_ratio + F7_solar_peak_alignment,F1+F2+F4+F5+F7,2310,471,444,106,27,1733,0.8072727272727273,0.9426751592356688,0.8697355533790402,0.5968047090446986,0.7515742150006856,0.6575967239233993,2928,630,556,275,74,2023,0.6690734055354994,0.8825396825396825,0.7611225188227242
27,4,F1_bridge_improvement + F2_roughness_improvement + F4_duration_plausibility + F5_n_height_ratio,F1+F2+F4+F5,2310,471,425,92,46,1747,0.8220502901353965,0.9023354564755839,0.8603238866396761,0.6280131536735964,0.7302737670825906,0.6595006331621356,2928,630,527,227,103,2071,0.6989389920424404,0.8365079365079365,0.7615606936416186
75,4,F1_bridge_improvement + F2_roughness_improvement + F4_duration_plausibility + F7_solar_peak_alignment,F1+F2+F4+F7,2310,471,435,106,36,1733,0.8040665434380776,0.9235668789808917,0.8596837944664031,0.5883894601358187,0.7436629530600118,0.6433291899451992,2928,630,542,265,88,2033,0.6716232961586122,0.8603174603174604,0.7543493389004872
255,8,F1_bridge_improvement + F2_roughness_improvement + F3_slope_continuity_improvement + F4_duration_plausibility + F5_n_height_ratio + F6_solar_strength_ratio + F7_solar_peak_alignment + F8_substation_centered_core_score,F1+F2+F3+F4+F5+F6+F7+F8,2310,471,422,91,49,1748,0.8226120857699805,0.8959660297239915,0.8577235772357723,0.5957366632744621,0.7295506535947712,0.6419634164977053,2928,630,519,210,111,2088,0.7119341563786008,0.8238095238095238,0.7637969094922737
223,7,F1_bridge_improvement + F2_roughness_improvement + F3_slope_continuity_improvement + F4_duration_plausibility + F5_n_height_ratio + F7_solar_peak_alignment + F8_substation_centered_core_score,F1+F2+F3+F4+F5+F7+F8,2310,471,424,98,47,1741,0.8122605363984674,0.9002123142250531,0.8539778449144009,0.5867510466394847,0.731308229352347,0.6369341583339154,2928,630,521,226,109,2072,0.6974564926372155,0.8269841269841269,0.756717501815541
125,6,F1_bridge_improvement + F3_slope_continuity_improvement + F4_duration_plausibility + F5_n_height_ratio + F6_solar_strength_ratio + F7_solar_peak_alignment,F1+F3+F4+F5+F6+F7,2310,471,429,109,42,1730,0.7973977695167286,0.910828025477707,0.8503468780971258,0.6043175036995261,0.7613491639079875,0.6623634477543808,2928,630,531,253,99,2045,0.6772959183673469,0.8428571428571429,0.7510608203677511
127,7,F1_bridge_improvement + F2_roughness_improvement + F3_slope_continuity_improvement + F4_duration_plausibility + F5_n_height_ratio + F6_solar_strength_ratio + F7_solar_peak_alignment,F1+F2+F3+F4+F5+F6+F7,2310,471,446,134,25,1705,0.7689655172413793,0.9469214437367304,0.8487155090390104,0.5357387689845039,0.7254777183600714,0.6048230945451926,2928,630,554,318,76,1980,0.6353211009174312,0.8793650793650793,0.7376830892143809
253,7,F1_bridge_improvement + F3_slope_continuity_improvement + F4_duration_plausibility + F5_n_height_ratio + F6_solar_strength_ratio + F7_solar_peak_alignment + F8_substation_centered_core_score,F1+F3+F4+F5+F6+F7+F8,2310,471,409,87,62,1752,0.8245967741935484,0.8683651804670913,0.8459152016546019,0.6134548611111111,0.7448089720736779,0.6558431054638054,2928,630,501,194,129,2104,0.720863309352518,0.7952380952380952,0.7562264150943396
115,5,F1_bridge_improvement + F2_roughness_improvement + F5_n_height_ratio + F6_solar_strength_ratio + F7_solar_peak_alignment,F1+F2+F5+F6+F7,2310,471,444,137,27,1702,0.7641996557659209,0.9426751592356688,0.844106463878327,0.5520429074765351,0.7528911170528818,0.6230805026732078,2928,630,558,327,72,1971,0.6305084745762712,0.8857142857142857,0.7366336633663367
93,5,F1_bridge_improvement + F3_slope_continuity_improvement + F4_duration_plausibility + F5_n_height_ratio + F7_solar_peak_alignment,F1+F3+F4+F5+F7,2310,471,430,119,41,1720,0.7832422586520947,0.9129511677282378,0.8431372549019609,0.5798433479363738,0.733634517443341,0.6366654148081463,2928,630,531,272,99,2026,0.6612702366127023,0.8428571428571429,0.7411025819958129
221,6,F1_bridge_improvement + F3_slope_continuity_improvement + F4_duration_plausibility + F5_n_height_ratio + F7_solar_peak_alignment + F8_substation_centered_core_score,F1+F3+F4+F5+F7+F8,2310,471,408,90,63,1749,0.8192771084337349,0.8662420382165605,0.8421052631578947,0.6132930430454153,0.7438089720736779,0.6560822731926442,2928,630,499,199,131,2099,0.7148997134670487,0.792063492063492,0.7515060240963854
105,4,F1_bridge_improvement + F4_duration_plausibility + F6_solar_strength_ratio + F7_solar_peak_alignment,F1+F4+F6+F7,2310,471,451,150,20,1689,0.7504159733777038,0.9575371549893843,0.8414179104477612,0.5452566610883713,0.7870321769733535,0.6288941138938806,2928,630,573,342,57,1956,0.6262295081967213,0.9095238095238095,0.7417475728155339
13,3,F1_bridge_improvement + F3_slope_continuity_improvement + F4_duration_plausibility,F1+F3+F4,2310,471,434,127,37,1712,0.7736185383244206,0.921443736730361,0.8410852713178293,0.5695012066651679,0.7407948603683898,0.6297736543792913,2928,630,546,324,84,1974,0.6275862068965518,0.8666666666666667,0.7280000000000001
121,5,F1_bridge_improvement + F4_duration_plausibility + F5_n_height_ratio + F6_solar_strength_ratio + F7_solar_peak_alignment,F1+F4+F5+F6+F7,2310,471,428,120,43,1719,0.781021897810219,0.9087048832271762,0.8400392541707556,0.5739650437307466,0.7340816422139951,0.6264996245534702,2928,630,534,266,96,2032,0.6675,0.8476190476190476,0.7468531468531467
89,4,F1_bridge_improvement + F4_duration_plausibility + F5_n_height_ratio + F7_solar_peak_alignment,F1+F4+F5+F7,2310,471,434,130,37,1709,0.7695035460992907,0.921443736730361,0.838647342995169,0.5637572549076375,0.7395825334795922,0.622374172036795,2928,630,542,289,88,2009,0.6522262334536703,0.8603174603174604,0.7419575633127994
169,4,F1_bridge_improvement + F4_duration_plausibility + F6_solar_strength_ratio + F8_substation_centered_core_score,F1+F4+F6+F8,2310,471,439,139,32,1700,0.759515570934256,0.9320594479830149,0.8369876072449952,0.5601817870866219,0.8115141117052882,0.6362623529218285,2928,630,549,323,81,1975,0.6295871559633027,0.8714285714285714,0.7310252996005326
95,6,F1_bridge_improvement + F2_roughness_improvement + F3_slope_continuity_improvement + F4_duration_plausibility + F5_n_height_ratio + F7_solar_peak_alignment,F1+F2+F3+F4+F5+F7,2310,471,446,149,25,1690,0.7495798319327731,0.9469214437367304,0.8367729831144465,0.5247467627484873,0.7254777183600714,0.5967942044163008,2928,630,557,338,73,1960,0.6223463687150838,0.8841269841269841,0.7304918032786886
99,4,F1_bridge_improvement + F2_roughness_improvement + F6_solar_strength_ratio + F7_solar_peak_alignment,F1+F2+F6+F7,2310,471,443,145,28,1694,0.7534013605442177,0.940552016985138,0.8366383380547686,0.5683908013975456,0.7839188948306595,0.6404526475601479,2928,630,554,350,76,1948,0.6128318584070797,0.8793650793650793,0.7222946544980444
47,5,F1_bridge_improvement + F2_roughness_improvement + F3_slope_continuity_improvement + F4_duration_plausibility + F6_solar_strength_ratio,F1+F2+F3+F4+F6,2310,471,450,155,21,1684,0.743801652892562,0.9554140127388535,0.8364312267657993,0.5093853561492512,0.7276999405822935,0.5841288451617481,2928,630,564,383,66,1915,0.5955649419218585,0.8952380952380953,0.7152821813570068
233,5,F1_bridge_improvement + F4_duration_plausibility + F6_solar_strength_ratio + F7_solar_peak_alignment + F8_substation_centered_core_score,F1+F4+F6+F7+F8,2310,471,429,126,42,1713,0.772972972972973,0.910828025477707,0.8362573099415205,0.5791067519326719,0.8313077837195484,0.6475833699948137,2928,630,536,265,94,2033,0.6691635455680399,0.8507936507936508,0.7491264849755416
43,4,F1_bridge_improvement + F2_roughness_improvement + F4_duration_plausibility + F6_solar_strength_ratio,F1+F2+F4+F6,2310,471,422,118,49,1721,0.7814814814814814,0.8959660297239915,0.8348170128585559,0.5844120410853355,0.7273545751633987,0.6253522071856064,2928,630,528,313,102,1985,0.6278240190249703,0.8380952380952381,0.7178789938817132
191,7,F1_bridge_improvement + F2_roughness_improvement + F3_slope_continuity_improvement + F4_duration_plausibility + F5_n_height_ratio + F6_solar_strength_ratio + F8_substation_centered_core_score,F1+F2+F3+F4+F5+F6+F8,2310,471,423,120,48,1719,0.7790055248618785,0.8980891719745223,0.8343195266272189,0.5359952271281161,0.6998300653594771,0.5873272062511234,2928,630,527,283,103,2015,0.6506172839506172,0.8365079365079365,0.7319444444444444
243,6,F1_bridge_improvement + F2_roughness_improvement + F5_n_height_ratio + F6_solar_strength_ratio + F7_solar_peak_alignment + F8_substation_centered_core_score,F1+F2+F5+F6+F7+F8,2310,471,426,125,45,1714,0.7731397459165155,0.9044585987261147,0.8336594911937378,0.5584255870644259,0.7358893345216875,0.613485432090445,2928,630,531,271,99,2027,0.6620947630922693,0.8428571428571429,0.7416201117318436
187,6,F1_bridge_improvement + F2_roughness_improvement + F4_duration_plausibility + F5_n_height_ratio + F6_solar_strength_ratio + F8_substation_centered_core_score,F1+F2+F4+F5+F6+F8,2310,471,428,128,43,1711,0.7697841726618705,0.9087048832271762,0.8334956183057449,0.5719549688892263,0.7371905822935234,0.6190577565720619,2928,630,532,274,98,2024,0.6600496277915633,0.8444444444444444,0.7409470752089137
219,6,F1_bridge_improvement + F2_roughness_improvement + F4_duration_plausibility + F5_n_height_ratio + F7_solar_peak_alignment + F8_substation_centered_core_score,F1+F2+F4+F5+F7+F8,2310,471,427,127,44,1712,0.7707581227436823,0.9065817409766455,0.833170731707317,0.5725011028602021,0.7671393345216875,0.6287113165114628,2928,630,530,257,100,2041,0.6734434561626429,0.8412698412698413,0.7480592801693718
247,7,F1_bridge_improvement + F2_roughness_improvement + F3_slope_continuity_improvement + F5_n_height_ratio + F6_solar_strength_ratio + F7_solar_peak_alignment + F8_substation_centered_core_score,F1+F2+F3+F5+F6+F7+F8,2310,471,424,124,47,1715,0.7737226277372263,0.9002123142250531,0.8321884200196271,0.561341408544094,0.7320212418300653,0.6170396267469311,2928,630,526,263,104,2035,0.6666666666666666,0.834920634920635,0.741367159971811
155,5,F1_bridge_improvement + F2_roughness_improvement + F4_duration_plausibility + F5_n_height_ratio + F8_substation_centered_core_score,F1+F2+F4+F5+F8,2310,471,428,130,43,1709,0.7670250896057348,0.9087048832271762,0.8318756073858115,0.5561765777516123,0.7371905822935234,0.6099598888742235,2928,630,534,294,96,2004,0.644927536231884,0.8476190476190476,0.7325102880658436
201,4,F1_bridge_improvement + F4_duration_plausibility + F7_solar_peak_alignment + F8_substation_centered_core_score,F1+F4+F7+F8,2310,471,430,133,41,1706,0.7637655417406749,0.9129511677282378,0.8317214700193423,0.5716878542055703,0.8320653594771241,0.643655529163436,2928,630,537,286,93,2012,0.6524908869987849,0.8523809523809524,0.7391603578802477
111,6,F1_bridge_improvement + F2_roughness_improvement + F3_slope_continuity_improvement + F4_duration_plausibility + F6_solar_strength_ratio + F7_solar_peak_alignment,F1+F2+F3+F4+F6+F7,2310,471,437,143,34,1696,0.753448275862069,0.9278131634819533,0.8315889628924835,0.5792200793393482,0.7723764111705288,0.6422967975614777,2928,630,543,323,87,1975,0.6270207852193995,0.861904761904762,0.7259358288770053
45,4,F1_bridge_improvement + F3_slope_continuity_improvement + F4_duration_plausibility + F6_solar_strength_ratio,F1+F3+F4+F6,2310,471,431,135,40,1704,0.7614840989399293,0.9150743099787686,0.8312439729990356,0.5520955377921307,0.7380372846108141,0.6119267275241185,2928,630,539,313,91,1985,0.6326291079812206,0.8555555555555555,0.7273954116059379
15,4,F1_bridge_improvement + F2_roughness_improvement + F3_slope_continuity_improvement + F4_duration_plausibility,F1+F2+F3+F4,2310,471,452,165,19,1674,0.7325769854132901,0.9596602972399151,0.8308823529411764,0.5026398657255928,0.7319483065953654,0.5814889595190869,2928,630,570,399,60,1899,0.5882352941176471,0.9047619047619048,0.7129455909943715
79,5,F1_bridge_improvement + F2_roughness_improvement + F3_slope_continuity_improvement + F4_duration_plausibility + F7_solar_peak_alignment,F1+F2+F3+F4+F7,2310,471,437,144,34,1695,0.7521514629948365,0.9278131634819533,0.8307984790874524,0.5225053079417583,0.7134117647058824,0.5876390784966029,2928,630,545,331,85,1967,0.6221461187214612,0.8650793650793651,0.7237715803452855
