weight_id,search_origin,weight_F1,weight_F3,weight_F4,excluded_outer_substation,inner_substations,inner_macro_precision,inner_macro_recall,inner_macro_f1,inner_pooled_tp,inner_pooled_fp,inner_pooled_fn,mean_inner_threshold,minimum_inner_threshold,maximum_inner_threshold,selection_context
weight_0172,random,0.6418478517653802,0.13882390181367846,0.21932824642094134,beta_A,7,0.6157551143469052,0.6522595704948646,0.5996073696334164,365,91,80,0.555504926613399,0.4382764995098114,0.6114785075187683,outer_holdout_beta_A
weight_0173,random,0.3219214950543341,0.26857597429270735,0.4095025306529584,beta_A,7,0.634709314275335,0.651907138613021,0.6152990233961917,368,76,77,0.6249781250953674,0.5671929121017456,0.6538048982620239,outer_holdout_beta_A
weight_0174,random,0.453636787213913,0.48556408180167593,0.060799130984411094,beta_A,7,0.5633365343854633,0.6870085973783453,0.6086104823895878,403,118,42,0.36085366777011324,0.3591136634349823,0.37129369378089905,outer_holdout_beta_A
weight_0175,random,0.14006742319220983,0.7754460384262928,0.0844865383814975,beta_A,7,0.3145845760572836,0.5682415026616707,0.3720667154050286,328,597,117,0.6164923054831368,0.601909339427948,0.6302436590194702,outer_holdout_beta_A
weight_0176,random,0.05142477563320326,0.8730242244307983,0.0755509999359986,beta_A,7,0.2627255684480617,0.7610046927862053,0.35553460636179646,412,1222,33,0.6063417111124311,0.543346643447876,0.6235228776931763,outer_holdout_beta_A
weight_0177,random,0.6989577354027365,0.1665620386121661,0.13448022598509735,beta_A,7,0.5977493699807239,0.6281156098803157,0.5660814176641569,348,116,97,0.48846288664000376,0.3044793903827667,0.6034592986106873,outer_holdout_beta_A
weight_0178,random,0.26418740796592993,0.47112956006967555,0.26468303196439447,beta_A,7,0.5946814470370281,0.6402452859931851,0.6068707652313197,362,89,83,0.5648089136396136,0.562169075012207,0.5700528621673584,outer_holdout_beta_A
weight_0179,random,0.21802228357244546,0.37488880977349814,0.4070889066540563,beta_A,7,0.6121622876302678,0.648228988565123,0.6224630879079948,369,79,76,0.6460682324000767,0.6459819078445435,0.6465861797332764,outer_holdout_beta_A
weight_0180,random,0.46893776437560697,0.10065736383975844,0.4304048717846345,beta_A,7,0.6771171503682204,0.6482700959171547,0.642945358779789,364,49,81,0.6996142949376788,0.6805201172828674,0.7167420387268066,outer_holdout_beta_A
weight_0181,random,0.485957191922575,0.12453465906560655,0.38950814901181824,beta_A,7,0.6816469284616419,0.6746216789746201,0.6628156427352051,382,50,63,0.6587003724915641,0.6487129926681519,0.6643310785293579,outer_holdout_beta_A
weight_0182,random,0.7328773505600682,0.08482652819355113,0.18229612124638067,beta_A,7,0.6144567271913467,0.6428559545030134,0.5903907559711538,357,92,88,0.5845439817224231,0.44091007113456726,0.6477466225624084,outer_holdout_beta_A
weight_0183,random,0.559981197925612,0.12962253901635637,0.31039626305803175,beta_A,7,0.6738393801777384,0.6726130209659621,0.6565515449874234,380,54,65,0.6216865522520882,0.614513099193573,0.6304203271865845,outer_holdout_beta_A
weight_0184,random,0.2794269815407527,0.1268864561950982,0.5936865622641492,beta_A,7,0.6134738996063317,0.6633947882183177,0.6031457834990553,375,93,70,0.7298285620553153,0.6550696492195129,0.7656764388084412,outer_holdout_beta_A
weight_0185,random,0.06689489313133194,0.296284595167538,0.6368205117011301,beta_A,7,0.44782386638866073,0.41944763359889414,0.36358021412865166,261,229,184,0.8569827420370919,0.8372416496276855,0.8747866749763489,outer_holdout_beta_A
weight_0186,random,0.16163018253288364,0.3706215026907295,0.46774831477638684,beta_A,7,0.54498811955386,0.6017978100331042,0.5506035628603098,347,118,98,0.7031412635530744,0.6942611336708069,0.7049912810325623,outer_holdout_beta_A
weight_0187,random,0.6251018110243806,0.203049171628445,0.17184901734717448,beta_A,7,0.6027396268734665,0.6354433409727528,0.5751316866929722,353,109,92,0.4924536347389221,0.32381129264831543,0.5989589095115662,outer_holdout_beta_A
weight_0188,random,0.5397723869796974,0.2603595227540757,0.19986809026622698,beta_A,7,0.6031408274233162,0.6637458619811561,0.5939858476215275,374,106,71,0.4748532346316746,0.32928013801574707,0.5440125465393066,outer_holdout_beta_A
weight_0189,random,0.5123776350710783,0.25950954090070316,0.22811282402821859,beta_A,7,0.6019595668414747,0.6648887191240132,0.5943915583742696,375,106,70,0.49512438263211933,0.352544903755188,0.5522599816322327,outer_holdout_beta_A
weight_0190,random,0.07195453894696331,0.5749507090788721,0.35309475197416457,beta_A,7,0.2745479884516616,0.7445789224780821,0.362771236028113,397,1117,48,0.6714370591299874,0.6507130861282349,0.7231076955795288,outer_holdout_beta_A
weight_0191,random,0.20329286843837968,0.17873210290837427,0.617975028653246,beta_A,7,0.6340308029566343,0.6596647143705967,0.6207261916691257,376,79,69,0.7412536144256592,0.7162634134292603,0.7743401527404785,outer_holdout_beta_A
weight_0192,random,0.12521404414550252,0.15051999548753725,0.7242659603669601,beta_A,7,0.6196247541594856,0.7092775049413704,0.6538594950356981,396,86,49,0.8127943703106472,0.81180739402771,0.8183276653289795,outer_holdout_beta_A
weight_0193,random,0.07457002447136458,0.8369327454289901,0.08849723009964533,beta_A,7,0.26598368816743545,0.7183778966131907,0.35779589525075994,403,1133,42,0.5973394853728158,0.5784345865249634,0.6510884761810303,outer_holdout_beta_A
weight_0194,random,0.09348499820328324,0.6775013209712186,0.22901368082549822,beta_A,7,0.28724318738353,0.6811348781937018,0.368688674007278,372,856,73,0.660609781742096,0.6490252017974854,0.6653074026107788,outer_holdout_beta_A
weight_0195,random,0.3041201267226833,0.5373692006797551,0.15851067259756169,beta_A,7,0.5852900341054513,0.6398942122303468,0.6012362474597502,363,95,82,0.5022954940795898,0.4999163746833801,0.5072470903396606,outer_holdout_beta_A
weight_0196,random,0.15611141744754187,0.44601677463387646,0.3978718079185816,beta_A,7,0.49344729674329024,0.5222279214716189,0.494996520026016,322,148,123,0.6973368184907096,0.6957463622093201,0.7010889053344727,outer_holdout_beta_A
weight_0197,random,0.2958050566832758,0.4660217193584589,0.2381732239582654,beta_A,7,0.6062072596028703,0.6492306013314417,0.6175923790780656,370,81,75,0.5336036000932965,0.512202262878418,0.5381561517715454,outer_holdout_beta_A
weight_0198,random,0.3663562962832629,0.3579488891948944,0.27569481452184286,beta_A,7,0.5902184494104893,0.6624882437823614,0.6065243767571881,378,92,67,0.5183798755918231,0.49231648445129395,0.5638324618339539,outer_holdout_beta_A
weight_0199,random,0.32074340346564173,0.5130050522996991,0.1662515442346593,beta_A,7,0.5926353795106559,0.6464070719196771,0.6081919940704499,368,89,77,0.4930745022637503,0.4757058024406433,0.4977542757987976,outer_holdout_beta_A
weight_0200,random,0.06091437352905036,0.39122043272389034,0.5478651937470593,beta_A,7,0.2879498340469485,0.6666811936895971,0.36765583291926957,370,822,75,0.7923131840569633,0.782926619052887,0.7954201102256775,outer_holdout_beta_A
weight_0201,random,0.21527970882931036,0.12576429453078386,0.6589559966399059,beta_A,7,0.6155044795622135,0.6537976402682285,0.5999665454822638,368,89,77,0.7796019996915545,0.7095401287078857,0.8050082325935364,outer_holdout_beta_A
weight_0202,random,0.48086110587573844,0.20400077450452553,0.31513811961973603,beta_A,7,0.6411472200536756,0.6678989898989899,0.6280831151741652,378,68,67,0.5679854452610016,0.4105698764324188,0.6033328771591187,outer_holdout_beta_A
weight_0203,random,0.22736770123831074,0.6208558102434224,0.15177648851826697,beta_A,7,0.5109278025778424,0.5326175318612293,0.5078867721935161,326,130,119,0.5688168151038033,0.5663437843322754,0.5758286714553833,outer_holdout_beta_A
weight_0204,random,0.7737548927294956,0.14862279141952872,0.07762231585097563,beta_A,7,0.5966811809517066,0.6603858755623461,0.5907702983914315,370,114,75,0.4712387536253248,0.34387850761413574,0.5530087351799011,outer_holdout_beta_A
weight_0205,random,0.2970432047705836,0.16536603196116145,0.537590763268255,beta_A,7,0.6148874720090808,0.6662183176300823,0.6078440244814918,377,91,68,0.6915906241961888,0.6245027780532837,0.7238659858703613,outer_holdout_beta_A
weight_0206,random,0.6669881716381707,0.14909957364884863,0.18391225471298067,beta_A,7,0.6049664691985246,0.6252411510058569,0.5702599411087473,345,106,100,0.5262301904814584,0.3452335596084595,0.6309448480606079,outer_holdout_beta_A
weight_0207,random,0.30266976146748653,0.40945881685088104,0.2878714216816324,beta_A,7,0.5926398909772554,0.6907786629803436,0.6266383006039938,387,96,58,0.5293662548065186,0.514719545841217,0.5378329753875732,outer_holdout_beta_A
weight_0208,random,0.44598424761929417,0.2987079020439585,0.25530785033674724,beta_A,7,0.6117918368780269,0.6643509039979628,0.6037655938027076,375,97,70,0.5038571357727051,0.38394007086753845,0.5591500401496887,outer_holdout_beta_A
weight_0209,random,0.578582825920919,0.3081164754798108,0.11330069859927024,beta_A,7,0.5357234173532298,0.7020672268907563,0.5810450242433849,401,157,44,0.3161111899784633,0.25379031896591187,0.4818117618560791,outer_holdout_beta_A
weight_0210,random,0.1813487258564947,0.408351313853037,0.4102999602904682,beta_A,7,0.5458944374172348,0.6050524452205125,0.5519634628945741,345,117,100,0.6697278703962054,0.6585407257080078,0.6786378622055054,outer_holdout_beta_A
weight_0211,random,0.6316651869582208,0.08545313261236406,0.2828816804294151,beta_A,7,0.673898959405463,0.6476582633053222,0.6413255146627037,365,50,80,0.6575779148510524,0.6276188492774963,0.6688070297241211,outer_holdout_beta_A
weight_0212,random,0.29124807515065443,0.059207760255808005,0.6495441645935376,beta_A,7,0.6846677454885911,0.6541942110177404,0.6522451141312336,368,46,77,0.8158018078122821,0.806013822555542,0.8238895535469055,outer_holdout_beta_A
weight_0213,random,0.07640530815119073,0.3374074438482182,0.5861872480005912,beta_A,7,0.44786484663618137,0.41944763359889414,0.3636548521343242,261,228,184,0.8368113126073565,0.8144320845603943,0.8571467399597168,outer_holdout_beta_A
weight_0214,random,0.8352063346373562,0.0863478848203034,0.0784457805423404,beta_A,7,0.5984473839865693,0.6243278159748747,0.5625201737380159,342,114,103,0.5390356864248004,0.3807138204574585,0.6836667060852051,outer_holdout_beta_A
weight_0215,random,0.30794439389274,0.5807580997612842,0.11129750634597571,beta_A,7,0.566761206496962,0.6228152836892333,0.5771960928587594,355,96,90,0.4859739456857954,0.4560127258300781,0.4922638535499573,outer_holdout_beta_A
weight_0216,random,0.19824776020280221,0.25872121163586204,0.5430310281613356,beta_A,7,0.6120920417890323,0.7038043823590042,0.6482942537814876,397,95,48,0.6928921001298087,0.6904934048652649,0.7041141986846924,outer_holdout_beta_A
weight_0217,random,0.11498073878157376,0.5748657411847601,0.31015352003366603,beta_A,7,0.3955329478053019,0.5802535074635916,0.33905884199089537,285,694,160,0.6827241352626255,0.6410300731658936,0.7870311737060547,outer_holdout_beta_A
weight_0218,random,0.272172428282403,0.6120207246518976,0.11580684706569945,beta_A,7,0.530299376720969,0.6047753889434562,0.5415878673598555,345,130,100,0.5046095081738063,0.4856494665145874,0.5192102193832397,outer_holdout_beta_A
weight_0219,random,0.5582954745459784,0.0911807303774653,0.35052379507655645,beta_A,7,0.673969805297575,0.6553370681605976,0.6455536653128039,369,51,76,0.6734111649649483,0.6491386294364929,0.6800018548965454,outer_holdout_beta_A
weight_0220,random,0.07369513964445319,0.551180589797427,0.3751242705581198,beta_A,7,0.2747279611879002,0.7360411073520317,0.3603909684459184,390,1102,55,0.6788716401372638,0.6589691042900085,0.7293087244033813,outer_holdout_beta_A
weight_0221,random,0.18580484092519445,0.37430609873284776,0.4398890603419578,beta_A,7,0.5726464279666162,0.618311082008561,0.5800503704283184,352,96,93,0.6798356090273175,0.6661598682403564,0.6825217008590698,outer_holdout_beta_A
weight_0222,random,0.3818213039231964,0.3569800132082367,0.26119868286856696,beta_A,7,0.6211208446978388,0.6553357100415924,0.6097831578784524,371,85,74,0.52902980361666,0.46294716000556946,0.556877613067627,outer_holdout_beta_A
weight_0223,random,0.10024186186865419,0.25011478060307346,0.6496433575282724,beta_A,7,0.5325432115820254,0.5642520280839608,0.5208957372987969,327,121,118,0.8149265136037555,0.8050158619880676,0.8170492649078369,outer_holdout_beta_A
weight_0224,random,0.8351048230711483,0.0852435236834907,0.07965165324536104,beta_A,7,0.6000651042454045,0.6540421016891604,0.5877004275995092,368,114,77,0.5281968542507717,0.3788386583328247,0.6003866791725159,outer_holdout_beta_A
weight_0225,random,0.543773683905585,0.3997802875950401,0.05644602849937496,beta_A,7,0.5586135200141225,0.6912599949070538,0.5933074077107471,392,133,53,0.3255966007709503,0.28451818227767944,0.47407037019729614,outer_holdout_beta_A
weight_0226,random,0.7144148702339153,0.12689503165373878,0.1586900981123461,beta_A,7,0.6120996669336465,0.6242931839402427,0.5737333936674986,341,94,104,0.5534449645451137,0.405716210603714,0.6796645522117615,outer_holdout_beta_A
weight_0227,random,0.09267510127356739,0.6250941819787511,0.2822307167476815,beta_A,7,0.2879886158881469,0.676227412176992,0.36996696838242293,376,863,69,0.6725615688732692,0.6675455570220947,0.6780446767807007,outer_holdout_beta_A
weight_0228,random,0.17100164474921575,0.3672215797350374,0.46177677551574686,beta_A,7,0.5509998408418634,0.6106322771532856,0.5581488664560507,348,114,97,0.6963247656822205,0.679773211479187,0.7009075880050659,outer_holdout_beta_A
weight_0229,random,0.24792081515071746,0.32235152913990733,0.4297276557093752,beta_A,7,0.6144428266631365,0.7038844143718094,0.6488841440614584,394,90,51,0.6150563359260559,0.6108260750770569,0.6218132972717285,outer_holdout_beta_A
weight_0230,random,0.6206073402514718,0.15649138533052262,0.2229012744180056,beta_A,7,0.65707204689694,0.6455205839911722,0.6268799022391888,361,62,84,0.5801707931927272,0.5524358153343201,0.6070030331611633,outer_holdout_beta_A
