confidence_scope,interval_scope,aggregation,substation_id,support,positive_support,tp,fp,fn,tn,precision,recall,f1
beta_sure,full_day,pooled,,221567,9853,7871,1233,1982,210481,0.8645650263620387,0.7988429919821374,0.8304056549032021
beta_sure,full_day,substation,beta_A,32352,456,442,157,14,31739,0.7378964941569283,0.9692982456140351,0.837914691943128
beta_sure,full_day,substation,beta_B,22176,2748,1786,174,962,19254,0.9112244897959184,0.6499272197962155,0.7587085811384878
beta_sure,full_day,substation,beta_C,32544,0,0,0,0,32544,0.0,0.0,0.0
beta_sure,full_day,substation,beta_D,18048,576,502,375,74,17097,0.572405929304447,0.8715277777777778,0.690984170681349
beta_sure,full_day,substation,beta_E,29472,282,267,61,15,29129,0.8140243902439024,0.9468085106382979,0.8754098360655738
beta_sure,full_day,substation,beta_F,27551,3618,3232,302,386,23631,0.9145444255800792,0.8933112216694307,0.9038031319910514
beta_sure,full_day,substation,beta_G,27168,2110,1629,135,481,24923,0.923469387755102,0.7720379146919432,0.8409912235415591
beta_sure,full_day,substation,beta_H,32256,63,13,29,50,32164,0.30952380952380953,0.20634920634920634,0.24761904761904763
beta_sure,full_day,macro_substation,,221567,9853,7871,1233,1982,210481,0.6478861157950233,0.6636575120671133,0.6444288353725246
beta_sure,daytime_06_18,pooled,,113092,9853,7871,1233,1982,102006,0.8645650263620387,0.7988429919821374,0.8304056549032021
beta_sure,daytime_06_18,substation,beta_A,16513,456,442,157,14,15900,0.7378964941569283,0.9692982456140351,0.837914691943128
beta_sure,daytime_06_18,substation,beta_B,11319,2748,1786,174,962,8397,0.9112244897959184,0.6499272197962155,0.7587085811384878
beta_sure,daytime_06_18,substation,beta_C,16611,0,0,0,0,16611,0.0,0.0,0.0
beta_sure,daytime_06_18,substation,beta_D,9212,576,502,375,74,8261,0.572405929304447,0.8715277777777778,0.690984170681349
beta_sure,daytime_06_18,substation,beta_E,15043,282,267,61,15,14700,0.8140243902439024,0.9468085106382979,0.8754098360655738
beta_sure,daytime_06_18,substation,beta_F,14063,3618,3232,302,386,10143,0.9145444255800792,0.8933112216694307,0.9038031319910514
beta_sure,daytime_06_18,substation,beta_G,13867,2110,1629,135,481,11622,0.923469387755102,0.7720379146919432,0.8409912235415591
beta_sure,daytime_06_18,substation,beta_H,16464,63,13,29,50,16372,0.30952380952380953,0.20634920634920634,0.24761904761904763
beta_sure,daytime_06_18,macro_substation,,113092,9853,7871,1233,1982,102006,0.6478861157950233,0.6636575120671133,0.6444288353725246
beta_all,full_day,pooled,,280800,12181,8901,2536,3280,266083,0.7782635306461485,0.7307281832361875,0.7537471420103311
beta_all,full_day,substation,beta_A,35136,485,459,198,26,34453,0.6986301369863014,0.9463917525773196,0.8038528896672504
beta_all,full_day,substation,beta_B,35136,3222,1937,380,1285,31534,0.8359948208890807,0.6011793916821849,0.699404224589276
beta_all,full_day,substation,beta_C,35136,168,0,0,168,34968,0.0,0.0,0.0
beta_all,full_day,substation,beta_D,35136,845,642,777,203,33514,0.452431289640592,0.7597633136094675,0.5671378091872792
beta_all,full_day,substation,beta_E,35040,553,487,221,66,34266,0.6878531073446328,0.8806509945750453,0.7724028548770817
beta_all,full_day,substation,beta_F,35040,3984,3439,634,545,30422,0.8443407807512889,0.8632028112449799,0.8536676182201812
beta_all,full_day,substation,beta_G,35136,2717,1890,244,827,32175,0.8856607310215557,0.6956201693043799,0.7792207792207793
beta_all,full_day,substation,beta_H,35040,207,47,82,160,34751,0.3643410852713178,0.22705314009661837,0.27976190476190477
beta_all,full_day,macro_substation,,280800,12181,8901,2536,3280,266083,0.5961564939880961,0.6217326966362494,0.5944310100654691
beta_all,daytime_06_18,pooled,,143325,12181,8901,2536,3280,128608,0.7782635306461485,0.7307281832361875,0.7537471420103311
beta_all,daytime_06_18,substation,beta_A,17934,485,459,198,26,17251,0.6986301369863014,0.9463917525773196,0.8038528896672504
beta_all,daytime_06_18,substation,beta_B,17934,3222,1937,380,1285,14332,0.8359948208890807,0.6011793916821849,0.699404224589276
beta_all,daytime_06_18,substation,beta_C,17934,168,0,0,168,17766,0.0,0.0,0.0
beta_all,daytime_06_18,substation,beta_D,17934,845,642,777,203,16312,0.452431289640592,0.7597633136094675,0.5671378091872792
beta_all,daytime_06_18,substation,beta_E,17885,553,487,221,66,17111,0.6878531073446328,0.8806509945750453,0.7724028548770817
beta_all,daytime_06_18,substation,beta_F,17885,3984,3439,634,545,13267,0.8443407807512889,0.8632028112449799,0.8536676182201812
beta_all,daytime_06_18,substation,beta_G,17934,2717,1890,244,827,14973,0.8856607310215557,0.6956201693043799,0.7792207792207793
beta_all,daytime_06_18,substation,beta_H,17885,207,47,82,160,17596,0.3643410852713178,0.22705314009661837,0.27976190476190477
beta_all,daytime_06_18,macro_substation,,143325,12181,8901,2536,3280,128608,0.5961564939880961,0.6217326966362494,0.5944310100654691
