confidence_scope,event_scope,aggregation,substation_id,support_days,mean_iou,median_iou,proportion_iou_at_least_0_50,proportion_iou_at_least_0_70,median_absolute_start_error_minutes,median_absolute_end_error_minutes
beta_sure,tp_days_only,pooled,,385,0.858192754911869,0.9285714285714286,0.9662337662337662,0.8233766233766234,15.0,15.0
beta_sure,tp_days_only,substation,beta_A,25,0.874000054960669,0.9130434782608695,1.0,0.96,15.0,15.0
beta_sure,tp_days_only,substation,beta_B,75,0.8966832788124222,0.9333333333333333,1.0,0.9066666666666666,15.0,15.0
beta_sure,tp_days_only,substation,beta_D,44,0.5757634675356496,0.6120401337792643,0.8181818181818182,0.18181818181818182,45.0,60.0
beta_sure,tp_days_only,substation,beta_E,21,0.8429929365522023,0.8461538461538461,1.0,0.9047619047619048,15.0,15.0
beta_sure,tp_days_only,substation,beta_F,155,0.8903040730341716,0.9545454545454546,0.9741935483870968,0.8709677419354839,15.0,15.0
beta_sure,tp_days_only,substation,beta_G,64,0.9353615280728076,0.9467787114845938,1.0,0.984375,15.0,15.0
beta_sure,tp_days_only,substation,beta_H,1,0.40625,0.40625,0.0,0.0,270.0,15.0
beta_sure,event_days_truth_or_prediction,pooled,,519,0.6366169761870318,0.8709677419354839,0.7167630057803468,0.6107899807321773,15.0,15.0
beta_sure,event_days_truth_or_prediction,substation,beta_A,36,0.6069444826115755,0.820855614973262,0.6944444444444444,0.6666666666666666,15.0,15.0
beta_sure,event_days_truth_or_prediction,substation,beta_B,127,0.5295373693774146,0.7857142857142857,0.5905511811023622,0.5354330708661418,15.0,15.0
beta_sure,event_days_truth_or_prediction,substation,beta_D,56,0.45238558163515324,0.583916083916084,0.6428571428571429,0.14285714285714285,45.0,60.0
beta_sure,event_days_truth_or_prediction,substation,beta_E,25,0.70811406670385,0.8181818181818182,0.84,0.76,15.0,15.0
beta_sure,event_days_truth_or_prediction,substation,beta_F,180,0.7666507295572034,0.9411764705882353,0.8388888888888889,0.75,15.0,15.0
beta_sure,event_days_truth_or_prediction,substation,beta_G,90,0.6651459755184409,0.9272486772486772,0.7111111111111111,0.7,15.0,15.0
beta_sure,event_days_truth_or_prediction,substation,beta_H,5,0.08125,0.0,0.0,0.0,270.0,15.0
beta_all,tp_days_only,pooled,,469,0.8237194025086677,0.9090909090909091,0.9339019189765458,0.7761194029850746,15.0,15.0
beta_all,tp_days_only,substation,beta_A,27,0.8555556064450637,0.9,1.0,0.8888888888888888,15.0,15.0
beta_all,tp_days_only,substation,beta_B,85,0.8765746159919716,0.9285714285714286,0.9882352941176471,0.8705882352941177,15.0,15.0
beta_all,tp_days_only,substation,beta_D,66,0.526927138656839,0.5909090909090909,0.6818181818181818,0.22727272727272727,45.0,60.0
beta_all,tp_days_only,substation,beta_E,41,0.7875827231826628,0.8125,0.975609756097561,0.7560975609756098,15.0,15.0
beta_all,tp_days_only,substation,beta_F,169,0.8768057752258112,0.95,0.9644970414201184,0.8461538461538461,15.0,15.0
beta_all,tp_days_only,substation,beta_G,78,0.9130633585265431,0.9333333333333333,0.9871794871794872,0.9615384615384616,15.0,15.0
beta_all,tp_days_only,substation,beta_H,3,0.7494517543859649,0.8421052631578947,0.6666666666666666,0.6666666666666666,30.0,15.0
beta_all,event_days_truth_or_prediction,pooled,,779,0.4959234913691466,0.6470588235294118,0.5622593068035944,0.4672657252888318,15.0,15.0
beta_all,event_days_truth_or_prediction,substation,beta_A,43,0.5372093342794586,0.75,0.627906976744186,0.5581395348837209,15.0,15.0
beta_all,event_days_truth_or_prediction,substation,beta_B,168,0.44350501404355697,0.4544159544159544,0.5,0.44047619047619047,15.0,15.0
beta_all,event_days_truth_or_prediction,substation,beta_C,13,0.0,0.0,0.0,0.0,,
beta_all,event_days_truth_or_prediction,substation,beta_D,124,0.2804612189625111,0.0,0.3629032258064516,0.12096774193548387,45.0,60.0
beta_all,event_days_truth_or_prediction,substation,beta_E,61,0.529358879516216,0.7272727272727273,0.6557377049180327,0.5081967213114754,15.0,15.0
beta_all,event_days_truth_or_prediction,substation,beta_F,225,0.6585785600584981,0.8928571428571429,0.7244444444444444,0.6355555555555555,15.0,15.0
beta_all,event_days_truth_or_prediction,substation,beta_G,126,0.565229698135479,0.8888888888888888,0.6111111111111112,0.5952380952380952,15.0,15.0
beta_all,event_days_truth_or_prediction,substation,beta_H,19,0.11833448753462604,0.0,0.10526315789473684,0.10526315789473684,30.0,15.0
