dataset,substation_id,substation_days,total_candidates,minimum_candidates_per_day,mean_candidates_per_day,maximum_candidates_per_day,input_missing_net_slots,input_missing_solar_slots,unresolved_net_slots_replaced_with_zero,unresolved_solar_slots_replaced_with_zero,nonfinite_feature_values_replaced_with_zero
alpha,alpha_A,1065,223650,210,210.0,210,1452,1352,1452,1344,0
alpha,alpha_B,1065,815118,210,765.3690140845071,823,780,584,780,576,0
alpha,alpha_C,1065,813790,210,764.1220657276996,823,780,584,780,576,0
alpha,alpha_D,1065,802206,210,753.2450704225353,823,1740,1544,1740,1536,0
alpha,alpha_E,1063,817252,210,768.8165569143932,823,1740,1448,1740,1440,0
alpha,alpha_F,1063,803046,210,755.4524929444967,823,1836,1544,1836,1536,0
alpha,alpha_G,1063,807378,210,759.5277516462841,823,1644,1352,1644,1344,0
alpha,alpha_H,1065,811223,210,761.7117370892018,823,1452,1352,1452,1344,0
alpha,alpha_I,1064,810697,210,761.9332706766917,823,1260,1160,1260,1152,0
alpha,alpha_J,1065,817572,210,767.6732394366197,823,780,584,780,576,0
beta,beta_A,366,281635,302,769.4945355191256,823,384,100,289,96,0
beta,beta_B,366,279783,426,764.4344262295082,823,243,100,67,96,0
beta,beta_C,366,280054,302,765.1748633879781,823,71,100,67,96,0
beta,beta_D,366,282510,364,771.8852459016393,823,3016,100,2244,96,0
beta,beta_E,366,281072,210,767.9562841530054,823,323,196,263,192,0
beta,beta_F,366,282066,210,770.672131147541,823,392,196,376,192,0
beta,beta_G,366,284740,488,777.9781420765028,823,71,100,67,96,0
beta,beta_H,366,280095,210,765.2868852459017,823,182,196,174,192,0
