regime,model,confidence_scope,aggregation,substation_id,support,positive_support,tp,fp,fn,tn,precision,recall,f1
nested_beta_only,m9_pbm_optimised_physical,beta_sure,pooled,,2310,471,385,48,86,1791,0.8891454965357968,0.8174097664543525,0.8517699115044248
nested_beta_only,m9_pbm_optimised_physical,beta_sure,macro_substation,,2310,471,385,48,86,1791,0.7084515782597623,0.6852064193975959,0.6806456457080845
beta_only,dnn,beta_sure,pooled,,2310,471,385,89,86,1750,0.8122362869198312,0.8174097664543525,0.8148148148148148
beta_only,dnn,beta_sure,macro_substation,,2310,471,385,89,86,1750,0.6288433635070249,0.6533042039659687,0.6152692784362608
beta_only,random_forest,beta_sure,pooled,,2310,471,405,96,66,1743,0.8083832335329342,0.8598726114649682,0.8333333333333334
beta_only,random_forest,beta_sure,macro_substation,,2310,471,405,96,66,1743,0.5535939265285221,0.6446662912251147,0.5824863729847118
beta_only,xgboost,beta_sure,pooled,,2310,471,367,58,104,1781,0.8635294117647059,0.7791932059447984,0.8191964285714285
beta_only,xgboost,beta_sure,macro_substation,,2310,471,367,58,104,1781,0.6209225654477593,0.590261777438248,0.5923208656141633
beta_plus_alpha,dnn,beta_sure,pooled,,2310,471,432,135,39,1704,0.7619047619047619,0.9171974522292994,0.8323699421965317
beta_plus_alpha,dnn,beta_sure,macro_substation,,2310,471,432,135,39,1704,0.5836751761268085,0.7390515448603684,0.6226985826042508
beta_plus_alpha,random_forest,beta_sure,pooled,,2310,471,440,131,31,1708,0.7705779334500875,0.9341825902335457,0.8445297504798465
beta_plus_alpha,random_forest,beta_sure,macro_substation,,2310,471,440,131,31,1708,0.5607955660455175,0.7471133392751039,0.626359735185432
beta_plus_alpha,xgboost,beta_sure,pooled,,2310,471,393,85,78,1754,0.8221757322175732,0.8343949044585988,0.828240252897787
beta_plus_alpha,xgboost,beta_sure,macro_substation,,2310,471,393,85,78,1754,0.6058164277223095,0.6850742084712673,0.6263825625361015
alpha_only,dnn,beta_sure,pooled,,2310,471,471,296,0,1543,0.6140808344198174,1.0,0.7609046849757674
alpha_only,dnn,beta_sure,macro_substation,,2310,471,471,296,0,1543,0.45977866288296476,0.875,0.5737039614868942
alpha_only,random_forest,beta_sure,pooled,,2310,471,471,340,0,1499,0.5807644882860666,1.0,0.7347893915756631
alpha_only,random_forest,beta_sure,macro_substation,,2310,471,471,340,0,1499,0.43544428571825544,0.875,0.5499128000927205
alpha_only,xgboost,beta_sure,pooled,,2310,471,471,313,0,1526,0.6007653061224489,1.0,0.7505976095617529
alpha_only,xgboost,beta_sure,macro_substation,,2310,471,471,313,0,1526,0.44833253853540944,0.875,0.5624498773065563
