dataset,substation_id,total_days,rpf_days,rpf_day_pct,rpf_intervals
Alpha,syn_A,1065,0,0.0,0
Alpha,syn_B,1065,27,2.535211267605634,142
Alpha,syn_C,1065,632,59.34272300469483,7984
Alpha,syn_D,1065,0,0.0,0
Alpha,syn_E,1063,712,66.98024459078081,9965
Alpha,syn_F,1063,856,80.52681091251176,14105
Alpha,syn_G,1063,656,61.71213546566322,9557
Alpha,syn_H,1065,0,0.0,0
Alpha,syn_I,1064,151,14.191729323308271,1898
Alpha,syn_J,1065,389,36.52582159624413,4329
Beta,act_A,366,33,9.01639344262295,498
Beta,act_B,366,130,35.51912568306011,2496
Beta,act_C,366,3,0.819672131147541,41
Beta,act_D,366,96,26.229508196721312,1529
Beta,act_E,366,60,16.39344262295082,682
Beta,act_F,366,118,32.240437158469945,2746
Beta,act_G,366,106,28.96174863387978,2478
Beta,act_H,366,11,3.0054644808743167,134
