fold_id,held_out,training_stations,training_signature,shared_with,n_training_rows,n_training_rpf_days,bundle,elapsed_s,skipped
alpha_alpha_A,alpha_A,beta_A;beta_B;beta_C;beta_D;beta_E;beta_F;beta_G;beta_H,187be161c2989313c7feb4d296a01f36d6eb17666332fb73bbbc770bdea0a06d,,221280,470,results/02_baselines/bundles/alpha_alpha_A/bundle.pkl,17.4,False
alpha_alpha_B,alpha_B,beta_A;beta_B;beta_C;beta_D;beta_E;beta_F;beta_G;beta_H,187be161c2989313c7feb4d296a01f36d6eb17666332fb73bbbc770bdea0a06d,alpha_alpha_A,221280,470,results/02_baselines/bundles/alpha_alpha_A/bundle.pkl,0.0,False
alpha_alpha_C,alpha_C,beta_A;beta_B;beta_C;beta_D;beta_E;beta_F;beta_G;beta_H,187be161c2989313c7feb4d296a01f36d6eb17666332fb73bbbc770bdea0a06d,alpha_alpha_A,221280,470,results/02_baselines/bundles/alpha_alpha_A/bundle.pkl,0.0,False
alpha_alpha_D,alpha_D,beta_A;beta_B;beta_C;beta_D;beta_E;beta_F;beta_G;beta_H,187be161c2989313c7feb4d296a01f36d6eb17666332fb73bbbc770bdea0a06d,alpha_alpha_A,221280,470,results/02_baselines/bundles/alpha_alpha_A/bundle.pkl,0.0,False
alpha_alpha_E,alpha_E,beta_A;beta_B;beta_C;beta_D;beta_E;beta_F;beta_G;beta_H,187be161c2989313c7feb4d296a01f36d6eb17666332fb73bbbc770bdea0a06d,alpha_alpha_A,221280,470,results/02_baselines/bundles/alpha_alpha_A/bundle.pkl,0.0,False
alpha_alpha_F,alpha_F,beta_A;beta_B;beta_C;beta_D;beta_E;beta_F;beta_G;beta_H,187be161c2989313c7feb4d296a01f36d6eb17666332fb73bbbc770bdea0a06d,alpha_alpha_A,221280,470,results/02_baselines/bundles/alpha_alpha_A/bundle.pkl,0.0,False
alpha_alpha_G,alpha_G,beta_A;beta_B;beta_C;beta_D;beta_E;beta_F;beta_G;beta_H,187be161c2989313c7feb4d296a01f36d6eb17666332fb73bbbc770bdea0a06d,alpha_alpha_A,221280,470,results/02_baselines/bundles/alpha_alpha_A/bundle.pkl,0.0,False
alpha_alpha_H,alpha_H,beta_A;beta_B;beta_C;beta_D;beta_E;beta_F;beta_G;beta_H,187be161c2989313c7feb4d296a01f36d6eb17666332fb73bbbc770bdea0a06d,alpha_alpha_A,221280,470,results/02_baselines/bundles/alpha_alpha_A/bundle.pkl,0.0,False
alpha_alpha_I,alpha_I,beta_A;beta_B;beta_C;beta_D;beta_E;beta_F;beta_G;beta_H,187be161c2989313c7feb4d296a01f36d6eb17666332fb73bbbc770bdea0a06d,alpha_alpha_A,221280,470,results/02_baselines/bundles/alpha_alpha_A/bundle.pkl,0.0,False
alpha_alpha_J,alpha_J,beta_A;beta_B;beta_C;beta_D;beta_E;beta_F;beta_G;beta_H,187be161c2989313c7feb4d296a01f36d6eb17666332fb73bbbc770bdea0a06d,alpha_alpha_A,221280,470,results/02_baselines/bundles/alpha_alpha_A/bundle.pkl,0.0,False
beta_beta_A,beta_A,beta_B;beta_C;beta_D;beta_E;beta_F;beta_G;beta_H,9e655ac2cbfb94d0e9300cfb7bff5873c609b8e67b1a458fe09b74ad4ed3de9b,,188928,444,results/02_baselines/bundles/beta_beta_A/bundle.pkl,16.1,False
beta_beta_B,beta_B,beta_A;beta_C;beta_D;beta_E;beta_F;beta_G;beta_H,687e3db085b8bb65094a26ad8922d87c3334ddd7647c1d6355650ab93c21380f,,199104,345,results/02_baselines/bundles/beta_beta_B/bundle.pkl,15.0,False
beta_beta_C,beta_C,beta_A;beta_B;beta_D;beta_E;beta_F;beta_G;beta_H,d17f6b34511927a6e3a2c9ee5b6e727c6023845ee55d39f8966be0ccd2a474ac,,188736,470,results/02_baselines/bundles/beta_beta_C/bundle.pkl,17.2,False
beta_beta_D,beta_D,beta_A;beta_B;beta_C;beta_E;beta_F;beta_G;beta_H,0ade4440f4a6a7a01d45a48edc7b6531ac38d47ca6180a16d515e03abc6249d2,,203232,425,results/02_baselines/bundles/beta_beta_D/bundle.pkl,16.4,False
beta_beta_E,beta_E,beta_A;beta_B;beta_C;beta_D;beta_F;beta_G;beta_H,d445d20dcf28bee81b4eed4efb98326838786e9c61edfa88d6299062f309f3c4,,191904,449,results/02_baselines/bundles/beta_beta_E/bundle.pkl,16.9,False
beta_beta_F,beta_F,beta_A;beta_B;beta_C;beta_D;beta_E;beta_G;beta_H,992c826c183307d985f31335fd87e7c6638f2fcb88b9b4e63ae144f14178d613,,193824,306,results/02_baselines/bundles/beta_beta_F/bundle.pkl,12.1,False
beta_beta_G,beta_G,beta_A;beta_B;beta_C;beta_D;beta_E;beta_F;beta_H,97d01fa1d9b29a7a654faf61181e5e4d14ad2fde2298c008b91b663734b74220,,194112,385,results/02_baselines/bundles/beta_beta_G/bundle.pkl,15.7,False
beta_beta_H,beta_H,beta_A;beta_B;beta_C;beta_D;beta_E;beta_F;beta_G,2485a444b77202ec9205d0d5fd5826634bdc54efc8cd30db101d6c5f81895ba3,,189120,466,results/02_baselines/bundles/beta_beta_H/bundle.pkl,16.9,False
