method,group,metric,point,ci_low,ci_high,draws
m7,combined,energy_iou,0.29858852627578164,0.13079910002791503,0.4794316250536432,1000
m7,combined,energy_precision,0.3179465714830568,0.136314535746928,0.5313832768000925,1000
m7,combined,day_f1,0.6028414594769131,0.3948057734795784,0.7293698897214325,1000
m7,combined,day_precision,0.43739018390535317,0.25300376534175595,0.5807283668371148,1000
m7,alpha,energy_iou,0.30410480090713804,0.09321929850771025,0.504308544332322,1000
m7,alpha,energy_precision,0.3175164851414568,0.09443946857933122,0.5423538830923206,1000
m7,alpha,day_f1,0.6622581918673509,0.42611345244615784,0.7897276347228679,1000
m7,alpha,day_precision,0.4969634128277292,0.2714209024970614,0.6559672930803869,1000
m7,beta,energy_iou,0.2774618911876184,0.12112379877041544,0.42785911896593154,1000
m7,beta,energy_precision,0.31976469872847296,0.1241881581477245,0.5293152333866176,1000
m7,beta,day_f1,0.33599290780141844,0.1387400502277274,0.526113748737069,1000
m7,beta,day_precision,0.2122060470324748,0.07720071517058699,0.3822409596125408,1000
m8,combined,energy_iou,0.6617713617017505,0.47316285940976033,0.7702866659738355,1000
m8,combined,energy_precision,0.928468570729421,0.870004207234581,0.9532496146873124,1000
m8,combined,day_f1,0.6882510013351136,0.6252125484903676,0.7337238446494725,1000
m8,combined,day_precision,0.9631013545072397,0.9272845710972684,0.9823721198007255,1000
m8,alpha,energy_iou,0.7619938034694288,0.70957494417841,0.7917132595151812,1000
m8,alpha,energy_precision,0.9341615777845306,0.8484576213974989,0.9594732930271648,1000
m8,alpha,day_f1,0.6997518610421837,0.6441908426567345,0.7412293933514332,1000
m8,alpha,day_precision,0.9865446716899893,0.9667699524206878,0.9971557217126318,1000
m8,beta,energy_iou,0.3333444744108269,0.08602697567955081,0.7568387699979608,1000
m8,beta,energy_precision,0.8879333990085152,0.8009159414369299,0.9116690116140088,1000
m8,beta,day_f1,0.6082337317397077,0.3533875857858175,0.8329824587477753,1000
m8,beta,day_precision,0.8091872791519434,0.7202124384236454,0.8714648910411622,1000
m9,combined,energy_iou,0.8789704533180037,0.8590027665059129,0.8894648772743378,1000
m9,combined,energy_precision,0.9361239062514666,0.9238872736581205,0.9459064359859805,1000
m9,combined,day_f1,0.7940856031128404,0.7605633802816901,0.8275809788735615,1000
m9,combined,day_precision,0.991064491064491,0.9789670848125224,0.9985533086391897,1000
m9,alpha,energy_iou,0.8741830166907575,0.836943596264143,0.888238678758447,1000
m9,alpha,energy_precision,0.9347037147440697,0.913088579560743,0.9469228716446928,1000
m9,alpha,day_f1,0.7727190277525848,0.72909385211822,0.811045664082323,1000
m9,alpha,day_precision,0.99906191369606,0.9969323739352416,1.0,1000
m9,beta,energy_iou,0.8945449477456121,0.8752513128195545,0.9282287787279812,1000
m9,beta,energy_precision,0.940667717682573,0.9181594563330201,0.9657539970868043,1000
m9,beta,day_f1,0.9232456140350876,0.8865512740480108,0.9460043196544277,1000
m9,beta,day_precision,0.9524886877828054,0.917312175788308,0.9940837104072398,1000
