point,cohort,station,n_days,corrected_days,auto_fp,auto_fn,tp,day_precision,day_recall,energy_precision,energy_iou,fp_per_station_year,review_days,review_days_per_station_year,auto_share
release c = 0.70,beta,beta_A,334,24,0,1,24,1.0,0.9230769230769231,0.9884132583433306,0.95574060191616,0.0,9,9.842065868263473,0.9730538922155688
release c = 0.70,beta,beta_B,230,108,0,10,108,1.0,0.864,0.9478660044367611,0.8890926088713529,0.0,10,15.880434782608697,0.9565217391304348
release c = 0.70,beta,beta_C,337,0,0,0,0,,,,,0.0,0,0.0,1.0
release c = 0.70,beta,beta_D,183,35,1,3,34,0.9714285714285714,0.7555555555555555,0.9662549108355374,0.9015861980944986,1.9959016393442623,25,49.89754098360656,0.8633879781420765
release c = 0.70,beta,beta_E,305,22,1,0,21,0.9545454545454546,1.0,0.9113346090655575,0.899125056861397,1.1975409836065574,8,9.580327868852459,0.9737704918032787
release c = 0.70,beta,beta_F,284,166,9,2,157,0.9457831325301205,0.9573170731707317,0.9496679852364251,0.930078607694169,11.57482394366197,14,18.005281690140844,0.9507042253521126
release c = 0.70,beta,beta_G,282,86,10,5,76,0.8837209302325582,0.8941176470588236,0.9015351431655869,0.8700366556153777,12.952127659574469,15,19.4281914893617,0.9468085106382979
release c = 0.70,beta,beta_H,333,1,0,3,1,1.0,0.25,0.8178171899595065,0.17344536429581756,0.0,1,1.0968468468468469,0.996996996996997
target 0.95 (rule L),beta,beta_A,334,23,0,1,23,1.0,0.8846153846153846,0.988116499647744,0.9315937485993292,0.0,18,19.684131736526947,0.9461077844311377
target 0.95 (rule L),beta,beta_B,230,95,0,6,95,1.0,0.76,0.9480301574397794,0.8313359652735812,0.0,27,42.87717391304348,0.8826086956521739
target 0.95 (rule L),beta,beta_C,337,0,0,0,0,,,,,0.0,0,0.0,1.0
target 0.95 (rule L),beta,beta_D,183,28,0,2,28,1.0,0.6222222222222222,0.9738325573391343,0.8233184318127191,0.0,39,77.84016393442623,0.7868852459016393
target 0.95 (rule L),beta,beta_E,305,18,0,0,18,1.0,0.8571428571428571,0.950428030388802,0.8761437669125145,0.0,17,20.358196721311476,0.9442622950819672
