cohort,c,n_days,auto_decided_share,review_days,review_share,auto_fp,auto_fn,auto_days,auto_precision,auto_recall,energy_iou,energy_precision,sure_day_recall,day_f1
alpha,0.5,10393,1.0,0,0.0,8,988,10393,0.9966680549770929,0.7077787636793847,0.8796426195028817,0.9199223759698689,0.7077787636793847,0.8277412659979245
alpha,0.55,10393,0.9890310786106032,114,0.010968921389396709,6,933,10279,0.9974391805377721,0.6912156166814551,0.8793447242460838,0.9228694686279472,0.6912156166814551,0.8165618448637316
alpha,0.6,10393,0.9771961897430963,237,0.022803810256903687,3,876,10156,0.9986830553116769,0.6728778467908902,0.8790537240631182,0.9275794830082568,0.6728778467908902,0.804028980385227
alpha,0.65,10393,0.9646877706148369,367,0.03531222938516309,2,815,10026,0.9990946129470348,0.65276545400769,0.8780435440188316,0.9316069609439317,0.65276545400769,0.7896243291592129
alpha,0.7,10393,0.9522755700952564,496,0.04772442990474358,2,764,9897,0.99906191369606,0.6299911268855368,0.8741830166907574,0.9347037147440697,0.6299911268855368,0.7727190277525848
alpha,0.75,10393,0.9372654671413452,652,0.06273453285865487,2,701,9741,0.9990200881920627,0.6030760130139012,0.8687014762622667,0.9389934912631502,0.6030760130139012,0.7521209885651051
alpha,0.8,10393,0.9194650245357452,837,0.08053497546425478,2,640,9556,0.9989594172736732,0.5678793256433008,0.8638103928564195,0.9464374563521276,0.5678793256433008,0.7241184235338488
alpha,0.85,10393,0.8986818050610988,1053,0.10131819493890118,1,584,9340,0.9994356659142212,0.5238095238095238,0.8472382461201945,0.9542888825937558,0.5238095238095238,0.6873665825732584
alpha,0.9,10393,0.8685653805445973,1366,0.13143461945540266,0,506,9027,1.0,0.45607808340727596,0.8112557587094256,0.9637368819818394,0.45607808340727596,0.6264472882388787
alpha,0.95,10393,0.815933801597229,1913,0.1840661984027711,0,411,8480,1.0,0.32712215320910976,0.7057965472996012,0.9787305807241322,0.32712215320910976,0.4929797191887676
alpha,0.99,10393,0.7078803040508034,3036,0.29211969594919657,0,283,7357,1.0,0.04406980183377699,0.12979541158475458,0.9969235978170483,0.04406980183377699,0.08441926345609065
beta,0.5,2288,1.0,0,0.0,44,35,2288,0.9081419624217119,0.925531914893617,0.891430504798635,0.9255861373366465,0.925531914893617,0.9167544783983139
beta,0.55,2288,0.9899475524475524,23,0.010052447552447552,39,32,2265,0.9170212765957447,0.9170212765957447,0.8890521065335122,0.9260291221770134,0.9170212765957447,0.9170212765957447
beta,0.6,2288,0.9816433566433567,42,0.018356643356643356,34,29,2246,0.9259259259259259,0.9042553191489362,0.8882740956257947,0.9291027934451744,0.9042553191489362,0.9149623250807319
beta,0.65,2288,0.9729020979020979,62,0.027097902097902096,27,27,2226,0.9401330376940134,0.902127659574468,0.8926433607695686,0.933938783219682,0.902127659574468,0.9207383279044518
beta,0.7,2288,0.9641608391608392,82,0.03583916083916084,21,24,2206,0.9524886877828054,0.8957446808510638,0.8945449477456121,0.940667717682573,0.8957446808510638,0.9232456140350876
beta,0.75,2288,0.9523601398601399,109,0.047639860139860137,16,22,2179,0.9625292740046838,0.874468085106383,0.8875037467788509,0.942797195301676,0.874468085106383,0.9163879598662207
beta,0.8,2288,0.9344405594405595,150,0.06555944055944056,14,17,2138,0.9655172413793104,0.8340425531914893,0.8672953548850036,0.9449987893399555,0.8340425531914893,0.8949771689497718
beta,0.85,2288,0.9156468531468531,193,0.08435314685314685,11,14,2095,0.9708994708994709,0.7808510638297872,0.8424003550443142,0.9544461077392733,0.7808510638297872,0.865566037735849
beta,0.9,2288,0.888548951048951,255,0.11145104895104894,5,13,2033,0.9853801169590644,0.7170212765957447,0.8069233591256753,0.9628290767014086,0.7170212765957447,0.8300492610837438
beta,0.95,2288,0.8256118881118881,399,0.1743881118881119,0,9,1889,1.0,0.5042553191489362,0.6608635852814951,0.9798529568090713,0.5042553191489362,0.6704384724186704
beta,0.99,2288,0.6984265734265734,690,0.30157342657342656,0,6,1598,1.0,0.04468085106382979,0.05524192145728572,0.998668691369528,0.04468085106382979,0.08553971486761712
