Cohort,Station,Site-days,RPF days,Required MWh,M7 Energy IoU,M7 energy precision,M7 day F1,M8 Energy IoU,M8 energy precision,M8 day F1,M9 Energy IoU,M9 energy precision,M9 day F1
Alpha,alpha_A,1039,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0
Alpha,alpha_B,1055,27,29.6104685,0.002534510847274,0.0025349073756809,0.0666666666666666,0.0,,0.0,0.839074532086735,0.9477192098891942,0.5
Alpha,alpha_C,1055,627,3752.316103,0.4948906465087054,0.5320934702317183,0.7747972551466,0.7142466095954411,0.8426035520969202,0.7328699106256206,0.8556036369142087,0.9323476953304818,0.7313131313131312
Alpha,alpha_D,1035,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Alpha,alpha_E,1035,700,6326.578003500001,0.5944306667960063,0.6442670341402289,0.8317422434367542,0.7385881946908764,0.9571923031787942,0.6381322957198443,0.8903221425570673,0.9536873402741676,0.7708516242317822
Alpha,alpha_F,1033,842,13356.8295205,0.7303138952670232,0.8164951255335483,0.9179966978536048,0.8081649734296724,0.9618738148926916,0.7708029197080293,0.8923866183718033,0.933217162072903,0.8362128541810643
Alpha,alpha_G,1037,650,5828.545406499999,0.6042884949675645,0.6575320291643637,0.810539523212045,0.7550146376228237,0.9610554145593846,0.6901408450704225,0.857992060070658,0.9479823924333804,0.771266540642722
Alpha,alpha_H,1039,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0
Alpha,alpha_I,1042,148,1199.690992,0.1055326387438737,0.1073600795985575,0.3314669652855543,0.7316905242449174,0.8923948330096367,0.6578947368421053,0.8058207359002989,0.8599136606795783,0.7372881355932203
Alpha,alpha_J,1055,387,1542.0867715000002,0.2368406356116792,0.2440139051133975,0.588597842835131,0.6710408010018339,0.8174097363232163,0.6506849315068493,0.8170990655042718,0.8929382146804957,0.7248764415156507
Beta,beta_A,337,26,754.99691,0.1500552331213405,0.1523833637238647,0.1655172413793103,0.6925219399896266,0.9252121824951848,0.8571428571428572,0.95574060191616,0.9884132583433306,0.96
Beta,beta_B,231,125,4769.1721835,0.3761908689066,0.7341523469961762,0.5316455696202531,0.0124965589848471,1.0,0.046875,0.8890926088713529,0.9478660044367612,0.927038626609442
Beta,beta_C,339,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Beta,beta_D,188,45,475.143817,0.2566057859261728,0.3013419122008592,0.326530612244898,0.7166019484653682,0.8326307257287777,0.7472527472527473,0.9015861980944988,0.9662549108355374,0.85
Beta,beta_E,306,21,87.1145895,0.0251684805289256,0.0257466990573616,0.1350210970464135,0.8575229504515011,0.9256212166620388,0.9268292682926828,0.899125056861397,0.9113346090655576,0.9767441860465116
Beta,beta_F,286,164,1578.0256439999998,0.7697198131946743,0.8089426355257849,0.7494252873563219,0.2775288094067371,0.9111315244678604,0.5954198473282443,0.930078607694169,0.9496679852364251,0.9515151515151516
Beta,beta_G,283,85,2201.512978,0.5441199707437421,0.5608669709130745,0.4885057471264367,0.7819921760225165,0.9060218136806072,0.8433734939759034,0.8700366556153777,0.9015351431655868,0.888888888888889
Beta,beta_H,335,4,30.1796275,0.0058777162016904,0.0058947197886414,0.029090909090909,0.5031976627463691,0.5179086117232408,0.8,0.1734453642958175,0.8178171899595065,0.4
