fold_id,cohort,held_out,n_heldout_days,n_heldout_headline_days,n_heldout_rpf_days,m8_training_stations,n_m8_training_days,n_m8_training_rpf_days,m8_training_keys_sha256,m9_calibration_stations,n_m9_calibration_days,n_m9_calibration_rpf_days
alpha_alpha_A,alpha,alpha_A,1039,1039,0,alpha_B;alpha_C;alpha_D;alpha_E;alpha_F;alpha_G;alpha_H;alpha_I;alpha_J;beta_A;beta_B;beta_C;beta_D;beta_E;beta_F;beta_G;beta_H,11691,3851,28b207e84cfad9494b31f5e8fd37537268efd25d3f4e6fdafd5d5e95f78a4683,alpha_B;alpha_C;alpha_D;alpha_E;alpha_F;alpha_G;alpha_H;alpha_I;alpha_J,9386,3381
alpha_alpha_B,alpha,alpha_B,1055,1055,27,alpha_A;alpha_C;alpha_D;alpha_E;alpha_F;alpha_G;alpha_H;alpha_I;alpha_J;beta_A;beta_B;beta_C;beta_D;beta_E;beta_F;beta_G;beta_H,11675,3824,eb3b8af3a0cdcb2c65a940f396f3743d1a7626db42291eebae6e4f5cfe876da3,alpha_A;alpha_C;alpha_D;alpha_E;alpha_F;alpha_G;alpha_H;alpha_I;alpha_J,9370,3354
alpha_alpha_C,alpha,alpha_C,1055,1055,627,alpha_A;alpha_B;alpha_D;alpha_E;alpha_F;alpha_G;alpha_H;alpha_I;alpha_J;beta_A;beta_B;beta_C;beta_D;beta_E;beta_F;beta_G;beta_H,11675,3224,a078ae92266321731432ed94bdd1c4a69a8bcc517fac67cfbe00e9595ef9f5fc,alpha_A;alpha_B;alpha_D;alpha_E;alpha_F;alpha_G;alpha_H;alpha_I;alpha_J,9370,2754
alpha_alpha_D,alpha,alpha_D,1035,1035,0,alpha_A;alpha_B;alpha_C;alpha_E;alpha_F;alpha_G;alpha_H;alpha_I;alpha_J;beta_A;beta_B;beta_C;beta_D;beta_E;beta_F;beta_G;beta_H,11695,3851,dbcce1ad361c26d71f1b8f33ab9871fc62b0b29658276bbb9436295a2b5ba440,alpha_A;alpha_B;alpha_C;alpha_E;alpha_F;alpha_G;alpha_H;alpha_I;alpha_J,9390,3381
alpha_alpha_E,alpha,alpha_E,1035,1035,700,alpha_A;alpha_B;alpha_C;alpha_D;alpha_F;alpha_G;alpha_H;alpha_I;alpha_J;beta_A;beta_B;beta_C;beta_D;beta_E;beta_F;beta_G;beta_H,11695,3151,d8643909218e4af10c0f0a08a43c20f3d6aa8b6ed57780c1d86b256b5e60fd32,alpha_A;alpha_B;alpha_C;alpha_D;alpha_F;alpha_G;alpha_H;alpha_I;alpha_J,9390,2681
alpha_alpha_F,alpha,alpha_F,1033,1033,842,alpha_A;alpha_B;alpha_C;alpha_D;alpha_E;alpha_G;alpha_H;alpha_I;alpha_J;beta_A;beta_B;beta_C;beta_D;beta_E;beta_F;beta_G;beta_H,11697,3009,b08a46060338fe313ed2538e45bc521191de51a56fd69554b01cb6f86340c3c7,alpha_A;alpha_B;alpha_C;alpha_D;alpha_E;alpha_G;alpha_H;alpha_I;alpha_J,9392,2539
alpha_alpha_G,alpha,alpha_G,1037,1037,650,alpha_A;alpha_B;alpha_C;alpha_D;alpha_E;alpha_F;alpha_H;alpha_I;alpha_J;beta_A;beta_B;beta_C;beta_D;beta_E;beta_F;beta_G;beta_H,11693,3201,cf617a038740e1b4825bc7e2e63b2d6c7dbf2e828fc38b995202757181cbd654,alpha_A;alpha_B;alpha_C;alpha_D;alpha_E;alpha_F;alpha_H;alpha_I;alpha_J,9388,2731
alpha_alpha_H,alpha,alpha_H,1039,1039,0,alpha_A;alpha_B;alpha_C;alpha_D;alpha_E;alpha_F;alpha_G;alpha_I;alpha_J;beta_A;beta_B;beta_C;beta_D;beta_E;beta_F;beta_G;beta_H,11691,3851,39ff5af9f2e4b1316cbe97231ba1725c655bc51bcab968f9cb8d28f8d66aaa86,alpha_A;alpha_B;alpha_C;alpha_D;alpha_E;alpha_F;alpha_G;alpha_I;alpha_J,9386,3381
alpha_alpha_I,alpha,alpha_I,1042,1042,148,alpha_A;alpha_B;alpha_C;alpha_D;alpha_E;alpha_F;alpha_G;alpha_H;alpha_J;beta_A;beta_B;beta_C;beta_D;beta_E;beta_F;beta_G;beta_H,11688,3703,1be4474171b7f10998c3cf6d464bca32a0952c8c10ee26a4ecfbb75cb9af3c43,alpha_A;alpha_B;alpha_C;alpha_D;alpha_E;alpha_F;alpha_G;alpha_H;alpha_J,9383,3233
alpha_alpha_J,alpha,alpha_J,1055,1055,387,alpha_A;alpha_B;alpha_C;alpha_D;alpha_E;alpha_F;alpha_G;alpha_H;alpha_I;beta_A;beta_B;beta_C;beta_D;beta_E;beta_F;beta_G;beta_H,11675,3464,83deab9bde5f678b8d8782f329383c03249996730cd69f0fbf05dcc266f260ef,alpha_A;alpha_B;alpha_C;alpha_D;alpha_E;alpha_F;alpha_G;alpha_H;alpha_I,9370,2994
beta_beta_A,beta,beta_A,366,337,26,alpha_A;alpha_B;alpha_C;alpha_D;alpha_E;alpha_F;alpha_G;alpha_H;alpha_I;alpha_J;beta_B;beta_C;beta_D;beta_E;beta_F;beta_G;beta_H,12393,3825,a2e02c63b77b15b1afb4dc5f1359c0a585ac26a970cecb7408bd55b962e8c0da,beta_B;beta_C;beta_D;beta_E;beta_F;beta_G;beta_H,1968,444
beta_beta_B,beta,beta_B,366,231,125,alpha_A;alpha_B;alpha_C;alpha_D;alpha_E;alpha_F;alpha_G;alpha_H;alpha_I;alpha_J;beta_A;beta_C;beta_D;beta_E;beta_F;beta_G;beta_H,12499,3726,83e4a6ae949b8f21a63a45dc85fda1d357921011c4f98e24c954e1e693261774,beta_A;beta_C;beta_D;beta_E;beta_F;beta_G;beta_H,2074,345
beta_beta_C,beta,beta_C,366,339,0,alpha_A;alpha_B;alpha_C;alpha_D;alpha_E;alpha_F;alpha_G;alpha_H;alpha_I;alpha_J;beta_A;beta_B;beta_D;beta_E;beta_F;beta_G;beta_H,12391,3851,31c590053cc22a93f8c0588048d5dbc5def6dc1e5bf8340de3213d0d6664b937,beta_A;beta_B;beta_D;beta_E;beta_F;beta_G;beta_H,1966,470
beta_beta_D,beta,beta_D,366,188,45,alpha_A;alpha_B;alpha_C;alpha_D;alpha_E;alpha_F;alpha_G;alpha_H;alpha_I;alpha_J;beta_A;beta_B;beta_C;beta_E;beta_F;beta_G;beta_H,12542,3806,64a3eedc0e922a3fff34dc1b212bb715fcb2555e1cd72cc9174dbf8870079fc7,beta_A;beta_B;beta_C;beta_E;beta_F;beta_G;beta_H,2117,425
beta_beta_E,beta,beta_E,364,306,21,alpha_A;alpha_B;alpha_C;alpha_D;alpha_E;alpha_F;alpha_G;alpha_H;alpha_I;alpha_J;beta_A;beta_B;beta_C;beta_D;beta_F;beta_G;beta_H,12424,3830,65dfaa630be08af8b32fb83cec38cc6b1a138ac8be494cf3c36a8a1d8553a192,beta_A;beta_B;beta_C;beta_D;beta_F;beta_G;beta_H,1999,449
beta_beta_F,beta,beta_F,364,286,164,alpha_A;alpha_B;alpha_C;alpha_D;alpha_E;alpha_F;alpha_G;alpha_H;alpha_I;alpha_J;beta_A;beta_B;beta_C;beta_D;beta_E;beta_G;beta_H,12444,3687,3ffa008b3af6c3e1ffa9a3f0a3e7ab4de26fa7ee198544d7e8fbb493a51c7aa4,beta_A;beta_B;beta_C;beta_D;beta_E;beta_G;beta_H,2019,306
beta_beta_G,beta,beta_G,366,283,85,alpha_A;alpha_B;alpha_C;alpha_D;alpha_E;alpha_F;alpha_G;alpha_H;alpha_I;alpha_J;beta_A;beta_B;beta_C;beta_D;beta_E;beta_F;beta_H,12447,3766,107a54f192b6b7af6562d27f8455950f5d5a8b09073356887a0af206360636fd,beta_A;beta_B;beta_C;beta_D;beta_E;beta_F;beta_H,2022,385
beta_beta_H,beta,beta_H,364,335,4,alpha_A;alpha_B;alpha_C;alpha_D;alpha_E;alpha_F;alpha_G;alpha_H;alpha_I;alpha_J;beta_A;beta_B;beta_C;beta_D;beta_E;beta_F;beta_G,12395,3847,18cf131c8e1ae2bf2eba84286078c7999a705aa2598d4e968e63a2592a46b086,beta_A;beta_B;beta_C;beta_D;beta_E;beta_F;beta_G,1970,466
