cohort,c,n_days,auto_decided_share,review_days,review_share,auto_fp,auto_fn,auto_days,auto_precision,auto_recall,energy_iou,energy_precision,sure_day_recall,day_f1
alpha,0.5,10393,0.9998075627826422,2,0.000192437217357837,84,289,10391,0.9735349716446124,0.9139307897071872,0.8671090387558814,0.8860446178641213,0.9139307897071872,0.94279176201373
alpha,0.55,10393,0.9961512556528432,40,0.0038487443471567403,80,267,10353,0.9747474747474747,0.9133392487429755,0.8672973006785301,0.8862576094674877,0.9133392487429755,0.9430447396549091
alpha,0.6,10393,0.9899932646973925,104,0.010006735302607525,75,229,10289,0.9762206721623335,0.9106773144040224,0.8678336550514507,0.8868528614750234,0.9106773144040224,0.9423106350420811
alpha,0.65,10393,0.9840277109592995,166,0.01597228904070047,73,197,10227,0.9767811704834606,0.9083111505471754,0.8688756256023665,0.8879763604349773,0.9083111505471754,0.9413026819923371
alpha,0.7,10393,0.9769075339170595,240,0.02309246608294044,71,154,10153,0.9773162939297124,0.9047619047619048,0.8692058067623027,0.8885742368962344,0.9047619047619048,0.9396406082015051
alpha,0.75,10393,0.9685365149619937,327,0.03146348503800635,67,122,10066,0.9784635165541626,0.9003253475303165,0.8693401894789325,0.8887785011550625,0.9003253475303165,0.9377695625385088
alpha,0.8,10393,0.9591070913114597,425,0.04089290868854036,64,86,9968,0.979281320815798,0.8947057083703046,0.8696229709019485,0.8891978692249057,0.8947057083703046,0.9350850077279753
alpha,0.85,10393,0.9473684210526315,547,0.05263157894736842,56,54,9846,0.9817470664928292,0.8908606921029282,0.8695219376652557,0.8896640049434159,0.8908606921029282,0.9340983098154754
alpha,0.9,10393,0.929086885403637,737,0.07091311459636293,54,26,9656,0.9822368421052632,0.8831706595681751,0.8713108065456334,0.8916661266676656,0.8831706595681751,0.9300731973212896
alpha,0.95,10393,0.8817473299336092,1229,0.11825267006639084,41,6,9164,0.9861999326825984,0.8666075125702455,0.8722162099538906,0.8934057460081861,0.8666075125702455,0.9225440806045341
alpha,0.99,10393,0.6074280765900125,4080,0.3925719234099875,25,0,6313,0.9910586552217453,0.8195800059154097,0.8785128787720944,0.9029220336650957,0.8195800059154097,0.8971992876801036
beta,0.5,2288,1.0,0,0.0,44,35,2288,0.9081419624217119,0.925531914893617,0.891430504798635,0.9255861373366465,0.925531914893617,0.9167544783983139
beta,0.55,2288,0.9899475524475524,23,0.010052447552447552,39,32,2265,0.9170212765957447,0.9170212765957447,0.8890521065335122,0.9260291221770134,0.9170212765957447,0.9170212765957447
beta,0.6,2288,0.9816433566433567,42,0.018356643356643356,34,29,2246,0.9259259259259259,0.9042553191489362,0.8882740956257947,0.9291027934451744,0.9042553191489362,0.9149623250807319
beta,0.65,2288,0.9729020979020979,62,0.027097902097902096,27,27,2226,0.9401330376940134,0.902127659574468,0.8926433607695686,0.933938783219682,0.902127659574468,0.9207383279044518
beta,0.7,2288,0.9641608391608392,82,0.03583916083916084,21,24,2206,0.9524886877828054,0.8957446808510638,0.8945449477456121,0.940667717682573,0.8957446808510638,0.9232456140350876
beta,0.75,2288,0.9523601398601399,109,0.047639860139860137,16,22,2179,0.9625292740046838,0.874468085106383,0.8875037467788509,0.942797195301676,0.874468085106383,0.9163879598662207
beta,0.8,2288,0.9344405594405595,150,0.06555944055944056,14,17,2138,0.9655172413793104,0.8340425531914893,0.8672953548850036,0.9449987893399555,0.8340425531914893,0.8949771689497718
beta,0.85,2288,0.9156468531468531,193,0.08435314685314685,11,14,2095,0.9708994708994709,0.7808510638297872,0.8424003550443142,0.9544461077392733,0.7808510638297872,0.865566037735849
beta,0.9,2288,0.888548951048951,255,0.11145104895104894,5,13,2033,0.9853801169590644,0.7170212765957447,0.8069233591256753,0.9628290767014086,0.7170212765957447,0.8300492610837438
beta,0.95,2288,0.8256118881118881,399,0.1743881118881119,0,9,1889,1.0,0.5042553191489362,0.6608635852814951,0.9798529568090713,0.5042553191489362,0.6704384724186704
beta,0.99,2288,0.6984265734265734,690,0.30157342657342656,0,6,1598,1.0,0.04468085106382979,0.05524192145728572,0.998668691369528,0.04468085106382979,0.08553971486761712
