cohort,station,n_days,n_rpf,required_mwh,M7,M8,M9
alpha,alpha_A,1039,0,0.0,0.0,0.0,0.0
alpha,alpha_B,1055,27,29.6104685,0.0666666666666666,0.1935483870967741,0.782608695652174
alpha,alpha_C,1055,627,3752.316103,0.7747972551466,0.8641975308641975,0.9261410788381744
alpha,alpha_D,1035,0,0.0,0.0,0.0,0.0
alpha,alpha_E,1035,700,6326.578003500001,0.8317422434367542,0.8408903544929925,0.9533678756476685
alpha,alpha_F,1033,842,13356.8295205,0.9179966978536048,0.9141025641025642,0.9607843137254902
alpha,alpha_G,1037,650,5828.545406499999,0.810539523212045,0.8685121107266437,0.9424743892829
alpha,alpha_H,1039,0,0.0,0.0,0.0,0.0
alpha,alpha_I,1042,148,1199.690992,0.3314669652855543,0.908450704225352,0.9181494661921707
alpha,alpha_J,1055,387,1542.0867715000002,0.588597842835131,0.8632707774798928,0.9023383768913342
beta,beta_A,337,26,754.99691,0.1655172413793103,0.8679245283018868,0.96
beta,beta_B,231,125,4769.1721835,0.5316455696202531,0.1203007518796992,0.927038626609442
beta,beta_C,339,0,0.0,0.0,0.0,0.0
beta,beta_D,188,45,475.143817,0.326530612244898,0.6935483870967742,0.85
beta,beta_E,306,21,87.1145895,0.1350210970464135,0.8372093023255814,0.9767441860465116
beta,beta_F,286,164,1578.0256439999998,0.7494252873563219,0.6192468619246863,0.9515151515151516
beta,beta_G,283,85,2201.512978,0.4885057471264367,0.8505747126436781,0.888888888888889
beta,beta_H,335,4,30.1796275,0.029090909090909,0.0,0.4
