fold_id,cohort,held_out,n_train,n_train_rpf,cal_intercept,cal_slope,raw_threshold_correct,raw_threshold_keep
alpha_alpha_A,alpha,alpha_A,9356,3381,-0.0913729133029268,3.2025885227384814,0.3405735251983038,-0.2662194039997644
alpha_alpha_B,alpha,alpha_B,9342,3354,-0.0801626433385468,3.1400105594132213,0.3436215181029747,-0.2767397484411716
alpha_alpha_C,alpha,alpha_C,9342,2754,-0.0010913617438397,3.463291551697335,0.2775780754505166,-0.2767731414550465
alpha_alpha_D,alpha,alpha_D,9361,3381,-0.0839299469179349,3.147032795415094,0.3443446031630747,-0.2745172907020661
alpha_alpha_E,alpha,alpha_E,9362,2681,-0.1671589526045359,3.2554469069926744,0.3656333237801257,-0.2323505481979679
alpha_alpha_F,alpha,alpha_F,9364,2539,-0.2076068655889808,3.197249942919691,0.3908864477012184,-0.2214948300203378
alpha_alpha_G,alpha,alpha_G,9360,2731,0.0428378919888194,3.4663855510706054,0.2612137857411525,-0.2927745879565194
alpha_alpha_H,alpha,alpha_H,9356,3381,-0.0915128706481512,3.1849247666867524,0.3428134519003171,-0.2678223396708284
alpha_alpha_I,alpha,alpha_I,9353,3233,-0.0569473964970369,3.179366295103319,0.3289784058836673,-0.2822129082624838
alpha_alpha_J,alpha,alpha_J,9341,2994,-0.1073368665371887,3.211319321300811,0.3461811635213566,-0.2591321817286838
beta_beta_A,beta,beta_A,1954,444,-4.274195383769826,2.0584394420931145,11.03773855561961,4.284635578715956
beta_beta_B,beta,beta_B,2058,345,-5.193238151954853,2.28566356245713,13.052399340217788,5.695201475633645
beta_beta_C,beta,beta_C,1951,470,-4.550218570775238,2.146805172353253,11.356828043751698,4.611689170907651
beta_beta_D,beta,beta_D,2105,425,-4.450263771780001,2.123041972886491,11.124999338249552,4.457970942988493
beta_beta_E,beta,beta_E,1983,449,-4.350841688949829,2.092573488942517,10.990196589029862,4.334926818589621
beta_beta_F,beta,beta_F,2004,306,-4.370002466645964,2.075653436316142,11.348937875419804,4.458393509994726
beta_beta_G,beta,beta_G,2006,385,-4.9167393454053965,2.352670727018248,10.58831679417933,4.639026509569845
beta_beta_H,beta,beta_H,1955,466,-4.738646566664802,2.213133341550952,11.478387342151583,4.802555079995795
