cohort,target,applies,rule,metric,point,ci_low,ci_high
beta,0.9,both,E,energy_precision,0.9265132548363042,0.879278623493913,0.9541457847046937
beta,0.9,both,E,day_precision,0.9077568134171907,0.8333174904942966,0.9632137681159421
beta,0.9,both,E,day_recall,0.9212765957446809,0.8604595124684785,0.962791876178504
beta,0.9,both,L,energy_precision,0.9255660657184797,0.8777082716479875,0.9517253121290147
beta,0.9,both,L,day_precision,0.9079497907949791,0.8300514304082289,0.9647302904564315
beta,0.9,both,L,day_recall,0.9234042553191489,0.8542464794064204,0.956526293417537
beta,0.9,day,E,energy_precision,0.9265132548363042,0.8801650972183013,0.9539530649660788
beta,0.9,day,E,day_precision,0.9077568134171907,0.8347076368607469,0.9636433926897844
beta,0.9,day,E,day_recall,0.9212765957446809,0.8590599593495936,0.9635277160142717
beta,0.9,day,L,energy_precision,0.9255660657184797,0.8803649078743165,0.9528531550161008
beta,0.9,day,L,day_precision,0.9079497907949791,0.8344210342866578,0.9655185319017139
beta,0.9,day,L,day_recall,0.9234042553191489,0.8691825858250277,0.9581579079834893
beta,0.9,energy,E,energy_precision,0.9255861373366465,0.880064440274951,0.9528610373347023
beta,0.9,energy,E,day_precision,0.9081419624217119,0.8333333333333334,0.960142260674931
beta,0.9,energy,E,day_recall,0.925531914893617,0.8654508348794063,0.9628378378378378
beta,0.9,energy,L,energy_precision,0.9255861373366465,0.8786532126993003,0.9540686329130217
beta,0.9,energy,L,day_precision,0.9081419624217119,0.833308383233533,0.9649234228758964
beta,0.9,energy,L,day_recall,0.925531914893617,0.8666584158415842,0.966796875
beta,0.925,both,E,energy_precision,0.9286825258177178,0.8842526942994843,0.9562898496945879
beta,0.925,both,E,day_precision,0.9282608695652174,0.8637873754152824,0.9740276562815423
beta,0.925,both,E,day_recall,0.9085106382978724,0.845406314699793,0.9450919226926044
beta,0.925,both,L,energy_precision,0.9381492101799256,0.9108944752104761,0.959388943714096
beta,0.925,both,L,day_precision,0.9444444444444444,0.903841743119266,0.9779876454819427
beta,0.925,both,L,day_recall,0.9042553191489362,0.8499811557788944,0.9404812348668281
beta,0.925,day,E,energy_precision,0.9286825258177178,0.8798321894179573,0.9590529239103663
beta,0.925,day,E,day_precision,0.9282608695652174,0.861385098593893,0.9763027577120531
beta,0.925,day,E,day_recall,0.9085106382978724,0.8461111111111111,0.9484547143931684
beta,0.925,day,L,energy_precision,0.9381492101799256,0.9069214110340674,0.9602834316212154
beta,0.925,day,L,day_precision,0.9444444444444444,0.9022721466436737,0.9838349805330938
beta,0.925,day,L,day_recall,0.9042553191489362,0.8447767655473574,0.9413015695514997
beta,0.925,energy,E,energy_precision,0.926768373076571,0.8773024505040283,0.9550535934235374
beta,0.925,energy,E,day_precision,0.9125799573560768,0.8319762897342367,0.9690080355999487
beta,0.925,energy,E,day_recall,0.9106382978723404,0.8502667338345087,0.9488014158545008
beta,0.925,energy,L,energy_precision,0.9255861373366465,0.877933352786525,0.9532424513357434
beta,0.925,energy,L,day_precision,0.9081419624217119,0.8352332007073386,0.964445233866193
beta,0.925,energy,L,day_recall,0.925531914893617,0.8737686706497385,0.9642942176870748
beta,0.95,both,E,energy_precision,0.9402061539552983,0.9101190681014572,0.9744346944471651
beta,0.95,both,E,day_precision,0.9597989949748744,0.9143927154678742,1.0
beta,0.95,both,E,day_recall,0.8127659574468085,0.7357357357357357,0.8648073348138537
beta,0.95,both,L,energy_precision,0.9520457811548022,0.9441185304632326,0.9729640662181261
beta,0.95,both,L,day_precision,0.9715762273901809,0.9459421571103814,1.0
beta,0.95,both,L,day_recall,0.8,0.721527701052063,0.846637366779754
beta,0.95,day,E,energy_precision,0.9328632932772749,0.8901325359143052,0.9654060035302174
beta,0.95,day,E,day_precision,0.9393258426966292,0.8849973021582734,0.9930428086124024
beta,0.95,day,E,day_recall,0.8893617021276595,0.8202191011235955,0.9421493431558824
beta,0.95,day,L,energy_precision,0.9520457811548022,0.9438464567005029,0.9756795139024815
beta,0.95,day,L,day_precision,0.9715762273901809,0.9458778280542987,1.0
beta,0.95,day,L,day_recall,0.8,0.7185185185185186,0.8489329245605941
beta,0.95,energy,E,energy_precision,0.9402061539552983,0.9060131301266263,0.9751137592213006
beta,0.95,energy,E,day_precision,0.9597989949748744,0.9083309925093633,1.0
beta,0.95,energy,E,day_recall,0.8127659574468085,0.738767660910518,0.8676619634340222
beta,0.95,energy,L,energy_precision,0.9421181408517968,0.9140735494670982,0.9709452679254424
beta,0.95,energy,L,day_precision,0.9623529411764706,0.9163111612439893,0.998062015503876
beta,0.95,energy,L,day_recall,0.8702127659574468,0.8122395273899033,0.900004159733777
beta,0.975,both,E,energy_precision,0.9693119891392922,0.9568839727530797,0.9937488701857642
beta,0.975,both,E,day_precision,1.0,1.0,1.0
beta,0.975,both,E,day_recall,0.451063829787234,0.2201300269021177,0.5563291540020263
beta,0.975,both,L,energy_precision,0.9798774175969076,0.9702076022909902,0.9918193732099799
beta,0.975,both,L,day_precision,1.0,1.0,1.0
beta,0.975,both,L,day_recall,0.4957446808510638,0.38122570362307573,0.5508494193345888
beta,0.975,day,E,energy_precision,0.9471109124212054,0.9139750485238392,0.9769663268261685
beta,0.975,day,E,day_precision,0.964769647696477,0.9111111111111111,1.0
beta,0.975,day,E,day_recall,0.7574468085106383,0.6485714285714286,0.8357549600975394
beta,0.975,day,L,energy_precision,0.9798774175969076,0.9693971017647504,0.9922966212086128
beta,0.975,day,L,day_precision,1.0,1.0,1.0
beta,0.975,day,L,day_recall,0.4957446808510638,0.37733866950304956,0.5534530127183619
beta,0.975,energy,E,energy_precision,0.9693119891392922,0.9576286346489444,0.994201590467988
beta,0.975,energy,E,day_precision,1.0,1.0,1.0
beta,0.975,energy,E,day_recall,0.451063829787234,0.20843553925591143,0.5602959327612554
beta,0.975,energy,L,energy_precision,0.9777138940699429,0.9658495076708594,0.992164923538399
beta,0.975,energy,L,day_precision,1.0,1.0,1.0
beta,0.975,energy,L,day_recall,0.5,0.36520637354131935,0.5522759741358881
beta,0.99,both,E,energy_precision,0.9758936366612315,0.9714053329459715,0.9989490426467033
beta,0.99,both,E,day_precision,1.0,1.0,1.0
beta,0.99,both,E,day_recall,0.14893617021276595,0.0274307596238613,0.2960886691864449
beta,0.99,both,L,energy_precision,0.998668691369528,0.9980264262681089,0.9989490426467033
beta,0.99,both,L,day_precision,1.0,1.0,1.0
beta,0.99,both,L,day_recall,0.04468085106382979,0.0,0.09534277637908554
beta,0.99,day,E,energy_precision,0.9621242568295737,0.9520411014798769,0.9882169665575021
beta,0.99,day,E,day_precision,0.9828178694158075,0.9514503907174995,1.0
beta,0.99,day,E,day_recall,0.6085106382978723,0.5029725609756097,0.702211792702274
beta,0.99,day,L,energy_precision,0.998668691369528,0.9980264262681089,0.9989490426467033
beta,0.99,day,L,day_precision,1.0,1.0,1.0
beta,0.99,day,L,day_recall,0.04468085106382979,0.0,0.09534404350642339
beta,0.99,energy,E,energy_precision,0.9758936366612315,0.9714053329459715,0.9989490426467033
beta,0.99,energy,E,day_precision,1.0,1.0,1.0
beta,0.99,energy,E,day_recall,0.14893617021276595,0.029005209376878383,0.3006324060845449
beta,0.99,energy,L,energy_precision,0.998668691369528,0.9980264262681089,0.9989490426467033
beta,0.99,energy,L,day_precision,1.0,1.0,1.0
beta,0.99,energy,L,day_recall,0.04468085106382979,0.0,0.09183966690124326
alpha,0.9,both,E,energy_precision,0.9037393842442876,0.8713475526315158,0.9161136769949579
alpha,0.9,both,E,day_precision,0.9892241379310345,0.981665385774563,0.9956621902107654
alpha,0.9,both,E,day_recall,0.8145519077196096,0.783829186714966,0.8356452960833178
alpha,0.9,both,L,energy_precision,0.8860446178641213,0.8408922568651135,0.8983514379392675
alpha,0.9,both,L,day_precision,0.9735349716446124,0.9605526046160483,0.9833997728431692
