variant,held_out,cohort,n_train,cal_intercept,cal_slope,r_at_c
within (frozen),alpha_A,alpha,9356,-0.0913729133029268,3.2025885227384814,0.34057352519830386
within (frozen),alpha_B,alpha,9342,-0.08016264333854684,3.1400105594132213,0.34362151810297475
within (frozen),alpha_C,alpha,9342,-0.0010913617438397909,3.463291551697335,0.27757807545051666
within (frozen),alpha_D,alpha,9361,-0.08392994691793498,3.147032795415094,0.3443446031630747
within (frozen),alpha_E,alpha,9362,-0.1671589526045359,3.2554469069926744,0.3656333237801257
within (frozen),alpha_F,alpha,9364,-0.20760686558898084,3.197249942919691,0.3908864477012184
within (frozen),alpha_G,alpha,9360,0.04283789198881941,3.4663855510706054,0.26121378574115256
within (frozen),alpha_H,alpha,9356,-0.09151287064815129,3.1849247666867524,0.3428134519003171
within (frozen),alpha_I,alpha,9353,-0.056947396497036964,3.179366295103319,0.32897840588366734
within (frozen),alpha_J,alpha,9341,-0.1073368665371887,3.211319321300811,0.3461811635213566
within (frozen),beta_A,beta,1954,-4.274195383769826,2.0584394420931145,11.03773855561961
within (frozen),beta_B,beta,2058,-5.193238151954853,2.28566356245713,13.052399340217788
within (frozen),beta_C,beta,1951,-4.550218570775238,2.1468051723532535,11.356828043751698
within (frozen),beta_D,beta,2105,-4.450263771780001,2.123041972886491,11.124999338249552
within (frozen),beta_E,beta,1983,-4.350841688949829,2.092573488942517,10.990196589029862
within (frozen),beta_F,beta,2004,-4.370002466645964,2.075653436316142,11.348937875419804
within (frozen),beta_G,beta,2006,-4.9167393454053965,2.3526707270182476,10.58831679417933
within (frozen),beta_H,beta,1955,-4.738646566664802,2.213133341550952,11.478387342151583
pooled 17,alpha_A,alpha,11644,-1.2502709868388695,2.0159406459922597,1.830607552026577
pooled 17,alpha_B,alpha,11630,-1.2383701864949859,1.9970705579179164,1.841589915599584
pooled 17,alpha_C,alpha,11630,-1.442463164067887,2.0114752904049884,2.1216105456112446
pooled 17,alpha_D,alpha,11649,-1.2278390673181256,1.9999532556389235,1.8224144728148506
pooled 17,alpha_E,alpha,11650,-1.4383841188639905,1.9901039775953426,2.1535345361264073
pooled 17,alpha_F,alpha,11652,-1.4433958386991799,1.9878269189650102,2.1656573890119546
pooled 17,alpha_G,alpha,11648,-1.3928093962359032,1.998027103798799,2.0684102514205787
pooled 17,alpha_H,alpha,11644,-1.243406618953173,2.0101364058020086,1.8294459034253854
pooled 17,alpha_I,alpha,11641,-1.26343595983551,1.9977373266114822,1.8764653683550812
pooled 17,alpha_J,alpha,11629,-1.370550687992963,2.0001173112056283,2.0308988733045177
pooled 17,beta_A,beta,12347,-1.145507912589762,2.103004068339114,1.5795103149542058
pooled 17,beta_B,beta,12451,-1.260486042148717,2.0436054595507414,1.8050027441714511
pooled 17,beta_C,beta,12344,-1.2452513370027287,2.022311300099629,1.814350470447338
pooled 17,beta_D,beta,12498,-1.1481290218089806,2.152228752786227,1.527282011786951
pooled 17,beta_E,beta,12376,-1.198800259353395,2.0832637015479416,1.6702174858224028
pooled 17,beta_F,beta,12397,-1.1717720489294148,2.1518697591710025,1.555598129007397
pooled 17,beta_G,beta,12399,-1.1867756558665095,2.1407078965819264,1.586194080472528
pooled 17,beta_H,beta,12348,-1.241592633296165,2.028550987222075,1.8003520092318435
"pooled 17, cohort-balanced",alpha_A,alpha,11644,-1.2250011342592377,0.61326043965213,28.345815607792108
"pooled 17, cohort-balanced",alpha_B,alpha,11630,-1.2210942703985257,0.6129300024448688,28.21252703714999
"pooled 17, cohort-balanced",alpha_C,alpha,11630,-1.3347616524232515,0.6041371079779656,36.03492625317489
"pooled 17, cohort-balanced",alpha_D,alpha,11649,-1.21726797143046,0.6126892478181888,28.069182008982185
"pooled 17, cohort-balanced",alpha_E,alpha,11650,-1.3459892338334267,0.6001121723213894,37.659603291759666
"pooled 17, cohort-balanced",alpha_F,alpha,11652,-1.3635601880894095,0.5946086149976845,40.18909717556521
"pooled 17, cohort-balanced",alpha_G,alpha,11648,-1.3345694448176628,0.6012393977261515,36.67321342845534
"pooled 17, cohort-balanced",alpha_H,alpha,11644,-1.2217874444648438,0.613018266496789,28.23137145767786
"pooled 17, cohort-balanced",alpha_I,alpha,11641,-1.24099214595962,0.6109233804458781,29.51602332642074
"pooled 17, cohort-balanced",alpha_J,alpha,11629,-1.2879993968439607,0.6085485224814816,32.40937278063487
"pooled 17, cohort-balanced",beta_A,beta,12347,-1.239388087301837,0.6130003696457487,29.085800820307977
"pooled 17, cohort-balanced",beta_B,beta,12451,-1.3426367441297289,0.5958381660663318,38.463843972601936
"pooled 17, cohort-balanced",beta_C,beta,12344,-1.243038122442346,0.6112506267203013,29.562356218758342
"pooled 17, cohort-balanced",beta_D,beta,12498,-1.2718957420933932,0.6109871453880477,31.087769339377438
"pooled 17, cohort-balanced",beta_E,beta,12376,-1.2512962198857072,0.6115759198465913,29.921541921326238
"pooled 17, cohort-balanced",beta_F,beta,12397,-1.338589161128541,0.5952454606823405,38.34011577881356
"pooled 17, cohort-balanced",beta_G,beta,12399,-1.291358706934277,0.6078569297278524,32.728904276307176
"pooled 17, cohort-balanced",beta_H,beta,12348,-1.246677379071819,0.6116833714357988,29.670438362566486
