variant,station,energy_iou,energy_precision,sure_day_recall,fp
within (frozen),alpha_A,0.0,,,0
within (frozen),alpha_B,0.502355957166528,0.5180762281377985,0.6666666666666666,1
within (frozen),alpha_C,0.8453711114562685,0.8696079505831462,0.8899521531100478,20
within (frozen),alpha_D,0.0,,,0
within (frozen),alpha_E,0.8946390419315001,0.9124335456708028,0.92,7
within (frozen),alpha_F,0.8869308096649166,0.9021213014508018,0.9311163895486936,6
within (frozen),alpha_G,0.863405803003758,0.8891068410932483,0.92,21
within (frozen),alpha_H,0.0,,,0
within (frozen),alpha_I,0.7708967353965451,0.7841279840919996,0.8716216216216216,4
within (frozen),alpha_J,0.8001518754502738,0.8288292423981046,0.8475452196382429,12
within (frozen),beta_A,0.95574060191616,0.9884132583433306,0.9230769230769231,0
within (frozen),beta_B,0.8890926088713529,0.9478660044367611,0.864,0
within (frozen),beta_C,0.0,,,0
within (frozen),beta_D,0.9015861980944988,0.9662549108355374,0.7555555555555555,1
within (frozen),beta_E,0.899125056861397,0.9113346090655575,1.0,1
within (frozen),beta_F,0.930078607694169,0.9496679852364251,0.9573170731707317,9
within (frozen),beta_G,0.8700366556153777,0.9015351431655869,0.8941176470588236,10
within (frozen),beta_H,0.17344536429581756,0.8178171899595065,0.25,0
pooled 17,alpha_A,0.0,,,0
pooled 17,alpha_B,0.5319675982833838,0.5520941028346895,0.5925925925925926,0
pooled 17,alpha_C,0.8515315047801748,0.8793290389295848,0.8165869218500797,12
pooled 17,alpha_D,0.0,,,0
pooled 17,alpha_E,0.8968552806308165,0.9162340862471913,0.8671428571428571,4
pooled 17,alpha_F,0.8907467764913145,0.9077996547800732,0.8859857482185273,2
pooled 17,alpha_G,0.8715785668533282,0.9029069051963653,0.8707692307692307,8
pooled 17,alpha_H,0.0,,,0
pooled 17,alpha_I,0.779281013785349,0.7947775262434922,0.8175675675675675,2
pooled 17,alpha_J,0.818823183501496,0.8511371955746959,0.7829457364341085,5
pooled 17,beta_A,0.9338179957163626,0.9432523246183293,0.9615384615384616,26
pooled 17,beta_B,0.9237433413822868,0.9407887858260613,0.968,3
pooled 17,beta_C,0.0,,,0
pooled 17,beta_D,0.7529890165360232,0.7575364521511632,0.9555555555555556,39
pooled 17,beta_E,0.7416832807987697,0.7499715731852735,1.0,19
pooled 17,beta_F,0.9140572080863504,0.9254226262822631,1.0,34
pooled 17,beta_G,0.8028892741456692,0.8114619974009876,0.9647058823529412,27
pooled 17,beta_H,0.4446663149673847,0.5460569279258531,0.75,2
"pooled 17, cohort-balanced",alpha_A,0.0,,,0
"pooled 17, cohort-balanced",alpha_B,0.0,,0.0,0
"pooled 17, cohort-balanced",alpha_C,0.6270101477531947,0.9884745810961456,0.24082934609250398,0
"pooled 17, cohort-balanced",alpha_D,0.0,,,0
"pooled 17, cohort-balanced",alpha_E,0.6207603702322794,0.9884370035273499,0.25857142857142856,0
"pooled 17, cohort-balanced",alpha_F,0.6419843918736519,0.9828976112980777,0.2992874109263658,0
"pooled 17, cohort-balanced",alpha_G,0.5732971662767425,0.9870066872233649,0.2630769230769231,0
"pooled 17, cohort-balanced",alpha_H,0.0,,,0
"pooled 17, cohort-balanced",alpha_I,0.6797451132228791,0.9358902686022998,0.3108108108108108,0
"pooled 17, cohort-balanced",alpha_J,0.6837897657302636,0.9918481032110542,0.2739018087855297,0
"pooled 17, cohort-balanced",beta_A,0.5974207231393075,0.9902528515266384,0.5,0
"pooled 17, cohort-balanced",beta_B,0.5063528127734169,0.9714472834362493,0.352,0
"pooled 17, cohort-balanced",beta_C,0.0,,,0
"pooled 17, cohort-balanced",beta_D,0.5333272293828493,0.9740838006738842,0.3333333333333333,0
"pooled 17, cohort-balanced",beta_E,0.41434576660256706,0.9625650289262844,0.2857142857142857,0
"pooled 17, cohort-balanced",beta_F,0.6971017956347032,0.9937288883604714,0.4878048780487805,0
"pooled 17, cohort-balanced",beta_G,0.6290313623981716,0.9937370257634658,0.5058823529411764,0
"pooled 17, cohort-balanced",beta_H,0.0,,0.0,0
