candidate,group,n_days,n_rpf,energy_iou,energy_precision,day_precision,day_recall,day_f1,sure_day_recall,rate_uncertain,tp,fp,fn
R0,combined,12730,3851,0.8749280329595823,0.900083107767661,0.9742441209406495,0.9036613866528175,0.9376262966455611,0.9036613866528175,0.029143754909662214,3480,92,371
R0,alpha,10425,3381,0.8692058067623027,0.8885742368962344,0.9773162939297124,0.9047619047619048,0.9396406082015051,0.9047619047619048,0.026091127098321343,3059,71,322
R0,beta,2305,470,0.8945449477456121,0.940667717682573,0.9524886877828054,0.8957446808510638,0.9232456140350876,0.8957446808510638,0.04295010845986985,421,21,49
B1,combined,12730,3851,0.876076325986582,0.8960771992580787,0.9479077711357814,0.8647104648143339,0.9043997827267789,0.8647104648143339,0.027572663000785546,3330,183,521
B1,alpha,10425,3381,0.8749272454164037,0.8970597079070076,0.9886363636363636,0.8491570541259982,0.9136038186157517,0.8491570541259982,0.024556354916067145,2871,33,510
B1,beta,2305,470,0.8797751321428238,0.8929464247874772,0.7536945812807881,0.9765957446808511,0.8507877664504171,0.9765957446808511,0.04121475054229935,459,150,11
B2,combined,12730,3851,0.6130585525670753,0.983456161732084,1.0,0.28771747598026487,0.4468642871546683,0.28771747598026487,0.20361351139041634,1108,0,2743
B2,alpha,10425,3381,0.6264798435168787,0.9836818449607607,1.0,0.26826382727003845,0.4230410447761194,0.26826382727003845,0.20498800959232613,907,0,2474
B2,beta,2305,470,0.5695965308041021,0.9826531899210599,1.0,0.4276595744680851,0.5991058122205664,0.4276595744680851,0.19739696312364424,201,0,269
B3,combined,12730,3851,0.8742659654753792,0.8985257385525706,0.973536036036036,0.8979485847831732,0.9342158584357693,0.8979485847831732,0.02694422623723488,3458,94,393
B3,alpha,10425,3381,0.8695106516413884,0.8890326566138245,0.9787096774193549,0.8973676427092576,0.9362752661626292,0.8973676427092576,0.025227817745803356,3034,66,347
B3,beta,2305,470,0.890402993187213,0.9314866180465324,0.9380530973451328,0.902127659574468,0.9197396963123644,0.902127659574468,0.03470715835140998,424,28,46
C1,combined,12730,3851,0.8824148723922777,0.9040790970634851,0.9352004393190555,0.8844455985458323,0.9091151741625517,0.8844455985458323,0.0403770620581304,3406,236,445
C1,alpha,10425,3381,0.8819460999652328,0.9052157079244959,0.9826666666666667,0.8719313812481514,0.9239931045290707,0.8719313812481514,0.037697841726618705,2948,52,433
C1,beta,2305,470,0.8839233868499063,0.900448871457614,0.7133956386292835,0.9744680851063829,0.8237410071942445,0.9744680851063829,0.052494577006507594,458,184,12
C2,combined,12730,3851,0.880784116426168,0.9021667787464187,0.9450455580865603,0.8618540638795118,0.9015347005296754,0.8618540638795118,0.027808326787117046,3319,193,532
C2,alpha,10425,3381,0.8801452574761344,0.9036667313312652,0.9882556131260795,0.8461993493049393,0.9117272147864882,0.8461993493049393,0.02541966426858513,2861,34,520
C2,beta,2305,470,0.882835989774651,0.8973972675718759,0.7423014586709886,0.9744680851063829,0.8426862925482981,0.9744680851063829,0.0386117136659436,458,159,12
C3,combined,12730,3851,0.8725806788041774,0.8915072353164809,0.9339364035087719,0.8847052713580889,0.9086544872649688,0.8847052713580889,0.03472113118617439,3407,241,444
C3,alpha,10425,3381,0.8721152990936453,0.8933075666546959,0.9852695011717443,0.870452528837622,0.9243090452261308,0.870452528837622,0.0347242206235012,2943,44,438
C3,beta,2305,470,0.8740728524574897,0.8857960877437977,0.7019667170953101,0.9872340425531915,0.8205128205128206,0.9872340425531915,0.03470715835140998,464,197,6
C4,combined,12730,3851,0.8669591216300689,0.8841165730085846,0.9160442956476951,0.9236561931965723,0.9198344970261184,0.9236561931965723,0.006048703849175177,3557,326,294
C4,alpha,10425,3381,0.8668848032947342,0.8858077847039028,0.9729474677571563,0.9148181011535049,0.9429878048780489,0.9148181011535049,0.005371702637889688,3093,86,288
C4,beta,2305,470,0.8671975589694103,0.878735876766972,0.6590909090909091,0.9872340425531915,0.7904599659284497,0.9872340425531915,0.00911062906724512,464,240,6
D1,combined,12730,3851,0.8792372029022472,0.9071812657477253,0.9547146401985112,0.7992729161256816,0.8701060070671377,0.7992729161256816,0.05161036920659859,3078,146,773
D1,alpha,10425,3381,0.8779012010004124,0.9097057674987438,0.9913240286684271,0.7772848269742679,0.8713527851458887,0.7772848269742679,0.051798561151079135,2628,23,753
D1,beta,2305,470,0.883505995441561,0.8992582001867062,0.7853403141361257,0.9574468085106383,0.862895493767977,0.9574468085106383,0.050759219088937095,450,123,20
N,combined,12730,3851,0.8805691618226125,0.9010714752440367,0.9319672131147541,0.8857439626071151,0.9082678737851152,0.8857439626071151,0.03739198743126473,3411,249,440
N,alpha,10425,3381,0.8819460999652328,0.9052157079244959,0.9826666666666667,0.8719313812481514,0.9239931045290707,0.8719313812481514,0.037697841726618705,2948,52,433
N,beta,2305,470,0.8762004847777323,0.888087081776507,0.7015151515151515,0.9851063829787234,0.8194690265486726,0.9851063829787234,0.03600867678958785,463,197,7
