candidate,cohort,station,n_days,n_rpf,energy_iou,energy_precision,sure_day_recall,fp,fn,rate_uncertain
R0,alpha,alpha_A,1039,0,0.0,,,0,0,0.0019249278152069298
R0,alpha,alpha_B,1055,27,0.502355957166528,0.5180762281377985,0.6666666666666666,1,9,0.012322274881516588
R0,alpha,alpha_C,1055,627,0.8453711114562685,0.8696079505831462,0.8899521531100478,20,69,0.04928909952606635
R0,alpha,alpha_D,1035,0,0.0,,,0,0,0.002898550724637681
R0,alpha,alpha_E,1035,700,0.8946390419315001,0.9124335456708028,0.92,7,56,0.034782608695652174
R0,alpha,alpha_F,1033,842,0.8869308096649166,0.9021213014508018,0.9311163895486936,6,58,0.0484027105517909
R0,alpha,alpha_G,1037,650,0.863405803003758,0.8891068410932483,0.92,21,52,0.04243008678881389
R0,alpha,alpha_H,1039,0,0.0,,,0,0,0.0019249278152069298
R0,alpha,alpha_I,1042,148,0.7708967353965451,0.7841279840919996,0.8716216216216216,4,19,0.02111324376199616
R0,alpha,alpha_J,1055,387,0.8001518754502738,0.8288292423981046,0.8475452196382429,12,59,0.04549763033175355
R0,beta,beta_A,337,26,0.95574060191616,0.9884132583433306,0.9230769230769231,0,2,0.03560830860534125
R0,beta,beta_B,231,125,0.8890926088713529,0.9478660044367611,0.864,0,17,0.047619047619047616
R0,beta,beta_C,339,0,0.0,,,0,0,0.0058997050147492625
R0,beta,beta_D,188,45,0.9015861980944988,0.9662549108355374,0.7555555555555555,1,11,0.1595744680851064
R0,beta,beta_E,306,21,0.899125056861397,0.9113346090655575,1.0,1,0,0.029411764705882353
R0,beta,beta_F,286,164,0.930078607694169,0.9496679852364251,0.9573170731707317,9,7,0.055944055944055944
R0,beta,beta_G,283,85,0.8700366556153777,0.9015351431655869,0.8941176470588236,10,9,0.05653710247349823
R0,beta,beta_H,335,4,0.17344536429581756,0.8178171899595065,0.25,0,3,0.008955223880597015
B1,alpha,alpha_A,1039,0,0.0,,,0,0,0.0019249278152069298
B1,alpha,alpha_B,1055,27,0.5319675982833838,0.5520941028346895,0.5925925925925926,0,11,0.006635071090047393
B1,alpha,alpha_C,1055,627,0.8515315047801748,0.8793290389295848,0.8165869218500797,12,115,0.05023696682464455
B1,alpha,alpha_D,1035,0,0.0,,,0,0,0.002898550724637681
B1,alpha,alpha_E,1035,700,0.8968552806308165,0.9162340862471913,0.8671428571428571,4,93,0.04251207729468599
B1,alpha,alpha_F,1033,842,0.8907467764913145,0.9077996547800732,0.8859857482185273,2,96,0.044530493707647625
B1,alpha,alpha_G,1037,650,0.8715785668533282,0.9029069051963653,0.8707692307692307,8,84,0.04725168756027001
B1,alpha,alpha_H,1039,0,0.0,,,0,0,0.0019249278152069298
B1,alpha,alpha_I,1042,148,0.779281013785349,0.7947775262434922,0.8175675675675675,2,27,0.012476007677543186
B1,alpha,alpha_J,1055,387,0.818823183501496,0.8511371955746959,0.7829457364341085,5,84,0.035071090047393366
B1,beta,beta_A,337,26,0.9338179957163626,0.9432523246183293,0.9615384615384616,26,1,0.10979228486646884
B1,beta,beta_B,231,125,0.9237433413822868,0.9407887858260613,0.968,3,4,0.021645021645021644
B1,beta,beta_C,339,0,0.0,,,0,0,0.008849557522123894
B1,beta,beta_D,188,45,0.7529890165360232,0.7575364521511632,0.9555555555555556,39,2,0.12234042553191489
B1,beta,beta_E,306,21,0.7416832807987697,0.7499715731852735,1.0,19,0,0.026143790849673203
B1,beta,beta_F,286,164,0.9140572080863504,0.9254226262822631,1.0,34,0,0.024475524475524476
B1,beta,beta_G,283,85,0.8028892741456692,0.8114619974009876,0.9647058823529412,27,3,0.028268551236749116
B1,beta,beta_H,335,4,0.4446663149673847,0.5460569279258531,0.75,2,1,0.011940298507462687
B2,alpha,alpha_A,1039,0,0.0,,,0,0,0.0019249278152069298
B2,alpha,alpha_B,1055,27,0.0,,0.0,0,27,0.02085308056872038
B2,alpha,alpha_C,1055,627,0.6270101477531947,0.9884745810961456,0.24082934609250398,0,476,0.37725118483412323
B2,alpha,alpha_D,1035,0,0.0,,,0,0,0.002898550724637681
B2,alpha,alpha_E,1035,700,0.6207603702322794,0.9884370035273499,0.25857142857142856,0,519,0.44154589371980674
B2,alpha,alpha_F,1033,842,0.6419843918736519,0.9828976112980777,0.2992874109263658,0,590,0.4995159728944821
B2,alpha,alpha_G,1037,650,0.5732971662767425,0.9870066872233649,0.2630769230769231,0,479,0.4156219864995178
B2,alpha,alpha_H,1039,0,0.0,,,0,0,0.0019249278152069298
B2,alpha,alpha_I,1042,148,0.6797451132228791,0.9358902686022998,0.3108108108108108,0,102,0.08253358925143954
B2,alpha,alpha_J,1055,387,0.6837897657302636,0.9918481032110542,0.2739018087855297,0,281,0.20853080568720378
B2,beta,beta_A,337,26,0.5974207231393075,0.9902528515266384,0.5,0,13,0.16023738872403562
B2,beta,beta_B,231,125,0.5063528127734169,0.9714472834362493,0.352,0,81,0.354978354978355
B2,beta,beta_C,339,0,0.0,,,0,0,0.0058997050147492625
B2,beta,beta_D,188,45,0.5333272293828493,0.9740838006738842,0.3333333333333333,0,30,0.4148936170212766
B2,beta,beta_E,306,21,0.41434576660256706,0.9625650289262844,0.2857142857142857,0,15,0.12745098039215685
B2,beta,beta_F,286,164,0.6971017956347032,0.9937288883604714,0.4878048780487805,0,84,0.4230769230769231
B2,beta,beta_G,283,85,0.6290313623981716,0.9937370257634658,0.5058823529411764,0,42,0.2508833922261484
B2,beta,beta_H,335,4,0.0,,0.0,0,4,0.023880597014925373
B3,alpha,alpha_A,1039,0,0.0,,,0,0,0.0019249278152069298
B3,alpha,alpha_B,1055,27,0.514497366226993,0.5309991851165901,0.6666666666666666,0,9,0.013270142180094787
B3,alpha,alpha_C,1055,627,0.8460502900802865,0.8708835583656361,0.8755980861244019,18,78,0.05308056872037915
B3,alpha,alpha_D,1035,0,0.0,,,0,0,0.002898550724637681
B3,alpha,alpha_E,1035,700,0.8946077916818038,0.9124676633540338,0.9128571428571428,7,61,0.03188405797101449
B3,alpha,alpha_F,1033,842,0.8872779690029193,0.9025255484286927,0.9275534441805225,6,61,0.041626331074540175
B3,alpha,alpha_G,1037,650,0.863522018294167,0.8892732545062577,0.916923076923077,20,54,0.041465766634522665
B3,alpha,alpha_H,1039,0,0.0,,,0,0,0.0019249278152069298
B3,alpha,alpha_I,1042,148,0.7708967353965451,0.7841279840919996,0.8716216216216216,4,19,0.019193857965451054
B3,alpha,alpha_J,1055,387,0.8006899994855927,0.8300470616695257,0.8320413436692506,11,65,0.04454976303317536
B3,beta,beta_A,337,26,0.95574060191616,0.9884132583433306,0.9230769230769231,0,2,0.032640949554896145
