candidate,group,ece,brier,calibration_in_the_large,log_loss,n_days
R0,combined,0.010619732011718931,0.02462069533455537,0.00023068079902088812,0.09086147095346982,12681
R0,alpha,0.021849269039601164,0.024186700425044536,0.0001940997997908478,0.08921558226259313,10393
R0,beta,0.008789429311386154,0.026592071687066798,0.0003968461508553345,0.09833774768611032,2288
B1,combined,0.028686246335390717,0.03888116802265381,0.0018702824907802507,0.13562984009342913,12681
B1,alpha,0.04309256103305219,0.03261004854737957,0.023827721079878073,0.11099402853612579,10393
B1,beta,0.09806269526103972,0.0673670704293519,0.09786907907237252,0.24753542991644198,2288
B2,combined,0.17173123817668662,0.07758134801418237,0.04266766851558673,0.2840155011206027,12681
B2,alpha,0.19194734736215183,0.0825765126206597,0.0651930981186582,0.2941927718604789,10393
B2,beta,0.15923358205996865,0.05489133675757444,0.05965173264906448,0.23778631633059705,2288
B3,combined,0.012395227849198361,0.02528775703688029,2.48094226779072e-05,0.09197452081656071,12681
B3,alpha,0.024143088423257977,0.024951387637218353,0.0007195865743670482,0.08967547567832647,10393
B3,beta,0.009772861791041476,0.02681567975134119,0.003406150155758736,0.10241769219840872,2288
C1,combined,0.01434283793527889,0.036065071842268745,0.0024550642054381733,0.12777499699509576,12681
C1,alpha,0.031022855920579833,0.026046126561729,0.025225540005036462,0.09285131172855157,10393
C1,beta,0.10097743360278952,0.08157507984080438,0.10097743360278955,0.28641217399474334,2288
C2,combined,0.02475083867249021,0.03872700765208419,0.0020259122959276343,0.13391030410290455,12681
C2,alpha,0.039214794971122596,0.03180289727290756,0.02408082904158343,0.10687939663842001,10393
C2,beta,0.09835069012356974,0.07017905274420949,0.0981562335684083,0.25669536585045155,2288
C3,combined,0.019063411682881472,0.03584810212738107,0.0022260042888871956,0.1215679590034723,12681
C3,alpha,0.030748440774589856,0.026109614000448526,0.024901656540579464,0.09030365608507916,10393
C3,beta,0.10077576749950354,0.08008416292423852,0.10077576749950351,0.263582775537939,2288
C4,combined,0.03475021987484064,0.040087962882079275,0.002233190216394121,0.14090847498853362,12681
C4,alpha,0.039156279011984874,0.02964482489493008,0.025815968207433315,0.11076085775258009,10393
C4,beta,0.10978673175870107,0.08752482175464991,0.10488910508993071,0.27785086394538033,2288
D1,combined,0.02977433872752942,0.04982832033030827,0.00849103681598079,0.18646946834494504,12681
D1,alpha,0.04275661450061269,0.04703646426965624,0.029256080022561193,0.16971263567626355,10393
D1,beta,0.08583199379852563,0.06251003363378568,0.08583199379852563,0.26258562303271005,2288
N,combined,0.01417945063471496,0.035970035645334596,0.002370933780685869,0.1258050503419641,12681
N,alpha,0.031022855920579833,0.026046126561729,0.025225540005036462,0.09285131172855157,10393
N,beta,0.1014437176571093,0.0810483516881287,0.10144371765710924,0.27549395130752197,2288
