fold_id,candidate,inner_macro_log_loss,inner_beta_energy_precision,inner_gate_pass,inner_combined_energy_iou,selected,gate_fallback
alpha_alpha_A,C1,0.20421826588666245,0.900448871457614,True,0.8824148723922777,True,False
alpha_alpha_A,C2,0.19488226333018285,0.8971930198548109,False,0.8806874397345944,False,False
alpha_alpha_A,C3,0.19001880893382395,0.8857960877437977,False,0.8725732920858946,False,False
alpha_alpha_A,C4,0.20805741370996797,0.878735876766972,False,0.8669591216300689,False,False
alpha_alpha_A,B1,0.192058715963861,0.8929464247874772,False,0.876076325986582,False,False
alpha_alpha_B,C1,0.20259987060446502,0.900448871457614,True,0.8828053267690104,True,False
alpha_alpha_B,C2,0.1924868897238706,0.8974277387716553,False,0.8811401314438961,False,False
alpha_alpha_B,C3,0.18810452365517613,0.8864981777999558,False,0.8730801049018987,False,False
alpha_alpha_B,C4,0.20649541857010267,0.878735876766972,False,0.867610777271596,False,False
alpha_alpha_B,B1,0.18979497053745228,0.8929464247874772,False,0.8764659420204081,False,False
alpha_alpha_C,C1,0.18915348685184402,0.902880509951704,True,0.8861623757908289,True,False
alpha_alpha_C,C2,0.17613837940109736,0.8977083704955652,False,0.8832566441239551,False,False
alpha_alpha_C,C3,0.17398521306405546,0.8895292436810913,False,0.8765997075282718,False,False
alpha_alpha_C,C4,0.1892799701223797,0.878735876766972,False,0.8694498642667974,False,False
alpha_alpha_C,B1,0.1728262987379758,0.8932195359665875,False,0.8795033681871852,False,False
alpha_alpha_D,C1,0.20392920753287316,0.9004397559485035,True,0.8824127934328997,True,False
alpha_alpha_D,C2,0.19423573063789418,0.8971930198548109,False,0.880688341319988,False,False
alpha_alpha_D,C3,0.18956931127696114,0.8860119753964996,False,0.8726222979175333,False,False
alpha_alpha_D,C4,0.2081579660588116,0.878735876766972,False,0.8669591216300689,False,False
alpha_alpha_D,B1,0.19156810087855689,0.8929464247874772,False,0.8760785341522647,False,False
alpha_alpha_E,C1,0.18923297145257512,0.9038319770965139,True,0.8796904908059592,True,False
alpha_alpha_E,C2,0.17769933281955624,0.8993929422220425,False,0.8780273270931853,False,False
alpha_alpha_E,C3,0.1746010299795794,0.8896360682153712,False,0.87116313854002,False,False
alpha_alpha_E,C4,0.18944357701808343,0.878735876766972,False,0.8627372239776708,False,False
alpha_alpha_E,B1,0.17449461983077985,0.8932965870518593,False,0.8733901329304004,False,False
alpha_alpha_F,C1,0.1882059271980308,0.9039686217075653,True,0.8774195996969492,True,False
alpha_alpha_F,C2,0.17840046215904812,0.8993745751081434,False,0.8746302282495206,False,False
alpha_alpha_F,C3,0.1753328836536323,0.8896360682153712,False,0.86789192628614,False,False
alpha_alpha_F,C4,0.18998506539962015,0.878735876766972,False,0.8596482057387757,False,False
alpha_alpha_F,B1,0.17520105858451326,0.8932965870518593,False,0.869983433100823,False,False
alpha_alpha_G,C1,0.1905301398765313,0.902880509951704,True,0.8858314160278246,True,False
alpha_alpha_G,C2,0.18089709991920055,0.8990868843842857,False,0.8815791778940208,False,False
alpha_alpha_G,C3,0.17734549971483174,0.8879561536400502,False,0.8748567137494092,False,False
alpha_alpha_G,C4,0.19257595109878695,0.878735876766972,False,0.8679031536390664,False,False
alpha_alpha_G,B1,0.17749349091481784,0.8931505430921891,False,0.8777567846414009,False,False
alpha_alpha_H,C1,0.20414475561196369,0.900448871457614,True,0.8824148723922777,True,False
alpha_alpha_H,C2,0.19462987183024488,0.8971930198548109,False,0.8806874397345944,False,False
alpha_alpha_H,C3,0.19000940737127853,0.885828879691088,False,0.8725799958965278,False,False
alpha_alpha_H,C4,0.2080302885482161,0.878735876766972,False,0.8669591216300689,False,False
alpha_alpha_H,B1,0.19186566370607608,0.8929464247874772,False,0.876076325986582,False,False
alpha_alpha_I,C1,0.20001996597677704,0.900448871457614,True,0.8850828365822273,True,False
alpha_alpha_I,C2,0.19005275710041128,0.8992262378083724,False,0.8843018579669985,False,False
alpha_alpha_I,C3,0.18577723520485687,0.8868144416713666,False,0.8759902301653104,False,False
alpha_alpha_I,C4,0.20368513646040795,0.878735876766972,False,0.8701549643931477,False,False
alpha_alpha_I,B1,0.1873352287564882,0.893072704313978,False,0.879415992787044,False,False
alpha_alpha_J,C1,0.19386807274063966,0.9028005997052491,True,0.8848625184574826,True,False
alpha_alpha_J,C2,0.18159211042211806,0.8992441008927773,False,0.883911940759345,False,False
alpha_alpha_J,C3,0.17828314357289513,0.8881312164438669,False,0.8756032616399051,False,False
alpha_alpha_J,C4,0.19479599540817305,0.878735876766972,False,0.8700346389407266,False,False
alpha_alpha_J,B1,0.17833396333242837,0.8931505430921891,False,0.8790807956130234,False,False
beta_beta_A,C1,0.18391339369190685,0.8880545367116147,False,0.8783613133899484,False,True
beta_beta_A,C2,0.18665148113998264,0.8930918710780742,False,0.8792711333402975,False,True
beta_beta_A,C3,0.1751099840602523,0.8810986110083989,False,0.8701279738081668,True,True
beta_beta_A,C4,0.19049564033314972,0.8759661021697805,False,0.8662888423982196,False,True
beta_beta_A,B1,0.18542598829512325,0.886332540874817,False,0.8728785779077136,False,True
beta_beta_B,C1,0.1968565774094294,0.8667467866157769,False,0.8779563253658165,False,True
beta_beta_B,C2,0.18888244688420652,0.8637640179090726,False,0.8759655532839247,False,True
beta_beta_B,C3,0.18340646311923536,0.8401688189002894,False,0.8661246272833129,True,True
beta_beta_B,C4,0.20079818251865936,0.8293946349343556,False,0.8600972747898201,False,True
beta_beta_B,B1,0.1870101823452929,0.8528139074724472,False,0.8702670797064859,False,True
beta_beta_C,C1,0.20299134269106447,0.9003380602728537,True,0.8819668243116864,True,False
beta_beta_C,C2,0.19388640746005703,0.8973972675718759,False,0.8807344969595129,False,False
beta_beta_C,C3,0.1888933294484276,0.8857960877437977,False,0.8725806788041774,False,False
beta_beta_C,C4,0.20729795693254258,0.879102948280828,False,0.8670440206266933,False,False
beta_beta_C,B1,0.19111249161605706,0.8929423364396268,False,0.8760685193372836,False,False
beta_beta_D,C1,0.15487334878045383,0.9004490966343658,True,0.8813956053512803,True,False
beta_beta_D,C2,0.16192767612142195,0.903559977498247,True,0.8812614879295111,False,False
beta_beta_D,C3,0.14944816149804496,0.8923597808147073,False,0.8728443039133601,False,False
beta_beta_D,C4,0.16682272919442323,0.8886014612688475,False,0.869033442580053,False,False
beta_beta_D,B1,0.16223482320993152,0.8967417522253323,False,0.8748790177879547,False,False
beta_beta_E,C1,0.19231544516239463,0.893650593833425,False,0.8803726292275054,False,True
beta_beta_E,C2,0.1883917747597527,0.8982572164822936,False,0.8804582635705632,False,True
beta_beta_E,C3,0.18127861760756622,0.8868533048669464,False,0.8723452812706496,True,True
beta_beta_E,C4,0.19896391739573752,0.8807889971918893,False,0.8674292145653272,False,True
beta_beta_E,B1,0.18614296042478592,0.8919969046695274,False,0.8745154007409636,False,True
beta_beta_F,C1,0.18731077056626003,0.8858166361361804,False,0.8787409825042729,False,True
beta_beta_F,C2,0.18045664505869186,0.8896232097436398,False,0.877304875349035,False,True
beta_beta_F,C3,0.1724259543759412,0.8780413796660257,False,0.8702484812756387,True,True
beta_beta_F,C4,0.19068801626398282,0.8709065626095474,False,0.8653059292327615,False,True
beta_beta_F,B1,0.17743273477206306,0.8837001215428191,False,0.8721437782147629,False,True
