direction,level,design,k,draw,n_days,n_rpf,energy_iou,energy_precision,day_precision,sure_day_recall,fp,fn,rate_uncertain,single_class_stations
alpha->beta,k0_source_pair,-,0,0,2305,470,0.8696971148975952,0.8813024882731093,0.6843657817109144,0.9872340425531915,214,6,0.02776572668112798,
alpha->beta,all_labels_intercept,-,-1,0,2305,470,0.8936958776993115,0.9375419556052199,0.9463087248322147,0.9,24,47,0.030802603036876357,
alpha->beta,R0_within_cohort,-,-1,0,2305,470,0.8945449477456121,0.940667717682573,0.9524886877828054,0.8957446808510638,21,49,0.04295010845986985,
alpha->beta,population,random,9,0,2305,470,0.8803825643390281,0.903291328302736,0.8171846435100548,0.951063829787234,100,23,0.026030368763557483,2.0
alpha->beta,population,random,9,1,2305,470,0.753552330773102,0.9434855582309132,0.8492822966507177,0.7553191489361702,63,115,0.15357917570498916,0.0
alpha->beta,population,random,9,2,2305,470,0.8775005505390071,0.9204273353922755,0.7845601436265709,0.9297872340425531,120,33,0.13449023861171366,1.0
alpha->beta,population,random,9,3,2305,470,0.8741659126819142,0.9067995601966038,0.8858350951374208,0.8914893617021277,54,51,0.1002169197396963,0.0
alpha->beta,population,random,9,4,2305,470,0.8743149008564136,0.9074634769247648,0.7398230088495575,0.8893617021276595,147,52,0.2806941431670282,1.0
alpha->beta,population,random,9,5,2305,470,0.8864691900473866,0.9188398860999435,0.8275862068965517,0.9191489361702128,90,38,0.029934924078091105,1.0
alpha->beta,population,random,9,6,2305,470,0.8918324801312822,0.9390142765573267,0.8648111332007953,0.925531914893617,68,35,0.039045553145336226,0.0
alpha->beta,population,random,9,7,2305,470,0.8938307542605852,0.932924534665659,0.8298676748582231,0.9340425531914893,90,31,0.039045553145336226,1.0
alpha->beta,population,random,9,8,2305,470,0.8443516901746776,0.9203811167434127,0.7942857142857143,0.8872340425531915,108,53,0.14490238611713666,1.0
alpha->beta,population,random,9,9,2305,470,0.7895429073544276,0.905203837963654,0.8101010101010101,0.8531914893617021,94,69,0.040347071583514096,1.0
alpha->beta,population,random,9,10,2305,470,0.9026880654289056,0.9388798159754693,0.8681541582150102,0.9106382978723404,65,42,0.03297180043383948,2.0
alpha->beta,population,random,9,11,2305,470,0.8601179375960294,0.8985109164349775,0.7696335078534031,0.9382978723404255,132,29,0.05553145336225596,1.0
alpha->beta,population,random,9,12,2305,470,0.8824424238173599,0.9255004900178188,0.786618444846293,0.925531914893617,118,35,0.039045553145336226,2.0
alpha->beta,population,random,9,13,2305,470,0.8862318708697415,0.914278980240296,0.8732673267326733,0.9382978723404255,64,29,0.03557483731019523,0.0
alpha->beta,population,random,9,14,2305,470,0.888084377619088,0.9190177714927741,0.8007246376811594,0.9404255319148936,110,28,0.030802603036876357,0.0
alpha->beta,population,random,9,15,2305,470,0.863931819517185,0.8865496793096933,0.7067082683307332,0.9638297872340426,188,17,0.203470715835141,1.0
alpha->beta,population,random,9,16,2305,470,0.8839390100270306,0.9010876587809286,0.8767395626242545,0.9382978723404255,62,29,0.07158351409978309,1.0
alpha->beta,population,random,9,17,2305,470,0.8721264172586023,0.9047555925051778,0.7617391304347826,0.9319148936170213,137,32,0.31713665943600866,0.0
alpha->beta,population,random,9,18,2305,470,0.8792401671839951,0.9170070874364311,0.8724279835390947,0.902127659574468,62,46,0.025162689804772233,1.0
alpha->beta,population,random,9,19,2305,470,0.8732995163163148,0.8938418944128123,0.7711864406779662,0.9680851063829787,135,15,0.050759219088937095,2.0
alpha->beta,population,random,18,0,2305,470,0.8752959276783246,0.9019301165438101,0.8203703703703704,0.9425531914893617,97,27,0.05553145336225596,0.0
alpha->beta,population,random,18,1,2305,470,0.869074961107379,0.9477210118290117,0.8798283261802575,0.8723404255319149,56,60,0.1492407809110629,0.0
alpha->beta,population,random,18,2,2305,470,0.8892867425115455,0.9280819614606495,0.9267241379310345,0.9148936170212766,34,40,0.030802603036876357,0.0
alpha->beta,population,random,18,3,2305,470,0.8743826105967931,0.9175400895690486,0.8045112781954887,0.9106382978723404,104,42,0.13058568329718004,0.0
alpha->beta,population,random,18,4,2305,470,0.8953749710036756,0.9195757519601723,0.9,0.9191489361702128,48,38,0.17483731019522777,0.0
alpha->beta,population,random,18,5,2305,470,0.8785838981228612,0.9111361636366785,0.8969072164948454,0.925531914893617,50,35,0.027331887201735357,0.0
alpha->beta,population,random,18,6,2305,470,0.8821356913845356,0.925045665128668,0.9025974025974026,0.8872340425531915,45,53,0.0386117136659436,0.0
alpha->beta,population,random,18,7,2305,470,0.8915729720060481,0.911913248557543,0.8631984585741811,0.9531914893617022,71,22,0.028199566160520606,0.0
alpha->beta,population,random,18,8,2305,470,0.8980798627350803,0.939294510077654,0.9058577405857741,0.9212765957446809,45,37,0.02776572668112798,0.0
alpha->beta,population,random,18,9,2305,470,0.8739925735900292,0.9141284899424483,0.8585657370517928,0.9170212765957447,71,39,0.02776572668112798,0.0
alpha->beta,population,random,18,10,2305,470,0.7915802809613386,0.9020885568461725,0.8297872340425532,0.7468085106382979,72,119,0.12537960954446856,0.0
alpha->beta,population,random,18,11,2305,470,0.8672891018513148,0.9489234041018381,0.9194630872483222,0.874468085106383,36,59,0.039913232104121475,0.0
alpha->beta,population,random,18,12,2305,470,0.8364390196372818,0.9111837254998489,0.8739316239316239,0.8702127659574468,59,61,0.03600867678958785,0.0
