direction,level,design,k,energy_iou_med,energy_iou_p05,energy_iou_p95,energy_precision_med,energy_precision_p05,energy_precision_p95,sure_day_recall_med,sure_day_recall_p05,sure_day_recall_p95,day_precision_med,day_precision_p05,day_precision_p95,fp_med,fp_p05,fp_p95,fn_med,fn_p05,fn_p95
alpha->beta,R0_within_cohort,-,-1,0.8945449477456121,0.8945449477456121,0.8945449477456121,0.940667717682573,0.940667717682573,0.940667717682573,0.8957446808510638,0.8957446808510638,0.8957446808510638,0.9524886877828054,0.9524886877828054,0.9524886877828054,21.0,21.0,21.0,49.0,49.0,49.0
alpha->beta,all_labels_intercept,-,-1,0.8936958776993115,0.8936958776993115,0.8936958776993115,0.9375419556052199,0.9375419556052199,0.9375419556052199,0.9,0.9,0.9,0.9463087248322147,0.9463087248322147,0.9463087248322147,24.0,24.0,24.0,47.0,47.0,47.0
alpha->beta,k0_source_pair,-,0,0.8696971148975952,0.8696971148975952,0.8696971148975952,0.8813024882731093,0.8813024882731093,0.8813024882731093,0.9872340425531915,0.9872340425531915,0.9872340425531915,0.6843657817109144,0.6843657817109144,0.6843657817109144,214.0,214.0,214.0,6.0,6.0,6.0
alpha->beta,population,random,9,0.878370358861501,0.7877433785253612,0.8942736198190012,0.9156430338383635,0.8934772836576563,0.939237840641006,0.9276595744680851,0.8482978723404255,0.9640425531914893,0.8136428268055325,0.7381672718236163,0.8771943392499127,97.0,61.6,149.05000000000004,34.0,16.9,71.30000000000004
alpha->beta,population,random,18,0.8742894943844748,0.78135386879928,0.8955102155902458,0.9211209021439559,0.9020806348310544,0.947781131442653,0.9095744680851063,0.7447872340425532,0.9430851063829787,0.8863222744688262,0.8030357142857143,0.9198261397824578,54.5,33.9,105.10000000000002,42.5,26.75,119.95000000000002
alpha->beta,population,random,27,0.8840065698720497,0.7956998337578298,0.9003772215817788,0.9241252187477222,0.9083089387480928,0.95044488800571,0.8936170212765957,0.7865957446808511,0.9468085106382979,0.8966222869129672,0.8290627394373905,0.9365730566191631,49.0,25.7,88.30000000000004,50.0,25.0,100.30000000000001
alpha->beta,population,random,54,0.8877369499544523,0.8499364048014562,0.8993620603227783,0.933474802054385,0.9161958217971502,0.9476234625983242,0.8851063829787233,0.845531914893617,0.915,0.9253284480011995,0.8683403805496829,0.9586161126500462,34.5,17.75,63.1,54.0,39.95,72.60000000000004
alpha->beta,population,random,108,0.8844815188635405,0.871117377883381,0.8904398154573995,0.933085586400064,0.9214187629968901,0.9404081472230469,0.8925531914893616,0.8732978723404256,0.9064893617021277,0.9324293475779574,0.9134225972120323,0.9524524359397338,30.0,20.0,40.2,50.5,43.95,59.55000000000001
alpha->beta,population,review,9,0.8916278149811807,0.883499529623973,0.8948429325267556,0.9324496261782631,0.9250838693183948,0.9402492153653026,0.9085106382978724,0.8762765957446809,0.917340425531915,0.8779496414986367,0.8310059589002952,0.9235900875320657,59.5,34.95,87.1,43.0,38.85,58.150000000000006
alpha->beta,population,review,18,0.8907535820489474,0.8493102772736457,0.8984590147591044,0.9308895302884019,0.9262231923922284,0.9485311900965826,0.9053191489361703,0.862872340425532,0.9171276595744682,0.8995724543677257,0.8569205690574985,0.934721683545213,47.5,29.95,71.0,44.5,38.95,64.45
alpha->beta,population,review,27,0.8874254021352364,0.8753123464299845,0.8957935454517357,0.9105199080323747,0.903355039506581,0.9178859083687796,0.9414893617021276,0.9085106382978724,0.9595744680851064,0.8427979553403282,0.8193015022454198,0.8811543711543711,83.0,58.75,99.05,27.5,19.0,43.0
alpha->beta,population,review,54,0.8889091536119234,0.8780786710525776,0.8962773939907046,0.9138426707613981,0.9082959324312871,0.9224655054175583,0.9319148936170213,0.9084042553191489,0.9532978723404256,0.8766138613861386,0.8596808891393412,0.8988189095042692,61.5,49.6,71.35000000000001,32.0,21.95,43.05
alpha->beta,population,review,108,0.8875298236448743,0.8815933113135702,0.8967663547660527,0.9196886080007134,0.9139865813339474,0.9299744616298408,0.9234042553191489,0.9127659574468086,0.9386170212765957,0.8969139660149391,0.8724611032531825,0.916228448275862,50.0,39.75,64.5,36.0,28.85,41.0
alpha->beta,station,random,9,0.8764044539034239,0.8615852033034271,0.8898242777626812,0.9084585152542164,0.8858637102006444,0.9431942373872634,0.9413318616629875,0.8611077885073568,0.9741155315582238,0.8023219095384044,0.7188242811501597,0.8725747857183402,99.5,57.0,169.10000000000002,26.5,11.75,63.05
alpha->beta,station,random,18,0.885313987436272,0.866655840560233,0.9026138485903065,0.9247672257344437,0.8974236074095042,0.9455090976741736,0.8985203099807562,0.8684023574386747,0.9572269768122303,0.8596599402092675,0.7728013873676524,0.9414096498929403,65.0,23.8,113.75000000000001,44.5,18.85,56.650000000000006
alpha->beta,station,random,27,0.8959723590167676,0.8727676873085279,0.9038502053651535,0.9304722668046387,0.906091675650997,0.9462299908219932,0.9129431735326285,0.8650090714167904,0.9384524684290573,0.9066370276278184,0.871630918048546,0.9421542962734832,38.5,22.6,58.25,36.5,25.9,57.150000000000006
alpha->beta,station,random,54,0.897955403531436,0.8747385763372335,0.9079530865218791,0.9302154206965987,0.9180957339765619,0.9509765519134158,0.9088445642407906,0.8599850497383704,0.9366812461632904,0.9275007487271638,0.8725725659833239,0.9528099528099527,26.5,15.85,49.85000000000001,34.0,22.8,52.1
alpha->beta,station,random,108,0.9042093218512124,0.8900973400406202,0.9234716757818953,0.9432011006864074,0.9284980380453756,0.9567553870458498,0.9061646150812653,0.8775629496402878,0.9284172661870503,0.9445765856950068,0.9206728634850166,0.9647464503042597,14.0,9.0,21.05,25.0,19.9,34.1
alpha->beta,station,review,9,0.8907972027021178,0.867139071451554,0.9006871284598492,0.9180287990235245,0.893652439766396,0.9309396057222594,0.9491557884415027,0.818707451795687,0.9617608581894297,0.8702432817150498,0.8302444881030342,0.934027299006979,61.0,28.5,87.05,22.5,16.9,80.15
alpha->beta,station,review,18,0.8848707923658702,0.8742429271392049,0.895946609209106,0.9106132822043472,0.8932729900560082,0.9295796050920637,0.9345238095238095,0.8662470023980816,0.9595476557340964,0.8972254224270353,0.8657123655913979,0.925529476915101,44.0,30.75,61.300000000000004,27.5,16.9,55.90000000000001
