direction,benchmark,station,intercept,slope,draw,fitted
alpha->beta,k0_source_pair,beta_A,-0.08731178032739656,3.2417711939699054,,
alpha->beta,k0_source_pair,beta_B,-0.08731178032739656,3.2417711939699054,,
alpha->beta,k0_source_pair,beta_C,-0.08731178032739656,3.2417711939699054,,
alpha->beta,k0_source_pair,beta_D,-0.08731178032739656,3.2417711939699054,,
alpha->beta,k0_source_pair,beta_E,-0.08731178032739656,3.2417711939699054,,
alpha->beta,k0_source_pair,beta_F,-0.08731178032739656,3.2417711939699054,,
alpha->beta,k0_source_pair,beta_G,-0.08731178032739656,3.2417711939699054,,
alpha->beta,k0_source_pair,beta_H,-0.08731178032739656,3.2417711939699054,,
alpha->beta,all_labels_intercept,beta_A,-7.008004975123168,3.2417711939699054,,
alpha->beta,all_labels_intercept,beta_B,-7.4856316541371895,3.2417711939699054,,
alpha->beta,all_labels_intercept,beta_C,-7.059680954327935,3.2417711939699054,,
alpha->beta,all_labels_intercept,beta_D,-7.051217422178676,3.2417711939699054,,
alpha->beta,all_labels_intercept,beta_E,-6.938630012184015,3.2417711939699054,,
alpha->beta,all_labels_intercept,beta_F,-6.9059100549391506,3.2417711939699054,,
alpha->beta,all_labels_intercept,beta_G,-6.8745032393076295,3.2417711939699054,,
alpha->beta,all_labels_intercept,beta_H,-7.130095076562034,3.2417711939699054,,
alpha->beta,R0_within_cohort,beta_A,-4.274195383769826,2.0584394420931145,,
alpha->beta,R0_within_cohort,beta_B,-5.193238151954853,2.28566356245713,,
alpha->beta,R0_within_cohort,beta_C,-4.550218570775238,2.1468051723532535,,
alpha->beta,R0_within_cohort,beta_D,-4.450263771780001,2.123041972886491,,
alpha->beta,R0_within_cohort,beta_E,-4.350841688949829,2.092573488942517,,
alpha->beta,R0_within_cohort,beta_F,-4.370002466645964,2.075653436316142,,
alpha->beta,R0_within_cohort,beta_G,-4.9167393454053965,2.3526707270182476,,
alpha->beta,R0_within_cohort,beta_H,-4.738646566664802,2.213133341550952,,
alpha->beta,population_k27_review,beta_A,-3.785027435234637,3.2417711939699054,0.0,True
alpha->beta,population_k27_review,beta_B,-3.9238919809531843,3.2417711939699054,0.0,True
alpha->beta,population_k27_review,beta_C,-3.5936872038400405,3.2417711939699054,0.0,True
alpha->beta,population_k27_review,beta_D,-6.98831081833926,3.2417711939699054,0.0,True
alpha->beta,population_k27_review,beta_E,-3.8054675822658997,3.2417711939699054,0.0,True
alpha->beta,population_k27_review,beta_F,-3.792259888159143,3.2417711939699054,0.0,True
alpha->beta,population_k27_review,beta_G,-3.1813665178993875,3.2417711939699054,0.0,True
alpha->beta,population_k27_review,beta_H,-3.1308670430046686,3.2417711939699054,0.0,True
