direction,level,station,draw,energy_iou,energy_precision,sure_day_recall,fp
alpha->beta,population,beta_A,0,0.9391886037817712,0.9487323173853264,0.9615384615384616,13
alpha->beta,population,beta_B,0,0.9237433413822868,0.9407887858260613,0.968,3
alpha->beta,population,beta_C,0,0.0,,,0
alpha->beta,population,beta_D,0,0.9054282242628001,0.9654586911293708,0.7777777777777778,1
alpha->beta,population,beta_E,0,0.7596693822406164,0.7683668942977947,1.0,14
alpha->beta,population,beta_F,0,0.9219704379501333,0.9339398226974028,0.9939024390243902,25
alpha->beta,population,beta_G,0,0.8069793254797973,0.8179520868630484,0.9529411764705882,25
alpha->beta,population,beta_H,0,0.27729556048511933,0.4286187689589846,0.5,2
alpha->beta,population,beta_A,1,0.9364391996902331,0.9459268358388703,0.9615384615384616,17
alpha->beta,population,beta_B,1,0.9210275742342768,0.9406245604825357,0.96,3
alpha->beta,population,beta_C,1,0.0,,,0
alpha->beta,population,beta_D,1,0.8645094258977716,0.9736646341533991,0.6888888888888889,0
alpha->beta,population,beta_E,1,0.8157720623071246,0.8258101460448638,1.0,7
alpha->beta,population,beta_F,1,0.9205569392967038,0.9324894134809664,0.9939024390243902,28
alpha->beta,population,beta_G,1,0.8221203492921916,0.8404625306677159,0.9294117647058824,20
alpha->beta,population,beta_H,1,0.35702503561446386,0.6545619651585455,0.5,1
alpha->beta,population,beta_A,2,0.9388983894029505,0.9484361758503981,0.9615384615384616,14
alpha->beta,population,beta_B,2,0.9237433413822868,0.9407887858260613,0.968,3
alpha->beta,population,beta_C,2,0.0,,,0
alpha->beta,population,beta_D,2,0.8260870045249895,0.8453362242018152,0.8888888888888888,15
alpha->beta,population,beta_E,2,0.7939882816150536,0.8034943003315771,1.0,10
alpha->beta,population,beta_F,2,0.9193301894603958,0.9312306764336512,0.9939024390243902,30
alpha->beta,population,beta_G,2,0.8221203492921916,0.8404625306677159,0.9294117647058824,20
alpha->beta,population,beta_H,2,0.27729556048511933,0.4286187689589846,0.5,2
alpha->beta,population,beta_A,3,0.9372082089903935,0.9467115132097066,0.9615384615384616,16
alpha->beta,population,beta_B,3,0.8971492552933117,0.9473625339916307,0.88,0
alpha->beta,population,beta_C,3,0.0,,,0
alpha->beta,population,beta_D,3,0.7850986252691257,0.9736316329789833,0.5777777777777777,0
alpha->beta,population,beta_E,3,0.7596693822406164,0.7683668942977947,1.0,14
alpha->beta,population,beta_F,3,0.9267992460149973,0.9400560806492073,0.9878048780487805,17
alpha->beta,population,beta_G,3,0.8087456844844242,0.8197668619776061,0.9529411764705882,24
alpha->beta,population,beta_H,3,0.35702503561446386,0.6545619651585455,0.5,1
alpha->beta,population,beta_A,4,0.95574060191616,0.9884132583433306,0.9230769230769231,0
alpha->beta,population,beta_B,4,0.8984407837521832,0.9452475858829037,0.896,0
alpha->beta,population,beta_C,4,0.0,,,0
alpha->beta,population,beta_D,4,0.7676198182740612,0.9731093286370851,0.5555555555555556,0
alpha->beta,population,beta_E,4,0.8431462387232302,0.8538737340322624,1.0,4
alpha->beta,population,beta_F,4,0.9218265301914328,0.9337921544485074,0.9939024390243902,26
alpha->beta,population,beta_G,4,0.8087456844844242,0.8197668619776061,0.9529411764705882,24
alpha->beta,population,beta_H,4,0.17344536429581756,0.8178171899595065,0.25,0
alpha->beta,population,beta_A,5,0.9364391996902331,0.9459268358388703,0.9615384615384616,17
alpha->beta,population,beta_B,5,0.9237433413822868,0.9407887858260613,0.968,3
alpha->beta,population,beta_C,5,0.0,,,0
alpha->beta,population,beta_D,5,0.8414149965698483,0.8814922652881282,0.8222222222222222,9
alpha->beta,population,beta_E,5,0.755622484338559,0.7642270519387853,1.0,17
alpha->beta,population,beta_F,5,0.9219704379501333,0.9339398226974028,0.9939024390243902,25
alpha->beta,population,beta_G,5,0.8220839144239043,0.8379851449991748,0.9411764705882353,21
alpha->beta,population,beta_H,5,0.35702503561446386,0.6545619651585455,0.5,1
alpha->beta,population,beta_A,6,0.9364391996902331,0.9459268358388703,0.9615384615384616,17
alpha->beta,population,beta_B,6,0.9237433413822868,0.9407887858260613,0.968,3
alpha->beta,population,beta_C,6,0.0,,,0
alpha->beta,population,beta_D,6,0.8454127216665215,0.9730857653853134,0.6666666666666666,0
alpha->beta,population,beta_E,6,0.755622484338559,0.7642270519387853,1.0,17
alpha->beta,population,beta_F,6,0.9193301894603958,0.9312306764336512,0.9939024390243902,30
alpha->beta,population,beta_G,6,0.8494707219027603,0.8690681683834907,0.9294117647058824,15
alpha->beta,population,beta_H,6,0.35702503561446386,0.6545619651585455,0.5,1
alpha->beta,population,beta_A,7,0.9364391996902331,0.9459268358388703,0.9615384615384616,17
alpha->beta,population,beta_B,7,0.8984407837521832,0.9452475858829037,0.896,0
alpha->beta,population,beta_C,7,0.0,,,0
alpha->beta,population,beta_D,7,0.8543554877805465,0.9064915158028763,0.8,6
alpha->beta,population,beta_E,7,0.8431462387232302,0.8538737340322624,1.0,4
alpha->beta,population,beta_F,7,0.9274848059334843,0.943844301784621,0.975609756097561,14
alpha->beta,population,beta_G,7,0.8087456844844242,0.8197668619776061,0.9529411764705882,24
alpha->beta,population,beta_H,7,0.17344536429581756,0.8178171899595065,0.25,0
alpha->beta,population,beta_A,8,0.9388983894029505,0.9484361758503981,0.9615384615384616,14
alpha->beta,population,beta_B,8,0.9210275742342768,0.9406245604825357,0.96,3
alpha->beta,population,beta_C,8,0.0,,,0
alpha->beta,population,beta_D,8,0.8545568130951162,0.9067181653691128,0.8,5
alpha->beta,population,beta_E,8,0.7581331408520776,0.766795310836333,1.0,15
alpha->beta,population,beta_F,8,0.9193301894603958,0.9312306764336512,0.9939024390243902,30
alpha->beta,population,beta_G,8,0.8021229483740031,0.8129631526204391,0.9529411764705882,26
alpha->beta,population,beta_H,8,0.17344536429581756,0.8178171899595065,0.25,0
alpha->beta,population,beta_A,9,0.9550508409603222,0.9876755495760582,0.9230769230769231,1
alpha->beta,population,beta_B,9,0.9237433413822868,0.9407887858260613,0.968,3
alpha->beta,population,beta_C,9,0.0,,,0
alpha->beta,population,beta_D,9,0.9015861980944988,0.9662549108355374,0.7555555555555555,1
alpha->beta,population,beta_E,9,0.755622484338559,0.7642270519387853,1.0,17
alpha->beta,population,beta_F,9,0.9219704379501333,0.9339398226974028,0.9939024390243902,25
alpha->beta,population,beta_G,9,0.8069793254797973,0.8179520868630484,0.9529411764705882,25
alpha->beta,population,beta_H,9,0.17344536429581756,0.8178171899595065,0.25,0
alpha->beta,population,beta_A,10,0.9364391996902331,0.9459268358388703,0.9615384615384616,17
alpha->beta,population,beta_B,10,0.9079940559406635,0.9403368767941555,0.928,3
alpha->beta,population,beta_C,10,0.0,,,0
alpha->beta,population,beta_D,10,0.8543554877805465,0.9064915158028763,0.8,6
alpha->beta,population,beta_E,10,0.7986244374178199,0.8082424653003455,1.0,9
alpha->beta,population,beta_F,10,0.9219704379501333,0.9339398226974028,0.9939024390243902,25
alpha->beta,population,beta_G,10,0.8265372395435416,0.8450792618278651,0.9294117647058824,18
alpha->beta,population,beta_H,10,0.27729556048511933,0.4286187689589846,0.5,2
alpha->beta,population,beta_A,11,0.95574060191616,0.9884132583433306,0.9230769230769231,0
alpha->beta,population,beta_B,11,0.9110412295049988,0.9402917257534954,0.936,3
alpha->beta,population,beta_C,11,0.0,,,0
alpha->beta,population,beta_D,11,0.8233184318127192,0.9738325573391343,0.6222222222222222,0
alpha->beta,population,beta_E,11,0.9159477821923993,0.9286217126926708,1.0,0
alpha->beta,population,beta_F,11,0.9197936868763437,0.9317062543236276,0.9939024390243902,29
alpha->beta,population,beta_G,11,0.8069793254797973,0.8179520868630484,0.9529411764705882,25
alpha->beta,population,beta_H,11,0.27729556048511933,0.4286187689589846,0.5,2
alpha->beta,population,beta_A,12,0.9567182553234062,0.9666234329838288,0.9615384615384616,4
alpha->beta,population,beta_B,12,0.9237433413822868,0.9407887858260613,0.968,3
alpha->beta,population,beta_C,12,0.0,,,0
alpha->beta,population,beta_D,12,0.8645094258977716,0.9736646341533991,0.6888888888888889,0
alpha->beta,population,beta_E,12,0.755622484338559,0.7642270519387853,1.0,17
alpha->beta,population,beta_F,12,0.9218265301914328,0.9337921544485074,0.9939024390243902,26
