cohort,held_out,alpha,beta,raw_threshold_correct,raw_threshold_keep,n_train
alpha,alpha_A,-3.685531926643334,1.3307858058145772,29.148351593948917,7.438043594144888,9271
alpha,alpha_B,-3.620608132709455,1.3491732188152368,26.428650683581786,6.8112327569017745,9279
alpha,alpha_C,-4.085670646918358,1.4247517648600545,30.89136951285034,8.707883160458264,9265
alpha,alpha_D,-3.626652976396355,1.3910051941999064,23.936777740734545,6.3749646760522785,9278
alpha,alpha_E,-4.029731933326237,1.3889243794606263,32.49418108032506,8.88772394948956,9283
alpha,alpha_F,-3.8528423326514463,1.3068218422170654,35.47470268400535,8.97306998184276,9283
alpha,alpha_G,-3.9683411013854926,1.3824795407715051,31.56814631789063,8.559822952911684,9286
alpha,alpha_H,-3.735939667843093,1.4352058022212313,23.372020110454056,6.483511640923329,9274
alpha,alpha_I,-3.7985702495791895,1.4371491664113085,24.347933716282274,6.795605998684525,9272
alpha,alpha_J,-3.952559892366982,1.4075612949211065,29.266829788211805,8.080499212854663,9281
beta,beta_A,-9.53052139672749,3.1779429001071935,25.195237884798054,14.368822652895169,1945
beta,beta_B,-9.048897296090626,2.9662417752514383,27.11417640173772,14.878723761814836,2043
beta,beta_C,-9.269378689217069,3.159787505853608,23.57415347140342,13.373621502139853,1941
beta,beta_D,-11.582394969797393,3.8580348447036337,24.072406598217096,15.159851243862231,2091
beta,beta_E,-9.689213266351722,3.2386445055844715,24.87741796729267,14.33485619092117,1969
beta,beta_F,-9.256111627893434,3.0270766830174844,27.153698733305212,15.084661601825474,1989
beta,beta_G,-9.327271108485135,3.129584283792274,24.81853930977154,14.023513058835308,1991
beta,beta_H,-9.390337460782368,3.221182604903399,23.004050571567426,13.184415177222375,1942
