cohort,station,n_days,n_rpf,required_mwh,applied_mwh,energy_iou,energy_precision,day_precision,day_recall,day_f1,tp,fp,fn,rate_auto_correct,rate_auto_keep,rate_uncertain,sure_rpf_days,sure_day_recall,sure_day_uncertain_rate
alpha,alpha_A,1039,0,0.0,0.0,0.0,,,,0.0,0,0,0,0.0,0.9980750721847931,0.0019249278152069298,0,,
alpha,alpha_B,1055,27,29.610468499999996,2561.927449,0.0,0.0,0.0,0.0,0.0,0,11,27,0.01042654028436019,0.7099526066350711,0.2796208530805687,27,0.0,0.4444444444444444
alpha,alpha_C,1055,627,3752.316103,2900.367164,0.6436209841178328,0.8981986238967088,0.9779005524861878,0.2822966507177033,0.4381188118811881,177,4,450,0.17156398104265402,0.4985781990521327,0.3298578199052133,627,0.2822966507177033,0.39074960127591707
alpha,alpha_D,1035,0,0.0,6744.646271500001,0.0,0.0,0.0,,0.0,0,49,0,0.04734299516908213,0.49082125603864735,0.4618357487922705,0,,
alpha,alpha_E,1035,700,6326.578003500001,4628.9062085,0.7145184647980509,0.9863350945880374,1.0,0.3342857142857143,0.5010706638115632,234,0,466,0.22608695652173913,0.45410628019323673,0.31980676328502416,700,0.3342857142857143,0.38571428571428573
alpha,alpha_F,1033,842,13356.8295205,9569.504911000002,0.6904793218943496,0.97855663935507,1.0,0.33966745843230406,0.5070921985815603,286,0,556,0.27686350435624396,0.2749273959341723,0.4482090997095837,842,0.33966745843230406,0.4679334916864608
alpha,alpha_G,1037,650,5828.545406499999,3997.2645459999994,0.6213096171137011,0.9419928047464288,0.9851485148514851,0.30615384615384617,0.4671361502347418,199,3,451,0.19479267116682739,0.38958534233365477,0.4156219864995178,650,0.30615384615384617,0.4523076923076923
alpha,alpha_H,1039,0,0.0,31470.460395000002,0.0,0.0,0.0,,0.0,0,91,0,0.0875842155919153,0.5206929740134745,0.3917228103946102,0,,
alpha,alpha_I,1042,148,1199.690992,10584.696097,0.08349165047693553,0.08579186002868572,0.48214285714285715,0.36486486486486486,0.41538461538461535,54,58,94,0.10748560460652591,0.41170825335892514,0.48080614203454897,148,0.36486486486486486,0.40540540540540543
alpha,alpha_J,1055,387,1542.0867715000002,1315.669743,0.6145688193612012,0.8267844451751596,0.9741379310344828,0.29198966408268734,0.4493041749502981,113,3,274,0.10995260663507109,0.64739336492891,0.24265402843601896,387,0.29198966408268734,0.3462532299741602
beta,beta_A,337,26,754.99691,1170.0159149999997,0.4531908957819481,0.5130980526021307,0.9473684210526315,0.6923076923076923,0.7999999999999999,18,1,8,0.05637982195845697,0.8991097922848664,0.04451038575667656,26,0.6923076923076923,0.15384615384615385
beta,beta_B,231,125,4769.1721835,3892.433169500001,0.8055753185459261,0.9928137187507335,1.0,0.696,0.820754716981132,87,0,38,0.37662337662337664,0.46320346320346323,0.16017316017316016,125,0.696,0.24
beta,beta_C,339,0,0.0,325.660042,0.0,0.0,0.0,,0.0,0,3,0,0.008849557522123894,0.8997050147492626,0.09144542772861357,0,,
beta,beta_D,188,45,475.14381699999996,539.4963500000001,0.3476652111491185,0.4851798524679544,0.8421052631578947,0.35555555555555557,0.5,16,3,29,0.10106382978723404,0.8085106382978723,0.09042553191489362,45,0.35555555555555557,0.13333333333333333
beta,beta_E,306,21,87.1145895,354.78120550000006,0.0626946114849948,0.0734820055173413,0.8,0.19047619047619047,0.3076923076923077,4,1,17,0.016339869281045753,0.9281045751633987,0.05555555555555555,21,0.19047619047619047,0.2857142857142857
beta,beta_F,286,164,1578.0256439999998,1506.2499839999998,0.8200892668279792,0.9226236144477862,0.9754098360655737,0.725609756097561,0.8321678321678323,119,3,45,0.42657342657342656,0.4230769230769231,0.15034965034965034,164,0.725609756097561,0.1951219512195122
beta,beta_G,283,85,2201.5129779999997,1783.3872005,0.7468755039338765,0.9553402205770736,0.9523809523809523,0.7058823529411765,0.810810810810811,60,3,25,0.2226148409893993,0.6289752650176679,0.14840989399293286,85,0.7058823529411765,0.2
beta,beta_H,335,4,30.179627500000002,1759.0496595,0.0,0.0,0.0,0.0,0.0,0,9,4,0.026865671641791045,0.8746268656716418,0.09850746268656717,4,0.0,0.5
