cohort,held_out,alpha,beta,raw_threshold_correct,raw_threshold_keep,n_train
alpha,alpha_A,-0.0913729133029268,3.2025885227384814,0.34057352519830386,-0.2662194039997644,9356
alpha,alpha_B,-0.08016264333854684,3.1400105594132213,0.34362151810297475,-0.27673974844117166,9342
alpha,alpha_C,-0.0010913617438397909,3.463291551697335,0.27757807545051666,-0.27677314145504656,9342
alpha,alpha_D,-0.08392994691793498,3.147032795415094,0.3443446031630747,-0.27451729070206615,9361
alpha,alpha_E,-0.1671589526045359,3.2554469069926744,0.3656333237801257,-0.23235054819796797,9362
alpha,alpha_F,-0.20760686558898084,3.197249942919691,0.3908864477012184,-0.2214948300203378,9364
alpha,alpha_G,0.04283789198881941,3.4663855510706054,0.26121378574115256,-0.2927745879565194,9360
alpha,alpha_H,-0.09151287064815129,3.1849247666867524,0.3428134519003171,-0.26782233967082847,9356
alpha,alpha_I,-0.056947396497036964,3.179366295103319,0.32897840588366734,-0.2822129082624838,9353
alpha,alpha_J,-0.1073368665371887,3.211319321300811,0.3461811635213566,-0.25913218172868385,9341
beta,beta_A,-3.9386363859402502,1.9454882611962172,10.70501082720679,3.898741063755147,1953
beta,beta_B,-4.623435765361397,2.0855223416817354,12.779691605415021,5.114382039765017,2057
beta,beta_C,-4.182208505110522,2.0191978725477795,11.071456905333488,4.215326544388262,1950
beta,beta_D,-4.441403422970942,2.119359022303838,11.126885177951005,4.4512533133979915,2105
beta,beta_E,-4.009371807730134,1.9765353144877043,10.671653378243139,3.9520738641834354,1982
beta,beta_F,-4.024935344144591,1.9595503897937245,11.017977228329036,4.061260694454551,2003
beta,beta_G,-4.429124533993696,2.1778394229463904,10.277148680433344,4.179299290133747,2005
beta,beta_H,-4.317560277662142,2.0662336185338983,11.178214764014147,4.362933702772554,1954
