cohort,station,n_days,n_rpf,required_mwh,applied_mwh,energy_iou,energy_precision,day_precision,day_recall,day_f1,tp,fp,fn,rate_auto_correct,rate_auto_keep,rate_uncertain,sure_rpf_days,sure_day_recall,sure_day_uncertain_rate
alpha,alpha_A,1039,0,0.0,0.0,0.0,,,,0.0,0,0,0,0.0,0.9980750721847931,0.0019249278152069298,0,,
alpha,alpha_B,1055,27,29.610468499999996,53.899021000000005,0.502355957166528,0.5180762281377985,0.9473684210526315,0.6666666666666666,0.782608695652174,18,1,9,0.01800947867298578,0.9696682464454977,0.012322274881516588,27,0.6666666666666666,0.14814814814814814
alpha,alpha_C,1055,627,3752.316103,4177.232511,0.8453711114562685,0.8696079505831462,0.9653979238754326,0.8899521531100478,0.9261410788381743,558,20,69,0.547867298578199,0.4028436018957346,0.04928909952606635,627,0.8899521531100478,0.051036682615629984
alpha,alpha_D,1035,0,0.0,0.0,0.0,,,,0.0,0,0,0,0.0,0.9971014492753624,0.002898550724637681,0,,
alpha,alpha_E,1035,700,6326.578003500001,6785.817029500001,0.8946390419315001,0.9124335456708028,0.989247311827957,0.92,0.9533678756476685,644,7,56,0.6289855072463768,0.336231884057971,0.034782608695652174,700,0.92,0.02857142857142857
alpha,alpha_F,1033,842,13356.8295205,14530.164531000002,0.8869308096649166,0.9021213014508018,0.9924050632911392,0.9311163895486936,0.9607843137254902,784,6,58,0.7647628267182962,0.1868344627299129,0.0484027105517909,842,0.9311163895486936,0.040380047505938245
alpha,alpha_G,1037,650,5828.545406499999,6343.139689,0.863405803003758,0.8891068410932483,0.9660743134087237,0.92,0.9424743892829001,598,21,52,0.5969141755062681,0.36065573770491804,0.04243008678881389,650,0.92,0.043076923076923075
alpha,alpha_H,1039,0,0.0,0.0,0.0,,,,0.0,0,0,0,0.0,0.9980750721847931,0.0019249278152069298,0,,
alpha,alpha_I,1042,148,1199.690992,1497.1968235,0.7708967353965451,0.7841279840919996,0.9699248120300752,0.8716216216216216,0.9181494661921707,129,4,19,0.1276391554702495,0.8512476007677543,0.02111324376199616,148,0.8716216216216216,0.08783783783783784
alpha,alpha_J,1055,387,1542.0867715000002,1783.4414199999999,0.8001518754502738,0.8288292423981046,0.9647058823529412,0.8475452196382429,0.9023383768913342,328,12,59,0.3222748815165877,0.6322274881516587,0.04549763033175355,387,0.8475452196382429,0.09560723514211886
beta,beta_A,337,26,754.99691,738.3118354999999,0.95574060191616,0.9884132583433306,1.0,0.9230769230769231,0.9600000000000001,24,0,2,0.0712166172106825,0.8931750741839762,0.03560830860534125,26,0.9230769230769231,0.038461538461538464
beta,beta_B,231,125,4769.1721835,4703.460493499999,0.8890926088713529,0.9478660044367611,1.0,0.864,0.9270386266094421,108,0,17,0.4675324675324675,0.48484848484848486,0.047619047619047616,125,0.864,0.056
beta,beta_C,339,0,0.0,0.0,0.0,,,,0.0,0,0,0,0.0,0.9941002949852508,0.0058997050147492625,0,,
beta,beta_D,188,45,475.14381699999996,407.0863165,0.7921505485619585,0.9579186322269814,0.9666666666666667,0.6444444444444445,0.7733333333333334,29,1,16,0.1595744680851064,0.6968085106382979,0.14361702127659576,45,0.6444444444444445,0.1111111111111111
beta,beta_E,306,21,87.1145895,94.1866935,0.899125056861397,0.9113346090655575,0.9545454545454546,1.0,0.9767441860465117,21,1,0,0.0718954248366013,0.8954248366013072,0.032679738562091505,21,1.0,0.0
beta,beta_F,286,164,1578.0256439999998,1627.7909875,0.9288564835286885,0.9483938732643954,0.9401197604790419,0.9573170731707317,0.9486404833836858,157,10,7,0.583916083916084,0.3531468531468531,0.06293706293706294,164,0.9573170731707317,0.036585365853658534
beta,beta_G,283,85,2201.5129779999997,2347.6825685,0.8700366556153777,0.9015351431655869,0.8837209302325582,0.8941176470588236,0.888888888888889,76,10,9,0.303886925795053,0.6325088339222615,0.0636042402826855,85,0.8941176470588236,0.047058823529411764
beta,beta_H,335,4,30.179627500000002,6.657839999999999,0.17344536429581756,0.8178171899595065,1.0,0.25,0.4,1,0,3,0.0029850746268656717,0.9880597014925373,0.008955223880597015,4,0.25,0.0
