anchors,cohort,station,n_days,n_rpf,required_mwh,applied_mwh,energy_iou,energy_precision,day_precision,day_recall,day_f1,tp,fp,fn,rate_auto_correct,rate_auto_keep,rate_uncertain,sure_rpf_days,sure_day_recall,sure_day_uncertain_rate
nearest,alpha,alpha_A,1039,0,0.0,0.0,0.0,,,,0.0,0,0,0,0.0,0.9980750721847932,0.0019249278152069,0,,
nearest,alpha,alpha_B,1055,27,29.6104685,53.899021000000005,0.502355957166528,0.5180762281377985,0.9473684210526316,0.6666666666666666,0.782608695652174,18,1,9,0.0180094786729857,0.9696682464454977,0.0123222748815165,27,0.6666666666666666,0.1481481481481481
nearest,alpha,alpha_C,1055,627,3752.316103,4177.232511,0.8453711114562685,0.8696079505831462,0.9653979238754326,0.8899521531100478,0.9261410788381744,558,20,69,0.547867298578199,0.4028436018957346,0.0492890995260663,627,0.8899521531100478,0.0510366826156299
nearest,alpha,alpha_D,1035,0,0.0,0.0,0.0,,,,0.0,0,0,0,0.0,0.9971014492753624,0.0028985507246376,0,,
nearest,alpha,alpha_E,1035,700,6326.578003500001,6785.817029500001,0.8946390419315001,0.9124335456708028,0.989247311827957,0.92,0.9533678756476685,644,7,56,0.6289855072463768,0.336231884057971,0.0347826086956521,700,0.92,0.0285714285714285
nearest,alpha,alpha_F,1033,842,13356.8295205,14530.164531000002,0.8869308096649166,0.9021213014508018,0.9924050632911392,0.9311163895486936,0.9607843137254902,784,6,58,0.7647628267182962,0.1868344627299129,0.0484027105517909,842,0.9311163895486936,0.0403800475059382
nearest,alpha,alpha_G,1037,650,5828.545406499999,6343.139689,0.863405803003758,0.8891068410932483,0.9660743134087236,0.92,0.9424743892829,598,21,52,0.5969141755062681,0.360655737704918,0.0424300867888138,650,0.92,0.043076923076923
nearest,alpha,alpha_H,1039,0,0.0,0.0,0.0,,,,0.0,0,0,0,0.0,0.9980750721847932,0.0019249278152069,0,,
nearest,alpha,alpha_I,1042,148,1199.690992,1497.1968235,0.7708967353965451,0.7841279840919996,0.9699248120300752,0.8716216216216216,0.9181494661921707,129,4,19,0.1276391554702495,0.8512476007677543,0.0211132437619961,148,0.8716216216216216,0.0878378378378378
nearest,alpha,alpha_J,1055,387,1542.0867715000002,1783.44142,0.8001518754502738,0.8288292423981046,0.9647058823529412,0.8475452196382429,0.9023383768913342,328,12,59,0.3222748815165877,0.6322274881516587,0.0454976303317535,387,0.8475452196382429,0.0956072351421188
nearest,beta,beta_A,337,26,754.99691,738.3118354999999,0.95574060191616,0.9884132583433306,1.0,0.9230769230769232,0.96,24,0,2,0.0712166172106825,0.8931750741839762,0.0356083086053412,26,0.9230769230769232,0.0384615384615384
nearest,beta,beta_B,231,125,4769.1721835,4703.460493499999,0.8890926088713529,0.9478660044367612,1.0,0.864,0.927038626609442,108,0,17,0.4675324675324675,0.4848484848484848,0.0476190476190476,125,0.864,0.056
nearest,beta,beta_C,339,0,0.0,0.0,0.0,,,,0.0,0,0,0,0.0,0.9941002949852508,0.0058997050147492,0,,
nearest,beta,beta_D,188,45,475.143817,457.7570065,0.9015861980944988,0.9662549108355374,0.9714285714285714,0.7555555555555555,0.85,34,1,11,0.1861702127659574,0.6542553191489362,0.1595744680851064,45,0.7555555555555555,0.1777777777777777
nearest,beta,beta_E,306,21,87.1145895,94.1866935,0.899125056861397,0.9113346090655576,0.9545454545454546,1.0,0.9767441860465116,21,1,0,0.0718954248366013,0.8986928104575164,0.0294117647058823,21,1.0,0.0
nearest,beta,beta_F,286,164,1578.0256439999998,1625.607079,0.930078607694169,0.9496679852364251,0.9457831325301204,0.9573170731707316,0.9515151515151516,157,9,7,0.5804195804195804,0.3636363636363636,0.0559440559440559,164,0.9573170731707316,0.0304878048780487
nearest,beta,beta_G,283,85,2201.512978,2347.6825685,0.8700366556153777,0.9015351431655868,0.8837209302325582,0.8941176470588236,0.888888888888889,76,10,9,0.303886925795053,0.6395759717314488,0.0565371024734982,85,0.8941176470588236,0.0470588235294117
nearest,beta,beta_H,335,4,30.1796275,6.657839999999999,0.1734453642958175,0.8178171899595065,1.0,0.25,0.4,1,0,3,0.0029850746268656,0.9880597014925372,0.008955223880597,4,0.25,0.0
edge,alpha,alpha_A,1039,0,0.0,0.0,0.0,,,,0.0,0,0,0,0.0,0.9980750721847932,0.0019249278152069,0,,
