cohort,station,date,confidence,population,sigma_floor,input_ok,n_admissible,n_scoreable,true_start,true_end,true_slots,contiguous,truth_admissible,truth_exclusion,truth_scoreable,rank_exact_adm,rank_iou_adm,rank_exact_all,rank_iou_all,bin_exact_adm,bin_iou_adm,bin_exact_all,bin_iou_all,max_iou_adm,max_iou_all,required_mwh,rank1_start,rank1_end,rank1_iou,rank1_tp,rank1_fp,rank1_fn,rank1_candidate_mwh,rank1_correct_mwh,rank1_score,rank1_length,scorer_best_start,scorer_best_end,null_wins,geometry,start_offset,end_offset,top1_iou_iou,top1_iou_tp,top1_iou_fp,top1_iou_fn,top1_energy_candidate_mwh,top1_energy_correct_mwh,top3_iou_iou,top3_iou_tp,top3_iou_fp,top3_iou_fn,top3_energy_candidate_mwh,top3_energy_correct_mwh,top5_iou_iou,top5_iou_tp,top5_iou_fp,top5_iou_fn,top5_energy_candidate_mwh,top5_energy_correct_mwh
alpha,alpha_B,2023-10-05,controlled,Alpha,1.400908788973254e-07,True,15,1176,48,53,6,True,True,,True,15,9,46,12,>10,4-10,>10,>10,1.0,1.0,0.2424575,49,52,0.6666666666666666,4,0,2,0.21235200000000987,0.21235199999999999,1.198187247883397,4,49,52,False,too short,1,-1,0.6666666666666666,4,0,2,0.21235200000000987,0.21235199999999999,0.6666666666666666,4,0,2,0.21235200000000987,0.21235199999999999,0.6666666666666666,4,0,2,0.21235200000000987,0.21235199999999999
alpha,alpha_B,2023-10-09,controlled,Alpha,1.400908788973254e-07,True,28,1176,47,48,2,True,False,edge rule (start),True,0,0,3,3,not admissible,none >= 0.8,3,3,0.5,1.0,0.017741,49,49,0.0,0,1,2,0.044728499999990845,0.0,-0.3017704755001115,1,49,49,True,disjoint,2,1,0.0,0,1,2,0.044728499999990845,0.0,0.5,1,0,1,0.005591000000009672,0.0055910000000000005,0.5,1,0,1,0.005591000000009672,0.0055910000000000005
alpha,alpha_B,2023-10-11,controlled,Alpha,1.400908788973254e-07,True,120,1176,48,52,5,True,True,,True,12,9,26,17,>10,4-10,>10,>10,1.0,1.0,0.6602805,48,48,0.2,1,0,4,0.08225300000000857,0.082253,-0.6282978991904644,1,48,48,True,too short,0,-4,0.2,1,0,4,0.08225300000000857,0.082253,0.4,2,0,3,0.2842830000000163,0.284283,0.4,2,0,3,0.2842830000000163,0.284283
alpha,alpha_B,2023-10-13,controlled,Alpha,1.400908788973254e-07,True,28,1176,43,54,12,True,True,,True,1,1,1,1,1,1,1,1,1.0,1.0,2.984648,43,54,1.0,12,0,0,2.9846480000000213,2.9846479999999995,23.137224944128924,12,43,54,False,exact,0,0,1.0,12,0,0,2.9846480000000213,2.9846479999999995,1.0,12,0,0,2.9846480000000213,2.9846479999999995,1.0,12,0,0,2.9846480000000213,2.9846479999999995
alpha,alpha_B,2023-10-16,controlled,Alpha,1.400908788973254e-07,True,276,1176,44,44,1,True,True,,True,13,13,21,21,>10,>10,>10,>10,1.0,1.0,0.0173105,42,55,0.07142857142857142,1,13,0,20.90823149999997,0.0173105,7.166539840392794,14,42,55,False,too long (both),-2,11,0.07142857142857142,1,13,0,20.90823149999997,0.0173105,0.16666666666666666,1,5,0,3.69266650000003,0.0173105,0.16666666666666666,1,5,0,3.69266650000003,0.0173105
alpha,alpha_B,2023-10-18,controlled,Alpha,1.400908788973254e-07,True,91,1176,49,55,6,False,True,,True,2,2,4,4,2,2,4-10,4-10,0.8571428571428571,0.8571428571428571,0.7630695,51,55,0.5714285714285714,4,1,2,0.6651189999999758,0.5991015000000001,3.667572902382454,5,51,55,False,too short,2,0,0.5714285714285714,4,1,2,0.6651189999999758,0.5991015000000001,0.8571428571428571,6,1,0,0.8290869999999586,0.7630695000000001,0.8571428571428571,6,1,0,0.8290869999999586,0.7630695000000001
alpha,alpha_B,2023-10-20,controlled,Alpha,1.400908788973254e-07,True,28,1176,48,52,5,True,True,,True,3,1,5,1,3,1,4-10,1,1.0,1.0,0.253962,47,52,0.8333333333333334,5,1,0,0.27557350000000724,0.253962,6.652947287724329,6,47,52,False,too long (start),-1,0,0.8333333333333334,5,1,0,0.27557350000000724,0.253962,1.0,5,0,0,0.25396200000000135,0.253962,1.0,5,0,0,0.25396200000000135,0.253962
alpha,alpha_B,2023-10-23,controlled,Alpha,1.400908788973254e-07,True,28,1176,42,53,12,True,True,,True,4,1,5,1,4-10,1,4-10,1,1.0,1.0,3.7251374999999998,42,55,0.8571428571428571,12,2,0,3.874052500000005,3.7251375,25.618751440081382,14,42,55,False,too long (end),0,2,0.8571428571428571,12,2,0,3.874052500000005,3.7251375,0.8571428571428571,12,2,0,3.874052500000005,3.7251375,1.0,12,0,0,3.725137499999988,3.7251375
alpha,alpha_B,2023-10-24,controlled,Alpha,1.400908788973254e-07,True,6,1176,48,51,4,True,False,edge rule (start),True,0,3,37,17,not admissible,3,>10,>10,0.8,1.0,0.3076145,46,51,0.6666666666666666,4,2,0,0.3569664999999702,0.3076145,4.894665044719659,6,46,51,False,too long (start),-2,0,0.6666666666666666,4,2,0,0.3569664999999702,0.3076145,0.8,4,1,0,0.3494399999999587,0.3076145,0.8,4,1,0,0.3494399999999587,0.3076145
alpha,alpha_B,2023-11-02,controlled,Alpha,1.400908788973254e-07,True,45,1176,55,55,1,True,True,,True,1,1,1,1,1,1,1,1,1.0,1.0,0.074404,55,55,1.0,1,0,0,0.07440399999998704,0.074404,-0.3455351482054966,1,55,55,True,exact,0,0,1.0,1,0,0,0.07440399999998704,0.074404,1.0,1,0,0,0.07440399999998704,0.074404,1.0,1,0,0,0.07440399999998704,0.074404
alpha,alpha_B,2023-11-07,controlled,Alpha,1.400908788973254e-07,True,66,1176,49,57,9,True,True,,True,4,1,9,1,4-10,1,4-10,1,1.0,1.0,1.8385925,48,58,0.8181818181818182,9,2,0,1.8648274999999899,1.8385925000000003,14.170524507836108,11,48,58,False,too long (both),-1,1,0.8181818181818182,9,2,0,1.8648274999999899,1.8385925000000003,0.9,9,1,0,1.846763999999979,1.8385925000000003,1.0,9,0,0,1.8385924999999759,1.8385925000000003
alpha,alpha_B,2023-11-08,controlled,Alpha,1.400908788973254e-07,True,55,1176,48,52,2,False,True,,True,19,0,87,0,>10,none >= 0.8,>10,none >= 0.8,0.5,0.5,0.09451000000000001,48,48,0.5,1,0,1,0.0045159999999953016,0.004516,-0.019077430104394836,1,48,48,True,too short,0,-4,0.5,1,0,1,0.0045159999999953016,0.004516,0.5,1,0,1,0.08999399999999014,0.089994,0.5,1,0,1,0.08999399999999014,0.089994
alpha,alpha_B,2023-11-09,controlled,Alpha,1.400908788973254e-07,True,91,1176,54,54,1,True,True,,True,21,21,58,58,>10,>10,>10,>10,1.0,1.0,0.064942,49,54,0.16666666666666666,1,5,0,1.9381549999999947,0.064942,-0.052827530191569466,6,49,54,True,too long (start),-5,0,0.16666666666666666,1,5,0,1.9381549999999947,0.064942,0.16666666666666666,1,5,0,1.9381549999999947,0.064942,0.16666666666666666,1,5,0,1.9381549999999947,0.064942
alpha,alpha_B,2023-11-17,controlled,Alpha,1.400908788973254e-07,True,120,1176,53,59,7,True,True,,True,1,1,1,1,1,1,1,1,1.0,1.0,1.8323555,53,59,1.0,7,0,0,1.8323555000000624,1.8323555,14.345338718696976,7,53,59,False,exact,0,0,1.0,7,0,0,1.8323555000000624,1.8323555,1.0,7,0,0,1.8323555000000624,1.8323555,1.0,7,0,0,1.8323555000000624,1.8323555
alpha,alpha_B,2023-11-22,controlled,Alpha,1.400908788973254e-07,True,91,1176,52,53,2,True,True,,True,5,5,5,5,4-10,4-10,4-10,4-10,1.0,1.0,0.0659095,53,54,0.3333333333333333,1,1,1,0.06117850000001113,0.04677099999999999,1.9306103018635006,2,53,54,False,shifted later,1,1,0.3333333333333333,1,1,1,0.06117850000001113,0.04677099999999999,0.5,1,0,1,0.04677100000000678,0.04677099999999999,1.0,2,0,0,0.06590950000000362,0.0659095
alpha,alpha_B,2024-03-21,controlled,Alpha,1.400908788973254e-07,True,153,1176,52,53,2,True,False,edge rule (end),True,0,0,2,2,not admissible,none >= 0.8,2,2,0.5,1.0,0.10063849999999999,45,45,0.0,0,1,2,1.6530124999999884,0.0,-1.2456073093702125,1,45,45,True,disjoint,-7,-8,0.0,0,1,2,1.6530124999999884,0.0,0.0,0,1,2,1.6530124999999884,0.0,0.5,1,0,1,0.033008499999994,0.0330085
alpha,alpha_B,2024-08-28,controlled,Alpha,1.400908788973254e-07,True,91,1176,52,52,1,True,True,,True,2,2,2,2,2,2,2,2,1.0,1.0,0.0536525,46,51,0.0,0,6,1,2.1815810000000226,0.0,0.9664343219801246,6,46,51,False,disjoint,-6,-1,0.0,0,6,1,2.1815810000000226,0.0,1.0,1,0,0,0.053652499999998327,0.0536525,1.0,1,0,0,0.053652499999998327,0.0536525
alpha,alpha_B,2024-09-02,controlled,Alpha,1.400908788973254e-07,True,28,1176,46,51,6,True,True,,True,1,1,1,1,1,1,1,1,1.0,1.0,0.3508375,46,51,1.0,6,0,0,0.35083749999998304,0.35083749999999997,4.48655097660675,6,46,51,False,exact,0,0,1.0,6,0,0,0.35083749999998304,0.35083749999999997,1.0,6,0,0,0.35083749999998304,0.35083749999999997,1.0,6,0,0,0.35083749999998304,0.35083749999999997
alpha,alpha_B,2024-09-04,controlled,Alpha,1.400908788973254e-07,True,15,1176,50,51,2,True,False,edge rule (end),True,0,0,14,14,not admissible,none >= 0.8,>10,>10,0.6666666666666666,1.0,0.0527925,50,50,0.5,1,0,1,0.004945999999989681,0.004946,-0.22476782527559727,1,50,50,True,too short,0,-1,0.5,1,0,1,0.004945999999989681,0.004946,0.5,1,0,1,0.13214199999998755,0.0478465,0.5,1,0,1,0.13214199999998755,0.0478465
alpha,alpha_B,2024-09-05,controlled,Alpha,1.400908788973254e-07,True,153,1176,46,50,3,False,True,,True,24,0,45,0,>10,none >= 0.8,>10,none >= 0.8,0.6666666666666666,0.6666666666666666,0.1976215,48,49,0.25,1,1,2,0.08709100000001513,0.084618,3.251393664478226,2,48,49,False,too short,2,-1,0.25,1,1,2,0.08709100000001513,0.084618,0.3333333333333333,1,0,2,0.08461800000000608,0.084618,0.4,2,2,1,0.08461800000000608,0.084618
