population,station,n_days,n_days_with_window,n_null_wins,exact_share,mean_iou,median_iou,share_iou_ge_target,mean_best_admissible_iou,interval_precision,interval_recall,interval_f1,energy_iou,energy_precision,candidate_mwh,correct_mwh,required_mwh
Alpha,alpha_B,27,27,8,0.25925925925925924,0.6211948545281879,0.7692307692307693,0.48148148148148145,0.9033509700176368,0.7439024390243902,0.8591549295774648,0.7973856209150327,0.4895053969193159,0.500715828980535,56.549819999999926,28.31539,29.610468500000003
Alpha,alpha_C,627,627,62,0.25199362041467305,0.6917460826891351,0.8181818181818182,0.5247208931419458,0.8630872141233905,0.8305998394311275,0.9142785001893701,0.8704326923076924,0.8604224996542176,0.8842989776422245,4114.1620385,3638.1492845000002,3752.316103
Alpha,alpha_E,700,700,55,0.29,0.737710062427814,0.8722826086956521,0.5757142857142857,0.8745776737710318,0.8501900435709651,0.9344813531689423,0.8903451288772389,0.9017970013202734,0.918483239202669,6752.047770499999,6201.642707499999,6326.578003500001
Alpha,alpha_F,842,842,48,0.22802850356294538,0.725950597911906,0.84375,0.5688836104513064,0.8746646967362015,0.8255755440935967,0.9454689526004898,0.8814640698455338,0.8865149302076653,0.9010593469108708,14558.397671,13117.980297500002,13356.8295205
Alpha,alpha_G,650,650,46,0.22,0.7124778416512988,0.8333333333333334,0.5523076923076923,0.8877479227010087,0.8389081122645137,0.9226215644820296,0.878775674587193,0.8658148985240249,0.8910981934271404,6333.310743,5643.6017615,5828.545406499999
Alpha,alpha_I,148,148,17,0.18243243243243243,0.6476385944316707,0.75,0.4594594594594595,0.851330771165174,0.763249348392702,0.9405781584582441,0.8426858513189448,0.7837114212724116,0.7964071714855818,1476.348893,1175.774846,1199.690992
Alpha,alpha_J,387,387,52,0.2144702842377261,0.6662388191063695,0.7894736842105263,0.49870801033591733,0.8524653843816126,0.8121085594989561,0.9063373718546133,0.8566395067165822,0.8160541437886876,0.8424768515623157,1762.6760304999996,1485.0137525,1542.0867715
Beta sure,beta_A,26,26,0,0.38461538461538464,0.8528834947104179,0.9302884615384616,0.7692307692307693,0.9730769230769231,0.9307359307359307,0.9429824561403509,0.9368191721132898,0.9783088726812885,0.9886685830929526,755.5575415000004,746.9960040000001,754.99691
Beta sure,beta_B,125,125,3,0.136,0.8813135561027616,0.9259259259259259,0.864,0.9914045548654244,0.9018817204301075,0.9767103347889374,0.9378057302585605,0.9337943848433825,0.9441830509268386,4992.286090999999,4713.6319125,4769.172183500001
Beta sure,beta_D,45,45,0,0.2222222222222222,0.6839532503582586,0.625,0.3333333333333333,0.9725396825396827,0.6555423122765197,0.9548611111111112,0.7773851590106007,0.9671683217735815,0.9706343779066481,487.71812000000006,473.39597399999997,475.14381699999996
Beta sure,beta_E,21,21,0,0.14285714285714285,0.8623621750667306,0.8823529411764706,0.8571428571428571,1.0,0.8838709677419355,0.9716312056737588,0.9256756756756758,0.9159477821924007,0.9286217126926726,92.43332599999984,85.83559349999999,87.11458950000001
Beta sure,beta_F,164,164,0,0.40853658536585363,0.9184459725448174,0.96,0.8780487804878049,0.9925257166485437,0.9506543075245365,0.9664634146341463,0.9584936778449697,0.9614829668211362,0.9740664862837428,1598.5605905,1557.1042975,1578.0256439999998
Beta sure,beta_G,85,85,2,0.5764705882352941,0.9430028500611791,1.0,0.9176470588235294,0.9940062388591802,0.9735849056603774,0.9781990521327014,0.975886524822695,0.9720625307282319,0.9817566487238698,2219.8727025,2179.374785,2201.5129780000007
Beta sure,beta_H,4,4,1,0.25,0.9117647058823528,0.9117647058823529,1.0,0.9696691176470589,0.9253731343283582,0.9841269841269841,0.9538461538461538,0.9268969457292374,0.9385404503301048,31.73121199999997,29.781025999999997,30.179627500000002
