population,ranking,target,n_days,n_1,n_2,n_3,n_4-10,n_>10,n_not admissible,n_not scoreable,n_none >= 0.8,share_1,share_2,share_3,share_4-10,share_>10,share_not admissible,share_not scoreable,share_none >= 0.8
Alpha,admissible,exact span,3381,813,479,269,596,618,606,0,0,0.24046140195208518,0.14167406092871931,0.07956225968648328,0.17627920733510796,0.18278615794143743,0.17923691215616683,0.0,0.0
Alpha,admissible,IoU >= 0.8,3381,1844,153,90,276,188,0,0,830,0.5454007690032535,0.04525288376220053,0.026619343389529725,0.08163265306122448,0.05560485063590653,0.0,0.0,0.24548950014788523
Alpha,all windows,exact span,3381,656,392,236,709,1386,0,2,0,0.1940254362614611,0.11594202898550725,0.06980183377698905,0.20970127181307305,0.40993788819875776,0.0,0.0005915409642117716,0.0
Alpha,all windows,IoU >= 0.8,3381,1804,153,88,282,414,0,0,640,0.533569949719018,0.04525288376220053,0.026027802425317954,0.0834072759538598,0.12244897959183673,0.0,0.0,0.18929310854776693
Beta sure,admissible,exact span,470,157,53,36,113,82,29,0,0,0.33404255319148934,0.1127659574468085,0.07659574468085106,0.2404255319148936,0.17446808510638298,0.06170212765957447,0.0,0.0
Beta sure,admissible,IoU >= 0.8,470,387,13,8,22,33,0,0,7,0.823404255319149,0.027659574468085105,0.01702127659574468,0.04680851063829787,0.07021276595744681,0.0,0.0,0.014893617021276596
Beta sure,all windows,exact span,470,57,39,36,116,218,0,4,0,0.12127659574468085,0.08297872340425531,0.07659574468085106,0.24680851063829787,0.46382978723404256,0.0,0.00851063829787234,0.0
Beta sure,all windows,IoU >= 0.8,470,366,15,12,24,48,0,0,5,0.7787234042553192,0.031914893617021274,0.02553191489361702,0.05106382978723404,0.10212765957446808,0.0,0.0,0.010638297872340425
Beta unsure,admissible,exact span,159,17,10,5,32,71,24,0,0,0.1069182389937107,0.06289308176100629,0.031446540880503145,0.20125786163522014,0.44654088050314467,0.1509433962264151,0.0,0.0
Beta unsure,admissible,IoU >= 0.8,159,67,12,6,34,39,0,0,1,0.42138364779874216,0.07547169811320754,0.03773584905660377,0.2138364779874214,0.24528301886792453,0.0,0.0,0.006289308176100629
Beta unsure,all windows,exact span,159,2,7,5,26,119,0,0,0,0.012578616352201259,0.0440251572327044,0.031446540880503145,0.16352201257861634,0.7484276729559748,0.0,0.0,0.0
Beta unsure,all windows,IoU >= 0.8,159,67,8,4,19,61,0,0,0,0.42138364779874216,0.050314465408805034,0.025157232704402517,0.11949685534591195,0.3836477987421384,0.0,0.0,0.0
