station,ranking,target,n_days,n_1,n_2,n_3,n_4-10,n_>10,n_not admissible,n_not scoreable,n_none >= 0.8,share_1,share_2,share_3,share_4-10,share_>10,share_not admissible,share_not scoreable,share_none >= 0.8
alpha_B,admissible,exact span,27,7,2,4,3,6,5,0,0,0.25925925925925924,0.07407407407407407,0.14814814814814814,0.1111111111111111,0.2222222222222222,0.18518518518518517,0.0,0.0
alpha_B,admissible,IoU >= 0.8,27,13,2,2,3,2,0,0,5,0.48148148148148145,0.07407407407407407,0.07407407407407407,0.1111111111111111,0.07407407407407407,0.0,0.0,0.18518518518518517
alpha_B,all windows,exact span,27,8,2,3,6,8,0,0,0,0.2962962962962963,0.07407407407407407,0.1111111111111111,0.2222222222222222,0.2962962962962963,0.0,0.0,0.0
alpha_B,all windows,IoU >= 0.8,27,14,2,1,2,6,0,0,2,0.5185185185185185,0.07407407407407407,0.037037037037037035,0.07407407407407407,0.2222222222222222,0.0,0.0,0.07407407407407407
alpha_C,admissible,exact span,627,158,79,42,106,121,121,0,0,0.25199362041467305,0.12599681020733652,0.06698564593301436,0.16905901116427433,0.19298245614035087,0.19298245614035087,0.0,0.0
alpha_C,admissible,IoU >= 0.8,627,329,25,14,59,35,0,0,165,0.5247208931419458,0.03987240829346093,0.022328548644338118,0.09409888357256778,0.05582137161084529,0.0,0.0,0.2631578947368421
alpha_C,all windows,exact span,627,134,70,30,130,263,0,0,0,0.21371610845295055,0.11164274322169059,0.04784688995215311,0.20733652312599682,0.4194577352472089,0.0,0.0,0.0
alpha_C,all windows,IoU >= 0.8,627,322,28,16,61,78,0,0,122,0.5135566188197768,0.044657097288676235,0.025518341307814992,0.09728867623604466,0.12440191387559808,0.0,0.0,0.19457735247208932
alpha_E,admissible,exact span,700,203,96,62,112,115,112,0,0,0.29,0.13714285714285715,0.08857142857142856,0.16,0.16428571428571428,0.16,0.0,0.0
alpha_E,admissible,IoU >= 0.8,700,403,30,22,45,29,0,0,171,0.5757142857142857,0.04285714285714286,0.03142857142857143,0.06428571428571428,0.041428571428571426,0.0,0.0,0.24428571428571427
alpha_E,all windows,exact span,700,164,91,55,137,253,0,0,0,0.2342857142857143,0.13,0.07857142857142857,0.1957142857142857,0.36142857142857143,0.0,0.0,0.0
alpha_E,all windows,IoU >= 0.8,700,397,35,14,52,61,0,0,141,0.5671428571428572,0.05,0.02,0.07428571428571429,0.08714285714285715,0.0,0.0,0.20142857142857143
alpha_F,admissible,exact span,842,192,128,68,152,153,149,0,0,0.22802850356294538,0.15201900237529692,0.08076009501187649,0.18052256532066507,0.18171021377672208,0.17695961995249407,0.0,0.0
alpha_F,admissible,IoU >= 0.8,842,479,34,20,58,56,0,0,195,0.5688836104513064,0.040380047505938245,0.023752969121140142,0.0688836104513064,0.0665083135391924,0.0,0.0,0.23159144893111638
alpha_F,all windows,exact span,842,144,90,57,178,373,0,0,0,0.171021377672209,0.10688836104513064,0.06769596199524941,0.21140142517814728,0.44299287410926363,0.0,0.0,0.0
alpha_F,all windows,IoU >= 0.8,842,472,28,17,63,107,0,0,155,0.5605700712589073,0.0332541567695962,0.020190023752969122,0.07482185273159145,0.12707838479809977,0.0,0.0,0.1840855106888361
alpha_G,admissible,exact span,650,143,91,60,122,129,105,0,0,0.22,0.14,0.09230769230769231,0.18769230769230769,0.19846153846153847,0.16153846153846155,0.0,0.0
alpha_G,admissible,IoU >= 0.8,650,359,33,19,61,43,0,0,135,0.5523076923076923,0.05076923076923077,0.02923076923076923,0.09384615384615384,0.06615384615384616,0.0,0.0,0.2076923076923077
alpha_G,all windows,exact span,650,112,72,56,151,259,0,0,0,0.1723076923076923,0.11076923076923077,0.08615384615384615,0.2323076923076923,0.3984615384615385,0.0,0.0,0.0
alpha_G,all windows,IoU >= 0.8,650,348,31,22,53,92,0,0,104,0.5353846153846153,0.047692307692307694,0.033846153846153845,0.08153846153846153,0.14153846153846153,0.0,0.0,0.16
alpha_I,admissible,exact span,148,27,18,8,32,27,36,0,0,0.18243243243243243,0.12162162162162163,0.05405405405405406,0.21621621621621623,0.18243243243243243,0.24324324324324326,0.0,0.0
