kind,station,date,outcome,p,r_best,best_start,best_end,true_start,true_end,required_mwh,proposed_mwh,correct_mwh
TP,beta_B,2024-09-18,AUTO_CORRECT,0.976543316150908,48.57596566717488,34,63,34,63,88.6942615,88.6942615,88.6942615
TP,beta_B,2024-09-19,AUTO_CORRECT,0.9834800401038014,56.97360318385361,33,63,33,63,87.08534750000003,87.08534750000003,87.08534750000003
TP,beta_B,2024-09-20,AUTO_CORRECT,0.9827902265531973,55.92776131872254,33,63,33,63,85.9794935,85.9794935,85.9794935
TP,beta_B,2024-05-30,AUTO_CORRECT,0.7006603800961675,13.07175845183225,40,55,42,56,18.4612765,19.513969,17.871639999999996
TP,beta_B,2024-01-20,AUTO_CORRECT,0.7029675143752329,13.139796063957023,39,57,43,61,24.743228,20.2792995,16.304288500000002
TP,beta_F,2024-07-21,AUTO_CORRECT,0.7039620780031509,11.462129992489832,46,57,45,58,1.816115,1.7120320000000002,1.7120320000000002
TP,beta_G,2023-11-15,AUTO_CORRECT,0.936876268541158,24.44207629868337,37,58,37,56,17.576432,19.5277655,17.576432
TP,beta_G,2024-09-05,AUTO_CORRECT,0.9746820479610292,37.15041991862092,35,64,35,64,38.235606,38.235606,38.235606
TP,beta_E,2024-09-16,AUTO_CORRECT,0.9405750198006644,28.933594916660702,42,57,43,56,4.550455500000001,4.927312,4.550455500000001
FN,beta_B,2024-07-24,UNCERTAIN,0.6519620551026281,11.764986002114233,41,60,41,59,25.0500535,25.805774,25.0500535
FN,beta_B,2023-10-27,UNCERTAIN,0.4663940544934744,8.144856613098147,39,54,43,53,20.334347,28.1616075,20.334347
FN,beta_B,2024-05-29,UNCERTAIN,0.6723474279696725,12.284307519116728,40,59,42,56,19.8286845,24.066149,19.8286845
FN,beta_B,2024-09-25,AUTO_KEEP,0.2533553038822909,5.045009902453695,46,60,48,61,25.537891499999997,26.403559999999995,24.383166499999994
FN,beta_B,2024-08-03,AUTO_KEEP,0.1801291872557457,3.998101737812585,41,60,42,60,23.407354000000005,24.144961500000004,23.407354000000005
FN,beta_B,2024-07-25,AUTO_KEEP,0.0016966932888457,-0.6787874330689554,-1,-1,44,55,16.8337595,0.0,0.0
FP,beta_G,2024-02-09,AUTO_CORRECT,0.8185920052256342,14.338006822686507,37,63,-1,-1,0.0,26.612462,0.0
FP,beta_G,2024-04-10,AUTO_CORRECT,0.9455450130331964,26.197046573272196,35,63,-1,-1,0.0,24.463957500000006,0.0
FP,beta_G,2024-09-13,AUTO_CORRECT,0.8638110587026414,16.726342351476934,35,63,-1,-1,0.0,24.449712,0.0
FP,beta_G,2024-08-23,AUTO_CORRECT,0.878457881714527,17.738150594423182,37,60,-1,-1,0.0,23.269506,0.0
FP,beta_G,2024-08-21,AUTO_CORRECT,0.9223436602477548,22.142964539630256,38,60,-1,-1,0.0,22.925413,0.0
FP,beta_G,2024-08-19,AUTO_CORRECT,0.7972605830039291,13.46680716466356,38,62,-1,-1,0.0,20.78981,0.0
TN,beta_F,2024-05-03,UNCERTAIN,0.6965377140495571,11.25155548549149,39,50,-1,-1,0.0,2.1839085000000003,0.0
TN,beta_G,2024-04-08,UNCERTAIN,0.6832818870999819,10.208501130514843,35,62,-1,-1,0.0,25.9053505,0.0
TN,beta_E,2023-12-04,UNCERTAIN,0.6689562573456235,10.19375414442412,52,61,-1,-1,0.0,1.9398655,0.0
TN,beta_E,2024-06-03,AUTO_KEEP,0.0013508874712531,-1.9374001691666156,-1,-1,-1,-1,0.0,0.0,0.0
TN,beta_G,2024-04-09,AUTO_KEEP,0.0011462840611781,-1.1984697440481602,-1,-1,-1,-1,0.0,0.0,0.0
TN,beta_F,2024-01-25,AUTO_KEEP,0.0015161068733419,-1.7771031734983207,-1,-1,-1,-1,0.0,0.0,0.0
