cohort,held_out,alpha,beta,raw_threshold_correct,raw_threshold_keep,n_train
alpha,alpha_A,1.6894200429566693,5.074583826106233,-0.1805129105963785,-0.6485347867387166,9356
alpha,alpha_B,1.666762702891425,4.962403642301585,-0.17955194749260237,-0.6596745643297643,9342
alpha,alpha_C,1.8437090872439614,5.364847642929137,-0.20409667801978115,-0.651361142282161,9342
alpha,alpha_D,1.6662818234087304,4.989607893958105,-0.17837684963366365,-0.6549370442819362,9361
alpha,alpha_E,1.6416627019563321,5.130208686827804,-0.16747190823695213,-0.624431261283946,9362
alpha,alpha_F,1.5715459712591942,5.01284782788388,-0.15543670896876446,-0.6201664270876763,9364
alpha,alpha_G,1.8139325384714193,5.318482141810563,-0.1993144515725621,-0.6493380746487032,9360
alpha,alpha_H,1.6838423333366865,5.056738034741289,-0.179902303430577,-0.6496250449339473,9356
alpha,alpha_I,1.705259901121674,5.02000314379576,-0.18638238705087784,-0.6627574243888963,9353
alpha,alpha_J,1.6644323026321843,4.962542616655186,-0.17899270994183578,-0.6588718315305611,9341
beta,beta_A,-2.782020733243968,1.6214551200140734,8.377466401332054,2.2976220509048577,1953
beta,beta_B,-3.1936139838192643,1.63179260307992,10.897920346141646,3.211742386069818,2057
beta,beta_C,-2.897812855121796,1.6323878427924452,8.917025287723629,2.511855359550856,1950
beta,beta_D,-3.467601159152721,1.907208182503931,8.6062734880262,2.9507077677935087,2105
beta,beta_E,-2.837801832453223,1.6352148897395258,8.521833386349208,2.3779655991010356,1982
beta,beta_F,-2.961964078887045,1.6331540005173324,9.30322837778096,2.6503964218962603,2003
beta,beta_G,-3.049588837351782,1.723845150290632,8.588631326291521,2.5878233531054997,2005
beta,beta_H,-2.947658931888401,1.6446006413376664,9.049519435388193,2.586315277479877,1954
