cohort,held_out,alpha,beta,raw_threshold_correct,raw_threshold_keep,n_train
alpha,alpha_A,-0.4245293456798833,3.041314300192948,0.5191992957475426,-0.14913385845959132,9357
alpha,alpha_B,-0.40648070614989207,2.9916430661827627,0.520582727536546,-0.15875889563686743,9342
alpha,alpha_C,-0.3739357160619281,3.2486851294160544,0.45632518167939795,-0.15685930877738472,9343
alpha,alpha_D,-0.4099647386819101,2.99639719474371,0.521339862555958,-0.15714178641047144,9362
alpha,alpha_E,-0.5014151202389736,3.088446269391944,0.5475859647420362,-0.11850444333669832,9363
alpha,alpha_F,-0.5397369592651607,3.026701553201886,0.5813297927382683,-0.10695817038783374,9365
alpha,alpha_G,-0.3246749820893448,3.273500968833116,0.4304916193213956,-0.17310324173049524,9361
alpha,alpha_H,-0.4221379326470868,3.027023447129989,0.5209994894203793,-0.1507970452078785,9357
alpha,alpha_I,-0.40595967012641837,3.014965540102178,0.5153991816151504,-0.15763889913746423,9354
alpha,alpha_J,-0.43930414664543377,3.076127586584125,0.5193062029997333,-0.1418300096514209,9342
beta,beta_A,-3.6465127756584335,1.7643460768364216,11.768893316293882,3.886837008648264,1956
beta,beta_B,-4.031685879122522,1.774092520421814,14.644653885796055,5.019108102217232,2060
beta,beta_C,-3.835385649170409,1.8040203601785796,12.405878046254129,4.240145473667244,1952
beta,beta_D,-5.258951005277282,2.352228831789209,12.4092086033,5.524213397233576,2108
beta,beta_E,-3.6961689912237055,1.7714282057362583,11.99884944021095,3.993984234149438,1985
beta,beta_F,-3.678253001106599,1.7343203705038814,12.591013662470196,4.115697932272625,2006
beta,beta_G,-3.8707828671840243,1.8604644350887525,11.628666130590458,4.0790477141616694,2007
beta,beta_H,-3.84901887071518,1.8046603575552453,12.495107302465527,4.276781312823295,1956
