cohort,station,n_days,n_rpf,required_mwh,applied_mwh,energy_iou,energy_precision,day_precision,day_recall,day_f1,tp,fp,fn,rate_auto_correct,rate_auto_keep,rate_uncertain,sure_rpf_days,sure_day_recall,sure_day_uncertain_rate
alpha,alpha_A,1039,0,0.0,0.0,0.0,,,,0.0,0,0,0,0.0,0.9980750721847931,0.0019249278152069298,0,,
alpha,alpha_B,1055,27,29.610468499999996,53.7154845,0.5049372575218458,0.5204749293474211,0.9,0.6666666666666666,0.7659574468085106,18,2,9,0.018957345971563982,0.9715639810426541,0.009478672985781991,27,0.6666666666666666,0.14814814814814814
alpha,alpha_C,1055,627,3752.316103,4206.2012405000005,0.844373233147349,0.8662191221185818,0.9659284497444633,0.9043062200956937,0.9341021416803954,567,20,60,0.5563981042654028,0.4018957345971564,0.04170616113744076,627,0.9043062200956937,0.044657097288676235
alpha,alpha_D,1035,0,0.0,0.0,0.0,,,,0.0,0,0,0,0.0,0.9971014492753624,0.002898550724637681,0,,
alpha,alpha_E,1035,700,6326.578003500001,6808.996703,0.8939560780654011,0.9105676839685202,0.9863429438543247,0.9285714285714286,0.9565857247976454,650,9,50,0.6367149758454106,0.33816425120772947,0.025120772946859903,700,0.9285714285714286,0.02
alpha,alpha_F,1033,842,13356.8295205,14656.680949000001,0.8824376915942372,0.8959738632637679,0.9925,0.9429928741092637,0.967113276492083,794,6,48,0.7744433688286544,0.19457889641819942,0.030977734753146177,842,0.9429928741092637,0.023752969121140142
alpha,alpha_G,1037,650,5828.545406499999,6395.405478000001,0.8641740604211422,0.8860500965096118,0.964968152866242,0.9323076923076923,0.948356807511737,606,22,44,0.6055930568948891,0.36258437801350046,0.03182256509161042,650,0.9323076923076923,0.02923076923076923
alpha,alpha_H,1039,0,0.0,0.0,0.0,,,,0.0,0,0,0,0.0,0.9980750721847931,0.0019249278152069298,0,,
alpha,alpha_I,1042,148,1199.690992,1505.2883339999998,0.7637605923468237,0.7781473911296519,0.9699248120300752,0.8716216216216216,0.9181494661921707,129,4,19,0.1276391554702495,0.8570057581573897,0.015355086372360844,148,0.8716216216216216,0.060810810810810814
alpha,alpha_J,1055,387,1542.0867715000002,1789.7567715,0.8023154212607315,0.8287144784801839,0.9591836734693877,0.8501291989664083,0.9013698630136987,329,14,58,0.3251184834123223,0.6388625592417062,0.03601895734597156,387,0.8501291989664083,0.07493540051679587
beta,beta_A,337,26,754.99691,723.153176,0.9276191838092319,0.9836412133796671,1.0,0.8846153846153846,0.9387755102040816,23,0,3,0.06824925816023739,0.8783382789317508,0.05341246290801187,26,0.8846153846153846,0.038461538461538464
beta,beta_B,231,125,4769.1721835,4724.3306269999985,0.8732465426517855,0.936759561917088,1.0,0.848,0.9177489177489178,106,0,19,0.4588744588744589,0.4675324675324675,0.0735930735930736,125,0.848,0.104
beta,beta_C,339,0,0.0,0.0,0.0,,,,0.0,0,0,0,0.0,0.9970501474926253,0.0029498525073746312,0,,
beta,beta_D,188,45,475.14381699999996,323.12868449999996,0.6287750422880675,0.9536957465625435,0.9583333333333334,0.5111111111111111,0.6666666666666666,23,1,22,0.1276595744680851,0.7606382978723404,0.11170212765957446,45,0.5111111111111111,0.044444444444444446
beta,beta_E,306,21,87.1145895,92.43332600000001,0.9159477821923993,0.9286217126926708,1.0,1.0,1.0,21,0,0,0.06862745098039216,0.8856209150326797,0.0457516339869281,21,1.0,0.0
beta,beta_F,286,164,1578.0256439999998,1631.1878820000002,0.9280092045145741,0.9469734618222231,0.9515151515151515,0.9573170731707317,0.9544072948328268,157,8,7,0.5769230769230769,0.34265734265734266,0.08041958041958042,164,0.9573170731707317,0.036585365853658534
beta,beta_G,283,85,2201.5129779999997,2370.207677,0.866289387148842,0.8953179527651999,0.8850574712643678,0.9058823529411765,0.8953488372093024,77,10,8,0.30742049469964666,0.6219081272084805,0.0706713780918728,85,0.9058823529411765,0.047058823529411764
beta,beta_H,335,4,30.179627500000002,7.028288999999999,0.17142248798410087,0.7747114553769774,1.0,0.25,0.4,1,0,3,0.0029850746268656717,0.982089552238806,0.014925373134328358,4,0.25,0.5
