cohort,held_out,alpha,beta,raw_threshold_correct,raw_threshold_keep,n_train
alpha,alpha_A,-0.4245293456798833,3.041314300192948,0.5191992957475426,-0.14913385845959132,9357
alpha,alpha_B,-0.40648070614989207,2.9916430661827627,0.520582727536546,-0.15875889563686743,9342
alpha,alpha_C,-0.3739357160619281,3.2486851294160544,0.45632518167939795,-0.15685930877738472,9343
alpha,alpha_D,-0.4099647386819101,2.99639719474371,0.521339862555958,-0.15714178641047144,9362
alpha,alpha_E,-0.5014151202389736,3.088446269391944,0.5475859647420362,-0.11850444333669832,9363
alpha,alpha_F,-0.5397369592651607,3.026701553201886,0.5813297927382683,-0.10695817038783374,9365
alpha,alpha_G,-0.3246749820893448,3.273500968833116,0.4304916193213956,-0.17310324173049524,9361
alpha,alpha_H,-0.4221379326470868,3.027023447129989,0.5209994894203793,-0.1507970452078785,9357
alpha,alpha_I,-0.40595967012641837,3.014965540102178,0.5153991816151504,-0.15763889913746423,9354
alpha,alpha_J,-0.43930414664543377,3.076127586584125,0.5193062029997333,-0.1418300096514209,9342
beta,beta_A,-5.10521657484903,2.3222921864966923,11.977362629818646,5.255732688324635,1957
beta,beta_B,-6.126047902212778,2.5733707847658285,14.026419501676843,6.777989475004057,2061
beta,beta_C,-5.521259988495921,2.458606743322772,12.333927335609886,5.692993939097373,1953
beta,beta_D,-5.581308044880308,2.4746108020720694,12.4344867617166,5.773596693625073,2108
beta,beta_E,-5.237515999462858,2.3706635617067477,12.022952402558763,5.371877814268136,1986
beta,beta_F,-5.274063917499731,2.3796710930338625,12.096646916606977,5.425296751887232,2007
beta,beta_G,-5.984643243592679,2.7112535674254854,11.426681189668441,5.651370430802904,2008
beta,beta_H,-5.609936228240868,2.4823007589157333,12.481388726626914,5.811679598939381,1957
