cohort,held_out,alpha,beta,raw_threshold_correct,raw_threshold_keep,n_train
alpha,alpha_A,1.6894200429566693,5.074583826106233,-0.1805129105963785,-0.6485347867387166,9356
alpha,alpha_B,1.666762702891425,4.962403642301585,-0.17955194749260237,-0.6596745643297643,9342
alpha,alpha_C,1.8437090872439614,5.364847642929137,-0.20409667801978115,-0.651361142282161,9342
alpha,alpha_D,1.6662818234087304,4.989607893958105,-0.17837684963366365,-0.6549370442819362,9361
alpha,alpha_E,1.6416627019563321,5.130208686827804,-0.16747190823695213,-0.624431261283946,9362
alpha,alpha_F,1.5715459712591942,5.01284782788388,-0.15543670896876446,-0.6201664270876763,9364
alpha,alpha_G,1.8139325384714193,5.318482141810563,-0.1993144515725621,-0.6493380746487032,9360
alpha,alpha_H,1.6838423333366865,5.056738034741289,-0.179902303430577,-0.6496250449339473,9356
alpha,alpha_I,1.705259901121674,5.02000314379576,-0.18638238705087784,-0.6627574243888963,9353
alpha,alpha_J,1.6644323026321843,4.962542616655186,-0.17899270994183578,-0.6588718315305611,9341
beta,beta_A,-3.4318905928716554,1.8816837174626524,8.71943389140858,2.949358741366985,1954
beta,beta_B,-4.189546896633531,2.0315095345682557,10.933631957421206,4.182070573026573,2058
beta,beta_C,-3.6651836424397177,1.944252248538725,9.185184683363307,3.2603088615243045,1951
beta,beta_D,-3.57009114067948,1.946071396518423,8.678440571898388,3.051645177507278,2105
beta,beta_E,-3.5527006122378055,1.927712232538279,8.801128801204475,3.0691196187724152,1983
beta,beta_F,-3.7655835173134884,1.9730467640849798,9.35995947593006,3.3888874534646423,2004
beta,beta_G,-4.0361725879334776,2.138930898668715,8.80738963479049,3.440971629058642,2006
beta,beta_H,-3.7725404975398966,1.978875216846533,9.325100835630318,3.3851990389215914,1955
